code,mean2019,ginichange,meanchange,logmean,fiscalspending
ARG,18.448469,.005564332,-6.830759,3.8282533,3.799192841128141
ARM,6.9216795,.0045886934,-9.8928814,3.4025044,.9788792868051649
AUS,60.585182,-.018659532,.69189745,4.3446593,16.17785230143143
AUT,57.624157,-.00054636598,-.85865802,4.3228974,8.55458877575543
BEL,50.757191,.0036651194,-3.7339475,4.2677903,7.220484501374873
BFA,3.1367326,.013663203,-3.3611171,3.0587704,4.297641100034873
BGR,25.152575,.0066164434,-5.9939222,3.9628754,4.386106513841622
BOL,13.680357,.000019609928,-9.7034807,3.6983902,5.203749546742802
BRA,21.031437,-.028020442,.34605092,3.8851619,8.256941459558897
CAF,2.1147621,-.0014144182,-3.4281335,2.8875544,1.163643933999268
CAN,60.834454,-.01873365,6.9642878,4.3464427,14.64614168696788
CHL,26.091282,.002959162,-7.1462402,3.9787884,8.24540875900966
CHN,14.956756,-.0026670694,-8.274457,3.7371302,4.734794334733824
COD,1.7466565,.001489073,-1.75376,2.8045003,1.076677989256779
COL,14.274472,-.0015531182,-8.5436707,3.7168529,4.10013159639423
CRI,23.142649,.0017246008,-5.3716531,3.9267058,1.429011913993869
CYP,47.144444,-.0014989376,-5.5648661,4.2357235,6.379501123458869
CZE,33.606495,-.0099502057,-2.4011209,4.088716,5.44423346092535
DEU,55.873062,-.0031461716,-.69880581,4.3094954,11.03370544006278
DNK,56.89064,.0037590861,.46269003,4.3173337,1.772857226424952
DOM,16.343552,.0019962192,-9.1670427,3.7756393,2.044942846935724
ESP,38.192345,.0015210211,-2.3538599,4.144269,4.129848567413041
EST,37.478188,-.0039885342,-1.9554485,4.1360717,3.490015096027214
FIN,52.531895,-.0028790534,-1.658016,4.2827158,2.974007327567508
GAB,9.6843405,.00058421493,-4.0713978,3.548363,1.994153230953758
GEO,7.7100997,.0031649172,-8.3777075,3.4493527,6.417191176532788
GHA,7.4350843,-.0039400458,-4.9758172,3.4335787,2.883369449839589
GIN,3.6352394,.011671364,.90774733,3.1228259,1.8
GMB,5.306118,-.0042187274,-4.5334311,3.2870698,2.86
GRC,23.278408,.0074605048,-1.1256888,3.9292462,11.02887242712392
GTM,9.634635,-.00081011653,-3.5449135,3.546128,3.355011520501294
HND,8.277194,.0012223721,-10.264254,3.480176,2.271958774555674
HRV,24.53005,.0048671067,-7.4300804,3.9519913,2.594022318106603
HUN,26.531723,.0018624067,-4.8371034,3.9860582,4
IDN,6.9317384,-.0011737645,-5.4300766,3.4031351,2.680410090456915
IND,4.8621264,-.030582368,-26.060545,3.249119,3.056821256943371
IRL,54.026043,.0059191585,.78326255,4.2948961,5.387486515458352
ITA,43.369148,-.00010433793,-2.1639526,4.1994739,6.824855516351365
KAZ,13.168231,.001286,-5.0286798,3.6818204,2.410373216215953
KEN,3.6790264,.0013614893,-4.2806716,3.1280258,2.388259376203276
KOR,45.713196,.00088363886,2.0158839,4.2223344,3.442207668313915
LAO,5.3514047,.0020408332,-4.9412146,3.2907608,.0169761088455608
LUX,77.382683,-.0050454438,-1.4593699,4.4509368,4.158727056086478
LVA,29.899729,-.00027495623,2.0225797,4.0379601,7.928065623067088
MEX,13.489389,.0014705658,-8.073822,3.6922851,.6812655548329701
MLI,2.6380799,.028413892,-5.3547778,2.9835808,2.2
MMR,6.829154,.0024325252,-2.8267252,3.3966599,.8707861062683465
MNG,10.17499,.0047537684,-9.4163885,3.5698268,7.589161223816156
MOZ,2.6932495,-.0037113428,-4.6970925,2.9925694,4.826975548825206
MUS,14.536978,.020652592,-14.985309,3.724767,9.975563364496434
MWI,2.0554726,-.0021348298,-3.3739452,2.8752046,.6
NER,2.7904067,-.0018856823,-1.4406599,3.0079603,.7512684835514422
NGA,2.7965455,-.0030566454,-3.2916448,3.0089147,1.458917059242677
NLD,54.558933,.0019229949,-2.0945754,4.2991586,4.519277817698198
PER,13.667382,-.00042691827,-11.801991,3.6979783,5.360350219498986
PHL,6.6373,.0036088526,-12.674799,3.3842843,2.542645794903927
PNG,4.176693,.0059202313,.0072276895,3.1831255,.7932630081598404
POL,18.968208,.00059995055,-5.264523,3.8403192,7.676989509956536
PRT,30.620333,.00010409951,-1.9299772,4.0483027,4.725765760552446
PRY,17.745922,-.00042152405,-2.8993797,3.8113914,2.584577739073922
ROU,19.479036,.00019201636,-5.7201867,3.8518603,2.266193717417484
RUS,20.458719,-.0080619454,-4.319829,3.8731713,2.909477037592608
SDN,4.2250228,.0011846721,-1.8690766,3.188122,.9204512535591206
SEN,3.8803971,-.0030976832,-4.2472067,3.1511691,3.162841151401623
SLV,11.905699,-.000040262938,-8.6627989,3.6380477,2.541927125254919
SVK,25.660086,-.0011885911,-4.3899708,3.9715509,3.795231345008085
SVN,39.625092,.00039613247,-.95089352,4.1602631,5.346056331906198
SWE,56.039841,.0013366044,-1.0911627,4.3107896,4.200696878255719
TJK,8.0079336,.0026451349,-1.0156703,3.4658134,3.015604367675178
TUN,11.422035,.0069899857,-9.7485094,3.6200364,2.418289461280983
TUR,19.606569,-.0071185231,-5.5090613,3.8546944,1.07082440811706
UGA,3.3827355,.0002348423,-2.4544954,3.0915608,.5694149479973558
USA,75.084587,-.014581472,-2.2702339,4.4378438,16.71930605354483
UZB,4.7591653,.00044983625,-3.2540362,3.2398236,3.704564006123956
VNM,11.478178,.0039367676,.11363668,3.6221659,.5356132917239467
ZMB,2.8883533,-.0047110915,-4.3474965,3.0229433,2.099599962445201
ZWE,4.0185547,-.0054040551,-6.1682777,3.1663628,4.801592463170834
ECU,13.588832,-.00018641353,-6.1245909,3.6954751,
PSE,10.808875,.001960367,-7.2854242,3.5960734,
