income,gini
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
.95522183,.01
.9621163,.01
.96570635,.01
.9682439,.01
.9702456,.01
.97191876,.01
.97336853,.01
.97465593,.01
.97581977,.01
.97688621,.01
.97787392,.01
.9787966,.01
.97966456,.01
.98048604,.01
.98126739,.01
.98201382,.01
.98272961,.01
.98341835,.01
.98408294,.01
.98472601,.01
.98534977,.01
.98595601,.01
.98654652,.01
.9871226,.01
.98768562,.01
.98823673,.01
.98877692,.01
.98930717,.01
.98982829,.01
.99034101,.01
.99084598,.01
.99134398,.01
.99183547,.01
.99232107,.01
.99280125,.01
.99327648,.01
.99374717,.01
.99421382,.01
.99467677,.01
.99513638,.01
.99559307,.01
.99604714,.01
.99649888,.01
.99694872,.01
.99739683,.01
.99784362,.01
.99828929,.01
.99873418,.01
.99917859,.01
.99962282,.01
1.0000671,.01
1.0005116,.01
1.0009569,.01
1.001403,.01
1.0018502,.01
1.0022991,.01
1.0027496,.01
1.0032022,.01
1.0036572,.01
1.0041149,.01
1.0045757,.01
1.0050399,.01
1.0055079,.01
1.0059801,.01
1.0064569,.01
1.0069386,.01
1.0074258,.01
1.0079191,.01
1.0084188,.01
1.0089256,.01
1.0094401,.01
1.0099629,.01
1.0104949,.01
1.0110368,.01
1.0115894,.01
1.0121539,.01
1.0127312,.01
1.0133226,.01
1.0139295,.01
1.0145533,.01
1.015196,.01
1.0158594,.01
1.0165459,.01
1.0172583,.01
1.0179998,.01
1.0187742,.01
1.019586,.01
1.0204409,.01
1.0213459,.01
1.0223095,.01
1.0233432,.01
1.0244616,.01
1.025685,.01
1.0270416,.01
1.0285735,.01
1.0303472,.01
1.0324773,.01
1.0351902,.01
1.039053,.01
1.0465525,.01
.91215914,.02
.92537498,.02
.93229437,.02
.93720078,.02
.94108009,.02
.94432878,.02
.94714832,.02
.94965559,.02
.9519251,.02
.95400715,.02
.95593739,.02
.95774227,.02
.95944184,.02
.9610517,.02
.96258414,.02
.96404922,.02
.96545523,.02
.96680903,.02
.9681164,.02
.96938223,.02
.97061074,.02
.97180557,.02
.97296995,.02
.97410673,.02
.97521842,.02
.97630709,.02
.97737485,.02
.97842342,.02
.97945452,.02
.98046952,.02
.98146981,.02
.98245668,.02
.98343122,.02
.98439443,.02
.98534739,.02
.98629105,.02
.98722613,.02
.98815358,.02
.98907411,.02
.98998857,.02
.99089748,.02
.99180156,.02
.99270153,.02
.99359798,.02
.99449146,.02
.99538267,.02
.99627215,.02
.99716049,.02
.99804813,.02
.99893576,.02
.99982393,.02
1.0007131,.02
1.001604,.02
1.002497,.02
1.0033928,.02
1.004292,.02
1.0051951,.02
1.0061028,.02
1.0070157,.02
1.0079346,.02
1.0088601,.02
1.0097927,.02
1.0107334,.02
1.011683,.02
1.0126421,.02
1.0136119,.02
1.0145931,.02
1.0155869,.02
1.0165943,.02
1.0176164,.02
1.0186546,.02
1.0197102,.02
1.0207849,.02
1.02188,.02
1.0229976,.02
1.0241398,.02
1.0253084,.02
1.0265063,.02
1.0277363,.02
1.0290015,.02
1.0303055,.02
1.0316526,.02
1.0330477,.02
1.0344962,.02
1.036005,.02
1.0375818,.02
1.0392364,.02
1.0409801,.02
