"iso3c","population_in_millions","poor_in_millions","greyout","note"
"ABW",0,0,1,"The poverty headcounts are estimated using survey data or an extrapolation method common across countries. For headcounts based on country-specific extrapolations, see the Macro Poverty Outlook: https://www.worldbank.org/en/publication/macro-poverty-outlook."
"AFG",38,3,1,
"AGO",32,10,0,
"ALB",3,0,0,
"AND",0,0,1,
"ARE",9,0,0,
"ARG",45,0,0,
"ARM",3,0,0,
"ASM",0,0,1,
"ATG",0,0,1,
"AUS",25,0,0,
"AUT",9,0,0,
"AZE",10,0,0,
"BDI",12,9,0,
"BEL",11,0,0,
"BEN",12,2,0,
"BFA",21,6,0,
"BGD",166,12,0,
"BGR",7,0,0,
"BHR",1,0,1,
"BHS",0,0,1,
"BIH",3,0,0,
"BLR",9,0,0,
"BLZ",0,0,0,
"BMU",0,0,1,
"BOL",12,0,0,
"BRA",212,11,0,
"BRB",0,0,1,
"BRN",0,0,1,
"BTN",1,0,0,
"BWA",2,0,0,
"CAF",5,4,0,
"CAN",38,0,0,
"CHE",9,0,0,
"CHI",0,0,1,
"CHL",19,0,0,
"CHN",1408,2,0,
"CIV",26,3,0,
"CMR",26,6,0,
"COD",90,56,0,
"COG",6,3,0,
"COL",50,3,0,
"COM",1,0,0,
"CPV",1,0,0,
"CRI",5,0,0,
"CUB",11,0,1,
"CUW",0,0,1,
"CYM",0,0,1,
"CYP",1,0,0,
"CZE",11,0,0,
"DEU",83,0,0,
"DJI",1,0,0,
"DMA",0,0,1,
"DNK",6,0,0,
"DOM",11,0,0,
"DZA",43,0,0,
"ECU",17,1,0,
"EGY",106,2,0,
"ERI",3,1,1,
"ESP",47,0,0,
"EST",1,0,0,
"ETH",114,20,0,
"FIN",6,0,0,
"FJI",1,0,0,
"FRA",67,0,0,
"FRO",0,0,1,
"FSM",0,0,0,
"GAB",2,0,0,
"GBR",67,0,0,
"GEO",4,0,0,
"GHA",32,7,0,
"GIB",0,0,1,
"GIN",13,2,0,
"GMB",3,0,0,
"GNB",2,0,0,
"GNQ",2,1,1,
"GRC",11,0,0,
"GRD",0,0,1,
"GRL",0,0,1,
"GTM",17,1,0,
"GUM",0,0,1,
"GUY",1,0,0,
"HKG",8,0,1,
"HND",10,1,0,
"HRV",4,0,0,
"HTI",11,3,0,
"HUN",10,0,0,
"IDN",270,12,0,
"IMN",0,0,1,
"IND",1383,134,0,
"IRL",5,0,0,
"IRN",87,1,0,
"IRQ",42,0,0,
"ISL",0,0,0,
"ISR",9,0,0,
"ITA",60,1,0,
"JAM",3,0,0,
"JOR",11,0,0,
"JPN",127,1,0,
"KAZ",19,0,0,
"KEN",51,13,0,
"KGZ",6,0,0,
"KHM",16,0,1,
"KIR",0,0,0,
"KNA",0,0,1,
"KOR",52,0,0,
"KWT",4,0,1,
"LAO",7,0,0,
"LBN",6,0,0,
"LBR",5,2,0,
"LBY",7,1,1,
"LCA",0,0,0,
"LIE",0,0,1,
"LKA",22,0,0,
"LSO",2,1,0,
"LTU",3,0,0,
"LUX",1,0,0,
"LVA",2,0,0,
"MAC",1,0,1,
"MAF",0,0,1,
"MAR",36,0,0,
"MCO",0,0,1,
"MDA",3,0,0,
"MDG",28,22,0,
"MDV",1,0,0,
"MEX",125,3,0,
"MHL",0,0,0,
"MKD",2,0,0,
"MLI",21,3,0,
"MLT",1,0,0,
"MMR",53,1,0,
"MNE",1,0,0,
"MNG",3,0,0,
"MNP",0,0,1,
"MOZ",30,19,0,
"MRT",4,0,0,
"MUS",1,0,0,
"MWI",19,13,0,
"MYS",33,0,0,
"NAM",2,0,0,
"NCL",0,0,1,
"NER",23,12,0,
"NGA",203,63,0,
"NIC",7,0,0,
"NLD",17,0,0,
"NOR",5,0,0,
"NPL",29,1,0,
"NRU",0,0,0,
"NZL",5,0,1,
"OMN",5,0,1,
"PAK",223,11,0,
"PAN",4,0,0,
"PER",33,1,0,
"PHL",110,5,0,
"PLW",0,0,1,
"PNG",10,3,0,
"POL",38,0,0,
"PRI",3,0,1,
"PRK",26,0,1,
"PRT",10,0,0,
"PRY",7,0,0,
"PSE",5,0,0,
"PYF",0,0,1,
"QAT",3,0,1,
"ROU",19,0,0,
"RUS",144,0,0,
"RWA",13,6,0,
"SAU",36,0,1,
"SDN",43,10,0,
"SEN",16,1,0,
"SGP",6,0,1,
"SLB",1,0,0,
"SLE",8,2,0,
"SLV",6,0,0,
"SMR",0,0,1,
"SOM",16,6,1,
"SRB",7,0,0,
"SSD",10,8,0,
"STP",0,0,0,
"SUR",1,0,0,
"SVK",5,0,0,
"SVN",2,0,0,
"SWE",10,0,0,
"SWZ",1,0,0,
"SXM",0,0,1,
"SYC",0,0,0,
"SYR",20,14,0,
"TCA",0,0,1,
"TCD",16,5,0,
"TGO",8,2,0,
"THA",71,0,0,
"TJK",9,0,0,
"TKM",6,0,0,
"TLS",1,0,0,
"TON",0,0,0,
"TTO",2,0,0,
"TUN",12,0,0,
"TUR",83,0,0,
"TUV",0,0,0,
"TWN",24,0,0,
"TZA",60,26,0,
"UGA",43,18,0,
"UKR",44,0,0,
"URY",3,0,0,
"USA",328,3,0,
"UZB",34,10,0,
"VCT",0,0,1,
"VEN",29,1,1,
"VGB",0,0,1,
"VIR",0,0,1,
"VNM",96,1,0,
"VUT",0,0,0,
"WSM",0,0,0,
"XKX",2,0,0,
"YEM",32,19,0,
"ZAF",58,12,0,
"ZMB",18,11,0,
"ZWE",15,6,0,
"WLD",7743,659,0,
