"iso3c","gdppc_need_baseline","ghgpc_need_baseline","ghgpc_need_energy"
"MLI",2206.3655,0.33455941,0.33455941
"MLI",2317.0457,0.35406968,0.33774722
"MLI",2433.2781,0.37471768,0.34096539
"MLI",2555.3411,0.39656982,0.3442142
"MLI",2683.5273,0.41969627,0.34749398
"MLI",2818.144,0.4441714,0.35080501
"MLI",2959.5137,0.47007379,0.35414761
"MLI",3107.9749,0.49748716,0.35752216
"MLI",3263.8835,0.52649873,0.36092877
"MLI",3427.6133,0.55720216,0.36436781
"MLI",3599.5562,0.58969605,0.36783963
"MLI",3780.1245,0.62408495,0.37134451
"MLI",3969.751,0.66047925,0.37488282
"MLI",4168.8896,0.69899595,0.3784548
"MLI",4378.0181,0.73975879,0.38206086
"MLI",4597.6372,0.78289872,0.38570127
"MLI",4828.2734,0.82855463,0.38937634
"MLI",5070.479,0.87687308,0.39308646
"MLI",5324.835,0.92800921,0.3968319
"MLI",5591.9502,0.98212743,0.40061304
"MLI",5872.4653,1.0394017,0.40443021
"MLI",6167.0522,1.1000159,0.40828377
"MLI",6476.4165,1.164165,0.41217402
"MLI",6801.2998,1.2320549,0.41610137
"MLI",7142.4805,1.3039041,0.42006612
"MLI",7500.7764,1.3799433,0.42406863
"MLI",7877.0459,1.4604167,0.42810929
"MLI",8272.1904,1.545583,0.43218845
"MLI",8687.1572,1.635716,0.43630651
