"iso3c","year","povertyrate","gdppc","ghgpc","note"
"AGO",2019,32.19843292,6712.0215,1.23,"The poverty headcount rates are estimated using survey data or an extrapolation method common across countries. For headcount rates based on country-specific extrapolations, see the Macro Poverty Outlook: https://www.worldbank.org/en/publication/macro-poverty-outlook."
"AGO",2022,34.8,5982.6362,1.079799294,
"ALB",2019,0,13653.201,1.47,
"ALB",2022,0,15135.454,1.571847677,
"ARE",2019,0,68263.672,21.34,
"ARE",2022,0,64748.125,19.13062859,
"ARG",2019,0.7840069532,22066.102,4.19,
"ARG",2022,0.2,22153.6,4.265247345,
"ARM",2019,1.030069828,13653.764,2.32,
"ARM",2022,0.2,14245.527,2.324048996,
"AUS",2019,0.4970939755,49309.113,16.96,
"AUS",2022,0.2,50751.832,16.20177078,
"AUT",2019,0.6406388879,55833.559,7.31,
"AUT",2022,0.4,56196.965,6.832687855,
"AZE",2019,0,14442.041,4.17,
"AZE",2022,0,14774.443,4.203952789,
"BDI",2019,73.55831909,751.44342,0.06,
"BDI",2022,75.1,723.99628,0.06097852066,
"BEL",2019,0.07855246216,51937.422,8.01,
"BEL",2022,0,52407.617,7.545828342,
"BEN",2019,19.18910599,3287.3096,0.67,
"BEN",2022,16.8,3546.5745,0.7816172242,
"BFA",2019,30.06121635,2175.5046,0.29,
"BFA",2022,29.1,2256.1477,0.3353610635,
"BGD",2019,6.822788715,5550.0327,0.63,
"BGD",2022,4.3,6371.2017,0.7266494036,
"BGR",2019,0.9236336946,23265.877,5.7,
"BGR",2022,0,24502.66,5.711150646,
"BIH",2019,0.05898650363,14896.797,6.66,
"BIH",2022,0,16054.765,6.966629982,
"BLR",2019,0,19279.209,6.07,
"BLR",2022,0,18456.955,5.590281487,
"BLZ",2019,19.55692863,7152.6572,1.88,
"BLZ",2022,8.9,6390.1982,1.904745936,
"BOL",2019,1.920535207,8724.4746,2.33,
"BOL",2022,0,8418.1494,2.445100784,
"BRA",2019,5.388580799,14736.156,2.13,
"BRA",2022,0.2,14931.098,2.317602634,
"BTN",2019,0.3673393726,11864.767,0.91,
"BTN",2022,0.3,10403.953,1.117322326,
"BWA",2019,13.47857666,16404.445,3.25,
"BWA",2022,12.5,16338.321,3.278341532,
"CAF",2019,67.64110565,946.05963,0.05,
"CAF",2022,67.8,924.46185,0.05557126552,
"CAN",2019,0.2470106483,49171.512,16.98,
"CAN",2022,0,48821.758,16.3212986,
"CHE",2019,0.03050398082,70944.352,4.29,
"CHE",2022,0,71813.633,3.943538427,
"CHL",2019,0.5760226846,24931.121,4.91,
"CHL",2022,0.3,26073.881,4.96973896,
"CIV",2019,10.69593048,5212.5542,0.51,
"CIV",2022,9.3,5559.5054,0.5429237485,
"CMR",2019,22.74058533,3742.8567,0.53,
"CMR",2022,22.7,3747.3022,0.5397204161,
"COD",2019,62.27871323,1097.9489,0.11,
"COD",2022,60.9,1140.3514,0.09914352,
"COG",2019,50.75162125,3825.7014,2.6,
"COG",2022,53.8,3350.5747,2.176864862,
"COL",2019,5.284737587,14571.991,1.83,
"COL",2022,4,15645.351,1.880197525,
"COM",2019,18.10503769,3058.9802,0.38,
"COM",2022,18.3,2969.6956,0.4012879729,
"CPV",2019,2.871161699,7171.8267,1.17,
"CPV",2022,3.1,6574.8203,1.03810668,
"CRI",2019,1.057139516,20970.545,1.53,
"CRI",2022,0.5,21850.871,1.555043578,
"CYP",2019,0.15383178,41521.922,5.41,
"CYP",2022,0.1,41835.715,5.351287842,
"CZE",2019,0,40981.055,9.38,
"CZE",2022,0,40414.977,8.603948593,
"DEU",2019,0,53929.641,7.92,
"DEU",2022,0,53687.926,7.778905869,
"DJI",2019,16.96568489,5260.0151,0.36,
