"iso3c","povertytargetmet"
"AGO",0
"ALB",1
"ARE",1
"ARG",1
"ARM",1
"AUS",1
"AUT",1
"AZE",1
"BDI",0
"BEL",1
"BEN",0
"BFA",0
"BGD",0
"BGR",1
"BIH",1
"BLR",1
"BLZ",0
"BOL",1
"BRA",1
"BTN",1
"BWA",0
"CAF",0
"CAN",1
"CHE",1
"CHL",1
"CHN",1
"CIV",0
"CMR",0
"COD",0
"COG",0
"COL",0
"COM",0
"CPV",0
"CRI",1
"CYP",1
"CZE",1
"DEU",1
"DJI",0
"DNK",1
"DOM",1
"DZA",1
"ECU",1
"EGY",1
"ESP",1
"EST",1
"ETH",0
"FIN",1
"FJI",1
"FRA",1
"FSM",0
"GAB",1
"GBR",1
"GEO",0
"GHA",0
"GIN",0
"GMB",0
"GNB",0
"GRC",1
"GTM",1
"GUY",1
"HND",1
"HRV",1
"HTI",0
"HUN",1
"IDN",0
"IND",0
"IRL",1
"IRN",1
"IRQ",1
"ISL",1
"ISR",1
"ITA",1
"JAM",1
"JOR",1
"JPN",1
"KAZ",1
"KEN",0
"KGZ",1
"KIR",1
"KOR",1
"LAO",0
"LBN",1
"LBR",0
"LCA",1
"LKA",1
"LSO",0
"LTU",1
"LUX",1
"LVA",1
"MAR",1
"MDA",1
"MDG",0
"MDV",1
"MEX",1
"MHL",1
"MKD",1
"MLI",0
"MLT",1
"MMR",1
"MNE",1
"MNG",1
"MOZ",0
"MRT",0
"MUS",1
"MWI",0
"MYS",1
"NAM",0
"NER",0
"NGA",0
"NIC",1
"NLD",1
"NOR",1
"NPL",1
"NRU",1
"PAK",0
"PAN",1
"PER",1
"PHL",0
"PNG",0
"POL",1
"PRT",1
"PRY",1
"PSE",1
"ROU",1
"RUS",1
"RWA",0
"SDN",0
"SEN",0
"SLB",0
"SLE",0
"SLV",1
"SOM",0
"SRB",1
"SSD",0
"STP",0
"SUR",0
"SVK",1
"SVN",1
"SWE",1
"SWZ",0
"SYC",1
"SYR",0
"TCD",0
"TGO",0
"THA",1
"TJK",0
"TKM",1
"TLS",0
"TON",1
"TTO",1
"TUN",1
"TUR",1
"TUV",1
"TWN",1
"TZA",0
"UGA",0
"UKR",1
"URY",1
"USA",1
"UZB",0
"VNM",1
"VUT",0
"WSM",1
"XKX",1
"YEM",0
"ZAF",0
"ZMB",0
"ZWE",0
