"year","welfare","region"
1990,0.5,"EAS"
1990,0.5367524,"EAS"
1990,0.60065675,"EAS"
1990,0.65153444,"EAS"
1990,0.69,"EAS"
1990,0.72021967,"EAS"
1990,0.76004553,"EAS"
1990,0.78999996,"EAS"
1990,0.81957984,"EAS"
1990,0.85000002,"EAS"
1990,0.88020921,"EAS"
1990,0.90999997,"EAS"
1990,0.94051385,"EAS"
1990,0.97000003,"EAS"
1990,1.000387,"EAS"
1990,1.03,"EAS"
1990,1.05,"EAS"
1990,1.0800107,"EAS"
1990,1.11,"EAS"
1990,1.13,"EAS"
1990,1.15,"EAS"
1990,1.17,"EAS"
1990,1.1999482,"EAS"
1990,1.23,"EAS"
1990,1.25,"EAS"
1990,1.27,"EAS"
1990,1.3000187,"EAS"
1990,1.33,"EAS"
1990,1.35,"EAS"
1990,1.37,"EAS"
1990,1.39,"EAS"
1990,1.419982,"EAS"
1990,1.45,"EAS"
1990,1.47,"EAS"
1990,1.499964,"EAS"
1990,1.53,"EAS"
1990,1.55,"EAS"
1990,1.5798849,"EAS"
1990,1.61,"EAS"
1990,1.6399257,"EAS"
1990,1.67,"EAS"
1990,1.6999013,"EAS"
1990,1.73,"EAS"
1990,1.7599021,"EAS"
1990,1.7996466,"EAS"
1990,1.8398851,"EAS"
1990,1.8799495,"EAS"
1990,1.91,"EAS"
1990,1.9399379,"EAS"
1990,1.9883317,"EAS"
1990,2.0405006,"EAS"
1990,2.0812852,"EAS"
1990,2.1257446,"EAS"
1990,2.1791832,"EAS"
1990,2.231318,"EAS"
1990,2.2764289,"EAS"
1990,2.3335359,"EAS"
1990,2.392422,"EAS"
1990,2.4522867,"EAS"
1990,2.5133667,"EAS"
1990,2.5773971,"EAS"
1990,2.6552639,"EAS"
1990,2.7357199,"EAS"
1990,2.8187926,"EAS"
1990,2.9046891,"EAS"
1990,3.0057695,"EAS"
1990,3.1142414,"EAS"
1990,3.2237604,"EAS"
1990,3.3706269,"EAS"
1990,3.5259154,"EAS"
1990,3.6871624,"EAS"
1990,3.8939662,"EAS"
1990,4.1333823,"EAS"
1990,4.4306879,"EAS"
1990,4.795979,"EAS"
1990,5.2379074,"EAS"
1990,5.8493528,"EAS"
1990,6.6808243,"EAS"
1990,7.8614297,"EAS"
1990,9.4860649,"EAS"
1990,11.736134,"EAS"
1990,14.292041,"EAS"
1990,17.075075,"EAS"
1990,20.064611,"EAS"
1990,23.265488,"EAS"
1990,27.120321,"EAS"
1990,31.437904,"EAS"
1990,36.432281,"EAS"
1990,43.180958,"EAS"
1990,54.023205,"EAS"
1990,92.584396,"EAS"
1990,0.5,"RESTOFWORLD"
1990,0.94225544,"RESTOFWORLD"
1990,1.3435774,"RESTOFWORLD"
1990,1.6751046,"RESTOFWORLD"
1990,1.952974,"RESTOFWORLD"
1990,2.2016044,"RESTOFWORLD"
1990,2.4272211,"RESTOFWORLD"
1990,2.6456075,"RESTOFWORLD"
1990,2.8507462,"RESTOFWORLD"
1990,3.042125,"RESTOFWORLD"
1990,3.2414796,"RESTOFWORLD"
1990,3.4594033,"RESTOFWORLD"
1990,3.6528196,"RESTOFWORLD"
1990,3.8433964,"RESTOFWORLD"
1990,4.0543194,"RESTOFWORLD"
1990,4.2617087,"RESTOFWORLD"
1990,4.4539042,"RESTOFWORLD"
1990,4.6841574,"RESTOFWORLD"
1990,4.8996491,"RESTOFWORLD"
1990,5.1226373,"RESTOFWORLD"
1990,5.3577433,"RESTOFWORLD"
1990,5.5716424,"RESTOFWORLD"
1990,5.8009882,"RESTOFWORLD"
1990,6.0353723,"RESTOFWORLD"
1990,6.2822442,"RESTOFWORLD"
1990,6.5370736,"RESTOFWORLD"
1990,6.8009696,"RESTOFWORLD"
1990,7.078701,"RESTOFWORLD"
1990,7.3597889,"RESTOFWORLD"
1990,7.6627245,"RESTOFWORLD"
1990,7.9683342,"RESTOFWORLD"
1990,8.2992268,"RESTOFWORLD"
1990,8.6340809,"RESTOFWORLD"
1990,8.9434948,"RESTOFWORLD"
1990,9.2595778,"RESTOFWORLD"
1990,9.6296968,"RESTOFWORLD"
1990,10.020982,"RESTOFWORLD"
1990,10.431801,"RESTOFWORLD"
1990,10.861978,"RESTOFWORLD"
1990,11.300585,"RESTOFWORLD"
1990,11.702208,"RESTOFWORLD"
1990,12.111737,"RESTOFWORLD"
1990,12.602488,"RESTOFWORLD"
1990,13.110452,"RESTOFWORLD"
1990,13.649524,"RESTOFWORLD"
1990,14.191086,"RESTOFWORLD"
1990,14.776371,"RESTOFWORLD"
1990,15.379167,"RESTOFWORLD"
1990,15.918874,"RESTOFWORLD"
1990,16.481245,"RESTOFWORLD"
1990,17.156006,"RESTOFWORLD"
1990,17.851225,"RESTOFWORLD"
1990,18.485634,"RESTOFWORLD"
1990,19.144848,"RESTOFWORLD"
1990,19.916157,"RESTOFWORLD"
1990,20.728449,"RESTOFWORLD"
1990,21.455429,"RESTOFWORLD"
1990,22.218449,"RESTOFWORLD"
1990,23.139811,"RESTOFWORLD"
1990,23.942366,"RESTOFWORLD"
1990,24.80143,"RESTOFWORLD"
1990,25.80331,"RESTOFWORLD"
1990,26.715315,"RESTOFWORLD"
1990,27.655312,"RESTOFWORLD"
1990,28.777908,"RESTOFWORLD"
1990,29.953205,"RESTOFWORLD"
1990,31.011881,"RESTOFWORLD"
1990,32.118313,"RESTOFWORLD"
1990,33.437393,"RESTOFWORLD"
1990,34.758732,"RESTOFWORLD"
1990,36.192127,"RESTOFWORLD"
1990,37.466599,"RESTOFWORLD"
1990,38.775032,"RESTOFWORLD"
1990,40.359177,"RESTOFWORLD"
1990,42.213322,"RESTOFWORLD"
1990,44.146595,"RESTOFWORLD"
1990,45.935825,"RESTOFWORLD"
1990,48.020195,"RESTOFWORLD"
1990,50.461964,"RESTOFWORLD"
1990,52.789078,"RESTOFWORLD"
1990,55.478897,"RESTOFWORLD"
1990,58.60289,"RESTOFWORLD"
1990,61.859337,"RESTOFWORLD"
1990,65.753098,"RESTOFWORLD"
1990,70.074516,"RESTOFWORLD"
1990,75.422951,"RESTOFWORLD"
1990,82.149796,"RESTOFWORLD"
1990,90.725395,"RESTOFWORLD"
1990,102.83516,"RESTOFWORLD"
1990,123.17169,"RESTOFWORLD"
1990,200.47983,"RESTOFWORLD"
1990,0.65436506,"SAS"
1990,0.87633425,"SAS"
1990,0.98217583,"SAS"
1990,1.0510762,"SAS"
1990,1.1110804,"SAS"
1990,1.1704093,"SAS"
1990,1.2200989,"SAS"
1990,1.2702252,"SAS"
1990,1.3200449,"SAS"
1990,1.3601152,"SAS"
1990,1.4001266,"SAS"
1990,1.4398794,"SAS"
1990,1.4800829,"SAS"
1990,1.5200754,"SAS"
1990,1.5601494,"SAS"
1990,1.5997342,"SAS"
1990,1.6397085,"SAS"
1990,1.6800084,"SAS"
1990,1.7198923,"SAS"
1990,1.7601632,"SAS"
1990,1.800179,"SAS"
1990,1.8398286,"SAS"
1990,1.8801711,"SAS"
1990,1.9200649,"SAS"
1990,1.9696848,"SAS"
1990,2.0200179,"SAS"
1990,2.060106,"SAS"
1990,2.1016235,"SAS"
1990,2.1443627,"SAS"
1990,2.1981645,"SAS"
1990,2.2534399,"SAS"
1990,2.2989557,"SAS"
1990,2.3453863,"SAS"
1990,2.4044867,"SAS"
1990,2.4645457,"SAS"
1990,2.5262976,"SAS"
1990,2.5905545,"SAS"
1990,2.6556256,"SAS"
1990,2.7229996,"SAS"
1990,2.7917552,"SAS"
1990,2.861412,"SAS"
1990,2.9333732,"SAS"
1990,3.0222421,"SAS"
1990,3.1290309,"SAS"
1990,3.2409024,"SAS"
1990,3.3554468,"SAS"
1990,3.4903233,"SAS"
1990,3.6489463,"SAS"
1990,3.8170669,"SAS"
1990,4.0117168,"SAS"
1990,4.2584891,"SAS"
1990,4.5422392,"SAS"
1990,4.9134564,"SAS"
1990,5.4264865,"SAS"
1990,6.1928582,"SAS"
1990,7.6130843,"SAS"
1990,14.036249,"SAS"
1990,0.5,"SSF"
1990,0.51636344,"SSF"
1990,0.67199463,"SSF"
1990,0.8113175,"SSF"
1990,0.92999673,"SSF"
1990,1.0403075,"SSF"
1990,1.1605369,"SSF"
1990,1.2792988,"SSF"
1990,1.4105093,"SSF"
1990,1.5399014,"SSF"
1990,1.6791729,"SSF"
1990,1.8294985,"SSF"
1990,1.9890791,"SSF"
1990,2.1766641,"SSF"
1990,2.3777101,"SSF"
1990,2.6151979,"SSF"
1990,2.8898845,"SSF"
1990,3.2267413,"SSF"
