"year","welfare","region"
1990,0.25,"World"
1990,0.28719318,"World"
1990,0.39300904,"World"
1990,0.45995,"World"
1990,0.49711511,"World"
1990,0.54036784,"World"
1990,0.58001983,"World"
1990,0.61000001,"World"
1990,0.63,"World"
1990,0.66022897,"World"
1990,0.69,"World"
1990,0.71000004,"World"
1990,0.73000002,"World"
1990,0.75,"World"
1990,0.76999998,"World"
1990,0.78999996,"World"
1990,0.81,"World"
1990,0.82999998,"World"
1990,0.85000002,"World"
1990,0.87,"World"
1990,0.88999999,"World"
1990,0.90999997,"World"
1990,0.93000001,"World"
1990,0.94999999,"World"
1990,0.97000003,"World"
1990,0.99000001,"World"
1990,1.01,"World"
1990,1.03,"World"
1990,1.05,"World"
1990,1.0699999,"World"
1990,1.09,"World"
1990,1.11,"World"
1990,1.13,"World"
1990,1.15,"World"
1990,1.17,"World"
1990,1.1900001,"World"
1990,1.21,"World"
1990,1.23,"World"
1990,1.25,"World"
1990,1.27,"World"
1990,1.29,"World"
1990,1.3099999,"World"
1990,1.33,"World"
1990,1.35,"World"
1990,1.37,"World"
1990,1.39,"World"
1990,1.41,"World"
1990,1.4300001,"World"
1990,1.45,"World"
1990,1.47,"World"
1990,1.49,"World"
1990,1.51,"World"
1990,1.53,"World"
1990,1.55,"World"
1990,1.5699999,"World"
1990,1.59,"World"
1990,1.61,"World"
1990,1.63,"World"
1990,1.65,"World"
1990,1.67,"World"
1990,1.6900001,"World"
1990,1.71,"World"
1990,1.73,"World"
1990,1.75,"World"
1990,1.77,"World"
1990,1.79,"World"
1990,1.8099999,"World"
1990,1.83,"World"
1990,1.85,"World"
1990,1.87,"World"
1990,1.89,"World"
1990,1.91,"World"
1990,1.9300001,"World"
1990,1.95,"World"
1990,1.97,"World"
1990,1.99,"World"
1990,2.01,"World"
1990,2.03,"World"
1990,2.0504999,"World"
1990,2.0710001,"World"
1990,2.0915,"World"
1990,2.1125,"World"
1990,2.1335001,"World"
1990,2.155,"World"
1990,2.1764998,"World"
1990,2.198,"World"
1990,2.22,"World"
1990,2.2424998,"World"
1990,2.2649999,"World"
1990,2.2874999,"World"
1990,2.3105001,"World"
1990,2.3334999,"World"
1990,2.3569999,"World"
1990,2.3804998,"World"
1990,2.4039998,"World"
1990,2.428,"World"
1990,2.4524999,"World"
1990,2.477,"World"
1990,2.5015001,"World"
1990,2.5265,"World"
1990,2.552,"World"
1990,2.5780001,"World"
1990,2.6034999,"World"
1990,2.6294999,"World"
1990,2.6559999,"World"
1990,2.6824999,"World"
1990,2.7095001,"World"
1990,2.7499428,"World"
1990,2.7909999,"World"
1990,2.819,"World"
1990,2.8474998,"World"
1990,2.8759999,"World"
1990,2.9184957,"World"
1990,2.9629998,"World"
1990,2.993,"World"
1990,3.023,"World"
1990,3.053,"World"
1990,3.0984874,"World"
1990,3.1455002,"World"
1990,3.1922305,"World"
1990,3.2405,"World"
1990,3.273,"World"
1990,3.321682,"World"
1990,3.372,"World"
1990,3.4223621,"World"
1990,3.4745002,"World"
1990,3.5267208,"World"
1990,3.5795,"World"
1990,3.6333559,"World"
1990,3.6880002,"World"
