"Code","Indicator Name","Long definition","Source"
"CoCA","Cost of an energy sufficient diet","The cost to meet average dietary energy requirements (2329 kcal) from the least expensive locally-available starchy staple, per capita, per day (2017 USD)","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoNA","Cost of a nutrient adequate diet","The cost of the least expensive locally-available foods to meet average requirements for dietary energy and 23 essential macro- and micro-nutrients, per capita, per day (2017 USD)","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoRD","Cost of a healthy diet","The cost of the least expensive locally-available foods to meet requirements for energy and food-based dietary guidelines, per capita, per day (2017 USD)","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoRD_f","Cost of fruits","The cost of the least expensive locally-available foods to meet fruit recommendations in food-based dietary guidelines, per capita, per day (2017 USD)","Food Prices for Nutrition project"
"CoRD_v","Cost of vegetables","The cost of the least expensive locally-available foods to meet vegetable recommendations in food-based dietary guidelines, per capita, per day (2017 USD)","Food Prices for Nutrition project"
"CoRD_ss","Cost of starchy staples","The cost of the least expensive locally-available foods to meet starchy staple recommendations in food-based dietary guidelines, per capita, per day (2017 USD)","Food Prices for Nutrition project"
"CoRD_asf","Cost of animal-source foods","The cost of the least expensive locally-available foods to meet animal-source food recommendations in food-based dietary guidelines, per capita, per day (2017 USD)","Food Prices for Nutrition project"
"CoRD_lns","Cost of legumes, nuts and seeds","The cost of the least expensive locally-available foods to meet legumes, nuts and seeds recommendations in food-based dietary guidelines, per capita, per day (2017 USD)","Food Prices for Nutrition project"
"CoRD_of","Cost of oils and fats","The cost of the least expensive locally-available foods to meet fat or oil recommendations in food-based dietary guidelines, per capita, per day (2017 USD)","Food Prices for Nutrition project"
"CoCA_pov","Affordability of an energy sufficient diet: ratio of cost to the food poverty line","The ratio of the cost of an energy sufficient diet to the food poverty line (63% of the international poverty line of 1.90/day in 2017 USD)","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
