"country_code","country_name","CoCA","CoNA","CoRD","CoRD_f","CoRD_v","CoRD_ss","CoRD_asf","CoRD_lns","CoRD_of","CoCA_headcount","CoNA_headcount","CoRD_headcount","CoCA_unafford_n","CoNA_unafford_n","CoRD_unafford_n","gdp"
"AGO","Angola",1.4,3.23,4.33,0.72,1.2,0.84,1.01,0.4,0.17,57.2,87.1,92.9,17,26,27.7,7310.897
"ALB","Albania",0.73,2.47,3.95,0.91,0.71,0.6,1.2,0.44,0.09,0,13,37.8,0,0.4,1.1,12770.96
"ARE","United Arab Emirates",0.75,1.81,2.76,0.56,0.53,0.39,0.86,0.27,0.15,0,0,0,0,0,0,67183.61
"ARG","Argentina",0.65,2.63,3.34,0.73,0.7,0.46,0.67,0.66,0.12,0.3,7.1,11,0.1,3.1,4.8,23597.12
"ARM","Armenia",1.01,2.21,3.1,0.49,0.43,0.54,0.97,0.54,0.12,0.6,16.8,40.9,0,0.5,1.2,12115.14
"AUS","Australia",0.31,1.6,2.26,0.67,0.6,0.22,0.46,0.25,0.07,0.2,0.5,0.7,0.1,0.1,0.2,48398.55
"AUT","Austria",0.35,2.26,2.77,0.82,0.7,0.23,0.61,0.36,0.06,0.2,0.5,0.6,0,0,0.1,54172.99
"AZE","Azerbaijan",0.79,1.84,2.35,0.26,0.32,0.45,0.73,0.46,0.13,0,0,0,0,0,0,14121.41
"BDI","Burundi",0.71,1.59,2.99,0.45,0.53,0.62,1.11,0.17,0.11,56.1,89.6,97.5,6.1,9.7,10.6,773.573
"BEL","Belgium",0.26,2.41,2.86,0.79,0.68,0.22,0.75,0.37,0.06,0.1,0.3,0.3,0,0,0,50442.27
"BEN","Benin",0.65,2.5,3.55,0.54,1.01,0.41,1.17,0.3,0.13,13.9,82.3,90.7,1.5,9.2,10.1,3044.517
"BFA","Burkina Faso",0.57,2.54,3.17,0.35,0.92,0.44,1.15,0.13,0.19,7.5,79,85.1,1.4,15.2,16.3,2044.387
"BGD","Bangladesh",0.64,1.95,2.88,0.56,0.48,0.36,1.14,0.23,0.12,0.8,51.8,77.4,1.2,82.7,123.7,4894.563
"BGR","Bulgaria",0.5,2.77,3.78,0.96,0.77,0.5,0.96,0.48,0.1,0.4,6.4,11.3,0,0.5,0.8,21469.95
"BIH","Bosnia and Herzegovina",0.69,3.05,3.85,0.92,0.83,0.54,0.92,0.51,0.13,0,2.3,4.6,0,0.1,0.2,13753.84
"BLR","Belarus",0.8,2.16,3.18,0.68,0.35,0.51,0.83,0.64,0.17,0,0.1,0.8,0,0,0.1,18356.1
"BLZ","Belize",1.13,2.8,2.48,0.16,0.81,0.38,0.78,0.22,0.13,13.9,45.5,39.4,0.1,0.2,0.1,7140.905
"BOL","Bolivia",1.47,3.34,3.55,0.41,0.64,0.78,1.05,0.53,0.14,9.3,28,30.2,1,3.1,3.4,8423.698
"BRA","Brazil",0.85,2.66,2.81,0.46,0.47,0.44,0.64,0.74,0.07,3.2,16.9,18.3,6.6,35.2,38.1,14524.61
"BTN","Bhutan",1.05,2.8,4.38,1.12,0.94,0.54,1.19,0.43,0.16,1.3,32.7,57.6,0,0.2,0.4,11142.47
"BWA","Botswana",0.51,2.25,3.62,0.8,0.8,0.39,1.1,0.4,0.14,1.4,45.1,63.8,0,1,1.4,15948.03
"CAF","Central African Republic",1.02,1.71,3.42,0.35,0.96,0.53,1.28,0.14,0.17,70.3,85.4,95.4,3.2,3.9,4.4,912.803
"CAN","Canada",0.67,2.11,2.86,0.67,0.61,0.43,0.77,0.31,0.08,0,0.5,0.7,0,0.2,0.3,48317.17
"CHE","Switzerland",0.42,2.1,2.52,0.58,0.74,0.21,0.68,0.25,0.07,0,0,0,0,0,0,69103.57
"CHL","Chile",0.64,2.18,3.05,0.62,0.94,0.35,0.77,0.26,0.12,0.2,1.2,3.4,0,0.2,0.6,24411.54
"CHN","China",0.85,2.11,2.57,0.62,0.48,0.43,0.67,0.28,0.09,0.2,8,14.3,2.3,111.7,199.3,14243.53
"CIV","Côte d'Ivoire",0.82,1.62,3.27,0.39,1.04,0.43,1.11,0.15,0.15,7.6,37.5,76.5,1.9,9.2,18.7,4830.751
"CMR","Cameroon",0.89,2.07,2.62,0.45,0.59,0.48,0.84,0.14,0.12,16.8,50.7,60.9,4.1,12.5,15,3665.118
"COD","Congo, Dem. Rep.",0.56,2.05,2.92,0.32,0.8,0.38,1.21,0.14,0.08,38.5,91.5,96.4,31.3,74.5,78.5,1059.811
"COG","Congo, Rep.",0.99,2.58,3.34,0.73,1.12,0.53,0.63,0.22,0.1,46.4,85.3,91.6,2.4,4.4,4.7,4234.66
"COL","Colombia",0.99,2.53,2.86,0.49,0.62,0.55,0.8,0.26,0.15,3.5,20.3,24.7,1.7,9.9,12.1,14171.32
"CPV","Cabo Verde",0.62,2.52,3.36,0.82,1.04,0.34,0.78,0.28,0.1,0.3,27.6,42.1,0,0.1,0.2,6643.18
"CRI","Costa Rica",0.97,2.82,3.96,0.59,1.39,0.62,0.86,0.41,0.09,0.8,8.1,16.2,0,0.4,0.8,20347.03
"CYP","Cyprus",0.58,2.07,2.85,0.72,0.65,0.42,0.7,0.28,0.08,0,0.1,0.1,0,0,0,38287.97
"CZE","Czech Republic",0.44,2.36,2.9,0.69,0.76,0.3,0.7,0.38,0.08,0,0.2,0.4,0,0,0,38824.89
"DEU","Germany",0.26,2.22,2.79,0.71,0.82,0.24,0.67,0.3,0.05,0,0.2,0.2,0,0.2,0.2,53071.46
"DJI","Djibouti",0.62,2.46,2.8,0.56,0.53,0.45,0.99,0.17,0.11,5.3,56.9,64.6,0.1,0.5,0.6,4904.977
"DNK","Denmark",0.3,1.73,2.38,0.55,0.78,0.24,0.5,0.26,0.05,0.1,0.2,0.2,0,0,0,55356.68
"DOM","Dominican Republic",1.18,2.88,3.52,0.53,0.87,0.68,0.9,0.36,0.18,0.9,13.1,21.2,0.1,1.4,2.2,16735.36
"DZA","Algeria",0.77,2.32,3.76,0.98,0.7,0.5,0.96,0.49,0.13,0.2,7.2,35.2,0.1,3,14.6,11737.4
"ECU","Ecuador",1.35,2.51,2.79,0.33,0.43,0.81,0.75,0.34,0.13,4.7,16,18.9,0.8,2.7,3.2,11617.91
"EGY","Egypt, Arab Rep.",0.99,2.29,3.46,0.53,0.49,0.58,1.21,0.38,0.26,2,44.9,76.2,2,43.3,73.5,11014.49
"ESP","Spain",0.44,1.75,2.7,0.8,0.74,0.28,0.62,0.21,0.05,0.5,1.1,1.9,0.2,0.5,0.9,39528.93
"EST","Estonia",0.42,2.55,3.13,0.74,0.54,0.33,0.75,0.67,0.09,0.2,0.7,1,0,0,0,33821.93
"ETH","Ethiopia",0.72,2,3.11,0.78,0.55,0.44,0.88,0.27,0.19,10.3,69.9,88.3,10.9,74.4,94,2021.563
"FIN","Finland",0.28,2.47,2.55,0.6,0.73,0.2,0.54,0.41,0.08,0.1,0.1,0.1,0,0,0,47570.13
"FJI","Fiji",0.85,2.56,3.61,0.91,0.8,0.52,1,0.2,0.19,0.3,26.9,51.5,0,0.2,0.5,13429.3
"FRA","France",0.32,1.87,2.94,0.86,0.85,0.25,0.64,0.28,0.07,0,0,0.1,0,0,0,44577.06
"GAB","Gabon",0.96,2.57,3.36,0.57,1.17,0.55,0.74,0.22,0.11,2.4,23.3,36,0.1,0.5,0.7,15006.84
"GBR","United Kingdom",0.26,1.53,1.82,0.53,0.4,0.15,0.49,0.2,0.05,0.1,0.4,0.5,0.1,0.3,0.3,46372.39
"GHA","Ghana",0.82,2.52,3.77,0.4,1.26,0.55,1.24,0.17,0.15,7.7,43.2,64.4,2.2,12.6,18.8,5115.907
"GIN","Guinea",0.9,2.22,3.66,0.45,1.78,0.5,0.56,0.19,0.18,16.3,75.8,94.3,2,9.1,11.4,2417.804
"GMB","Gambia, The",0.98,2.53,2.94,0.66,0.9,0.49,0.59,0.14,0.17,7.5,58.9,69.2,0.2,1.3,1.5,2072.647
"GNB","Guinea-Bissau",0.93,1.86,3.16,0.53,1.28,0.58,0.57,0.07,0.15,22.6,64.6,87.4,0.4,1.2,1.6,1925.238
"GRC","Greece",0.67,2.56,3.04,0.58,0.74,0.41,0.8,0.41,0.1,0.5,2.9,4.3,0.1,0.3,0.5,28604.86
"GUY","Guyana",0.73,3.61,4.63,1.28,1.12,0.51,0.92,0.67,0.13,4.6,34.2,47.8,0,0.3,0.4,12005.41
"HND","Honduras",1.15,3.47,3.36,0.48,0.68,0.64,1.08,0.23,0.25,16.9,55.2,53.7,1.6,5.2,5.1,5561.995
"HRV","Croatia",0.66,3.21,4.17,0.95,1.14,0.5,0.96,0.56,0.07,0.4,3.8,7.2,0,0.2,0.3,27154.08
"HTI","Haiti",1.1,2.93,3.93,0.38,0.85,0.65,1.58,0.35,0.13,21.5,70.8,82.7,2.4,7.8,9.1,3153.299
"HUN","Hungary",0.43,2.26,3.3,0.83,0.75,0.41,0.81,0.42,0.09,0.3,1.7,3.3,0,0.2,0.3,29501.12
"IDN","Indonesia",1.02,2.66,4.13,0.79,1.16,0.69,0.93,0.43,0.13,3.4,47,70.7,9,124.3,187.2,10935.63
"IND","India",0.79,2.13,2.82,0.5,0.59,0.41,0.89,0.29,0.14,2.1,57.3,74.9,28.8,766.6,"1,002.50",6182.922
"IRL","Ireland",0.57,2.03,2.4,0.62,0.58,0.33,0.52,0.29,0.06,0.2,0.3,0.3,0,0,0,77749.2
"IRN","Iran, Islamic Rep.",0.87,2.01,3.01,0.63,0.49,0.44,0.7,0.58,0.17,0.1,4,12,0.1,3.2,9.6,15883.39
"IRQ","Iraq",1.17,2.51,3.38,0.65,0.67,0.64,1,0.29,0.13,1.7,30.1,53.3,0.6,11.3,20,10526.37
"ISL","Iceland",0.38,2.42,2.21,0.48,0.53,0.28,0.6,0.28,0.06,0,0,0,0,0,0,55638.49
"ISR","Israel",0.5,1.9,2.44,0.56,0.4,0.35,0.84,0.22,0.07,0.2,1.2,1.7,0,0.1,0.2,39121.3
"ITA","Italy",0.31,2.23,2.89,0.81,0.75,0.22,0.78,0.27,0.06,1,2.1,2.9,0.6,1.3,1.7,41581.12
"JAM","Jamaica",1.02,4.06,5.98,2,1.45,0.68,1.14,0.45,0.24,1.5,45.6,64.7,0,1.3,1.9,9600.105
"JOR","Jordan",0.64,1.61,3.41,0.6,0.67,0.4,1.29,0.32,0.13,0,0.6,15.8,0,0.1,1.6,10003.57
"JPN","Japan",2.96,3.56,5.53,1,1.57,1.48,0.89,0.51,0.09,1.2,1.2,2.5,1.5,1.5,3.2,41444.22
"KAZ","Kazakhstan",0.65,1.75,2.39,0.36,0.34,0.43,0.67,0.47,0.12,0,0.3,1.5,0,0.1,0.3,24862.97
"KEN","Kenya",0.77,1.85,2.85,0.57,0.52,0.43,0.94,0.22,0.18,18,66.6,83.5,9,33.4,41.9,4203.585
"KGZ","Kyrgyz Republic",0.97,2.46,2.97,0.47,0.45,0.53,0.8,0.56,0.17,0.7,39.1,56.6,0,2.4,3.5,5046.692
"KOR","Korea, Rep.",0.67,4.24,4.71,1.33,1.27,0.49,1.19,0.37,0.08,0,1.5,1.7,0,0.8,0.9,40957.42
"LAO","Lao PDR",0.72,2.9,3.78,0.74,0.89,0.48,1.11,0.39,0.17,1.7,68.5,80.6,0.1,4.8,5.6,7257.812
"LBR","Liberia",0.97,2.98,4.02,0.9,0.84,1.27,0.69,0.23,0.09,37.8,92.4,97.1,1.8,4.3,4.6,1564.198
"LCA","St. Lucia",1.05,2.65,3.26,0.48,0.89,0.51,0.85,0.33,0.21,4.4,16.4,20.2,0,0,0,14928.4
"LKA","Sri Lanka",0.97,2.23,3.7,0.9,0.8,0.49,1,0.19,0.32,0.4,19.4,52.3,0.1,4.2,11.2,12584.1
"LSO","Lesotho",0.61,2.31,3.77,0.84,0.79,0.46,1.17,0.36,0.15,9,59.7,80.2,0.2,1.2,1.7,2668.291
"LTU","Lithuania",0.51,1.97,3,0.67,0.83,0.37,0.7,0.34,0.09,0.8,1.6,3.6,0,0,0.1,33761.87
"LUX","Luxembourg",0.34,2.04,2.49,0.76,0.53,0.21,0.66,0.28,0.06,0.1,0.4,0.4,0,0,0,114985.8
"LVA","Latvia",0.44,2.03,3.12,0.65,0.92,0.34,0.79,0.31,0.11,0.2,1.7,3.4,0,0,0.1,28673.56
"MAR","Morocco",0.61,1.91,2.71,0.54,0.49,0.41,0.8,0.36,0.12,0.1,7.1,18.9,0,2.5,6.7,7312.057
"MDA","Moldova",0.8,1.68,2.46,0.43,0.34,0.46,0.75,0.36,0.12,0,0.7,5.9,0,0,0.2,11651.32
"MDG","Madagascar",1.08,2.59,2.99,0.56,0.32,0.56,1.02,0.33,0.2,77.8,95.8,97.1,19.9,24.5,24.8,1584.425
"MDV","Maldives",0.42,2.69,3.58,0.86,1.07,0.24,0.91,0.41,0.1,0,0.9,4.2,0,0,0,18057.91
"MEX","Mexico",0.64,2.48,2.99,0.6,0.77,0.41,0.77,0.35,0.1,0.8,18.6,26.1,1,23.2,32.6,19721.26
"MKD","North Macedonia",0.73,2.97,3.32,0.64,0.71,0.53,0.95,0.35,0.15,2.6,17.7,21.8,0.1,0.4,0.5,15706.44
"MLI","Mali",0.6,1.99,2.9,0.54,0.65,0.43,1,0.13,0.14,2.4,61.6,80.1,0.4,11.4,14.8,2246.797
"MLT","Malta",0.74,2.65,3.49,0.93,0.73,0.51,0.8,0.45,0.08,0.1,0.3,0.3,0,0,0,43559.32
"MMR","Myanmar",0.91,2.6,3.71,0.64,0.91,0.65,1.03,0.37,0.11,0.6,39.2,68.1,0.3,20.9,36.3,4224.545
"MNE","Montenegro",0.55,2.29,3.4,0.83,0.83,0.43,0.86,0.37,0.08,1.6,9.5,17.4,0,0.1,0.1,19682.27
"MNG","Mongolia",0.74,2.26,4.54,1.92,0.68,0.55,0.76,0.47,0.17,0.1,12.7,55.3,0,0.4,1.7,11366.3
"MOZ","Mozambique",0.38,1.97,3.03,0.39,0.84,0.41,0.99,0.21,0.19,13.3,83.5,91.3,3.8,23.9,26.2,1283.66
"MRT","Mauritania",0.88,2.81,3.45,0.8,0.87,0.46,0.96,0.19,0.16,2.9,49.2,62.9,0.1,2.1,2.7,5108.549
"MUS","Mauritius",0.81,2.52,3.31,0.57,1.07,0.41,0.88,0.3,0.1,0,6,14.8,0,0.1,0.2,21415.12
"MWI","Malawi",0.29,1.62,2.72,0.4,0.61,0.33,1.09,0.13,0.18,3.5,86.3,95.5,0.6,15.3,16.9,1472.147
"MYS","Malaysia",0.91,2.38,3.22,0.93,0.65,0.46,0.83,0.29,0.07,0,0.8,2.6,0,0.2,0.8,26661.51
"NAM","Namibia",1.01,1.84,3.26,0.81,0.83,0.57,0.74,0.19,0.12,13.4,32.4,54.4,0.3,0.8,1.3,10171.42
"NER","Niger",0.61,1.66,2.85,0.6,0.47,0.4,1.14,0.09,0.14,9.9,72.5,91.1,2.1,15.7,19.7,1163.226
"NGA","Nigeria",1.38,2.12,3.57,0.52,0.93,0.76,0.99,0.23,0.13,55.3,78.1,94.1,105.6,149,179.7,5190.356
"NIC","Nicaragua",1.44,2.49,3.19,0.37,0.74,0.59,1.02,0.33,0.14,5.7,21.2,32.2,0.4,1.4,2.1,6004.029
"NLD","Netherlands",0.3,1.77,2.74,0.61,0.89,0.32,0.61,0.26,0.05,0,0.3,0.4,0,0,0.1,55088.63
"NOR","Norway",1.12,2.85,3.33,0.62,1.12,0.57,0.69,0.26,0.08,0.3,0.5,0.5,0,0,0,64050.76
"NPL","Nepal",0.99,2.57,4.13,1.03,0.71,0.51,1.38,0.34,0.17,5.9,64.3,86.8,1.6,17.8,24,3565.198
"PAK","Pakistan",0.77,1.95,3.41,0.92,0.52,0.41,1.02,0.34,0.19,0.2,38.4,79.7,0.4,79.9,165.7,5091.087
"PAN","Panama",1.13,3.22,4.23,0.65,1.3,0.69,1.11,0.31,0.17,2.7,14.7,21.1,0.1,0.6,0.9,30446.85
"PER","Peru",0.92,2.24,3.08,0.57,0.55,0.59,0.9,0.35,0.12,2.2,14.5,23.7,0.7,4.6,7.5,12506.53
"PHL","Philippines",1.16,2.82,3.84,0.59,0.95,0.68,1.1,0.32,0.2,7.5,54.2,71,7.9,57.1,74.6,8120.869
"POL","Poland",0.39,1.93,2.91,0.65,0.89,0.32,0.58,0.38,0.09,0,0.1,1,0,0,0.4,30064.5
"PRT","Portugal",0.41,1.84,2.51,0.69,0.62,0.27,0.58,0.28,0.08,0.1,0.7,1.1,0,0.1,0.1,33044.72
"PRY","Paraguay",0.95,3.89,3.43,0.46,0.72,0.47,0.81,0.83,0.14,0.5,24.8,20.1,0,1.7,1.4,12590.55
"PSE","West Bank and Gaza",1.12,1.76,3.34,0.7,0.56,0.65,1.13,0.19,0.12,1,4.4,25.4,0,0.2,1.1,6401.741
"ROU","Romania",0.49,2.19,2.92,0.7,0.5,0.36,0.95,0.35,0.07,0.9,7.9,11.9,0.2,1.6,2.3,27141.9
"RUS","Russian Federation",0.61,2.22,3.15,0.75,0.74,0.36,0.98,0.19,0.14,0,1,4,0,1.4,5.7,25926.44
"RWA","Rwanda",0.76,1.31,2.61,0.48,0.3,0.58,0.92,0.14,0.19,34.5,66.8,89,4.1,8,10.7,1975.249
"SDN","Sudan",1.08,2.09,3.67,0.48,0.72,0.55,1.2,0.51,0.21,12.7,54.4,86.3,5.2,22.2,35.2,4598.85
"SEN","Senegal",0.75,1.86,2.19,0.42,0.68,0.4,0.38,0.12,0.19,3.2,42.3,53,0.5,6.5,8.2,3203.906
"SLE","Sierra Leone",1.24,2.2,2.84,0.3,0.76,0.66,0.75,0.26,0.12,54.4,84.4,91.1,4.1,6.3,6.8,1633.731
"SRB","Serbia",0.6,2.67,4.07,0.87,0.92,0.57,1,0.61,0.1,3.2,15.2,29,0.2,1.1,2,16611.02
"STP","Sao Tome and Principe",0.9,2.57,3.29,0.24,1.05,0.48,1.02,0.39,0.12,16.3,75.7,84.4,0,0.2,0.2,3952.945
"SUR","Suriname",1.14,3.39,4.97,0.8,1.26,0.59,1.41,0.78,0.14,17.9,40.9,57.6,0.1,0.2,0.3,18283.69
"SVK","Slovak Republic",0.36,1.98,3.01,0.63,0.97,0.35,0.67,0.31,0.08,0.1,1.3,2,0,0.1,0.1,30061.55
"SVN","Slovenia",0.43,2.02,2.8,0.67,0.72,0.29,0.7,0.35,0.07,0,0,0.1,0,0,0,36507.55
"SWE","Sweden",0.8,2.43,3.09,0.77,0.77,0.47,0.64,0.35,0.09,0.2,0.3,0.5,0,0,0.1,51947.95
"SWZ","Eswatini",0.93,2.24,3.43,0.52,0.77,0.51,1.14,0.34,0.15,22.8,60.4,74.8,0.3,0.7,0.8,8408.036
"SYC","Seychelles",0.63,2.17,4.01,0.48,1.09,0.38,1.09,0.88,0.1,0.1,2.5,8.8,0,0,0,28116.71
"TCD","Chad",0.71,1.76,2.83,0.39,0.7,0.5,0.88,0.19,0.17,13.9,65,84.9,2.1,9.8,12.8,1587.032
"THA","Thailand",1.05,2.88,3.97,0.79,0.75,0.9,0.94,0.49,0.11,0,5.6,17.5,0,3.9,12.1,17422.95
"TJK","Tajikistan",0.91,2.35,3.03,0.63,0.43,0.55,0.82,0.44,0.16,1.7,26.5,42.9,0.2,2.3,3.8,3252.933
"TTO","Trinidad and Tobago",1.01,3.14,3.93,0.98,0.76,0.61,1.05,0.36,0.17,0.2,6.1,10.7,0,0.1,0.1,27277.88
"TUN","Tunisia",0.6,1.88,3.48,1.13,0.53,0.32,0.84,0.48,0.18,0,3.2,21.8,0,0.4,2.5,11234.5
"TUR","Türkiye",0.71,2.29,2.87,0.85,0.45,0.36,0.82,0.27,0.13,0,3.4,6.9,0,2.8,5.6,27913.82
"TZA","Tanzania",0.99,1.94,2.6,0.52,0.5,0.56,0.66,0.21,0.16,43.9,79.7,88.7,24,43.6,48.5,2530.603
"UGA","Uganda",0.65,1.8,2.75,0.49,0.53,0.5,0.85,0.2,0.18,14.2,69.3,84.8,5.9,28.5,34.9,2074.652
"URY","Uruguay",0.69,2.13,3.07,0.54,0.99,0.38,0.62,0.49,0.07,0,0.8,2.7,0,0,0.1,23009.87
"USA","United States",0.91,2.22,3.23,0.61,1.05,0.66,0.56,0.29,0.06,1.2,1.5,2,4.1,4.9,6.5,59914.78
"VNM","Vietnam",0.98,2.51,3.59,0.56,0.77,0.58,1.18,0.31,0.19,1.3,15.9,32.4,1.2,15.1,30.7,8996.378
"ZAF","South Africa",1.27,3.41,4.1,0.73,0.7,0.63,1.06,0.85,0.13,24,60.1,65.2,13.7,34.3,37.2,13860.27
"ZMB","Zambia",1.28,2.38,3.09,0.37,0.63,0.81,0.91,0.23,0.13,63.8,81.8,87.6,10.7,13.8,14.8,3485.022
"ZWE","Zimbabwe",0.78,2.3,3.46,0.51,0.97,0.55,0.95,0.33,0.14,15.8,70.8,84.1,2.2,10.1,12,2416.05
