"country_code","country_name","CoCA","CoNA","CoRD","CoRD_f","CoRD_v","CoRD_ss","CoRD_asf","CoRD_lns","CoRD_of","CoCA_headcount","CoNA_headcount","CoRD_headcount","CoCA_unafford_n","CoNA_unafford_n","CoRD_unafford_n","gdp"
"ABW","Aruba",1.13,2.835,3.418,0.475,0.907,0.797,0.718,0.407,0.115,,,,,,,38893.96
"AGO","Angola",1.403,3.231,4.327,0.717,1.199,0.839,1.011,0.395,0.166,57.2,87.1,92.9,17,26,27.7,7310.897
"AIA","Anguilla",1.308,2.433,3.717,0.811,1.019,0.778,0.647,0.328,0.134,,,,,,,"NA"
"ALB","Albania",0.725,2.471,3.952,0.911,0.707,0.599,1.204,0.441,0.089,0,13,37.8,0,0.4,1.1,12770.96
"ARE","United Arab Emirates",0.746,1.806,2.755,0.562,0.532,0.388,0.856,0.269,0.149,0,0,0,0,0,0,67183.61
"ARG","Argentina",0.652,2.625,3.341,0.733,0.703,0.463,0.669,0.656,0.117,0.3,7.1,11,0.1,3.1,4.8,23597.12
"ARM","Armenia",1.013,2.208,3.096,0.488,0.433,0.537,0.973,0.541,0.123,0.6,16.8,40.9,0,0.5,1.2,12115.14
"ATG","Antigua and Barbuda",0.933,3.017,4.112,1.003,1.279,0.604,0.682,0.429,0.115,,,,,,,19840.28
"AUS","Australia",0.307,1.595,2.259,0.667,0.597,0.221,0.458,0.249,0.067,0.2,0.5,0.7,0.1,0.1,0.2,48398.55
"AUT","Austria",0.346,2.256,2.772,0.819,0.698,0.229,0.612,0.36,0.055,0.2,0.5,0.6,0,0,0.1,54172.99
"AZE","Azerbaijan",0.789,1.836,2.348,0.26,0.317,0.448,0.729,0.463,0.132,0,0,0,0,0,0,14121.41
"BDI","Burundi",0.708,1.589,2.988,0.447,0.532,0.615,1.112,0.174,0.107,56.1,89.6,97.5,6.1,9.7,10.6,773.5729
"BEL","Belgium",0.263,2.406,2.862,0.79,0.677,0.222,0.745,0.369,0.06,0.1,0.3,0.3,0,0,0,50442.27
"BEN","Benin",0.652,2.498,3.55,0.538,1.012,0.41,1.168,0.297,0.125,13.9,82.3,90.7,1.5,9.2,10.1,3044.517
"BFA","Burkina Faso",0.574,2.538,3.173,0.354,0.917,0.439,1.145,0.127,0.19,7.5,79,85.1,1.4,15.2,16.3,2044.387
"BGD","Bangladesh",0.644,1.947,2.882,0.559,0.477,0.359,1.143,0.227,0.118,0.8,51.8,77.4,1.2,82.7,123.7,4894.563
"BGR","Bulgaria",0.504,2.768,3.78,0.959,0.774,0.504,0.963,0.478,0.101,0.4,6.4,11.3,0,0.5,0.8,21469.95
"BHR","Bahrain",0.792,2.829,3.379,0.474,0.688,0.653,1.006,0.373,0.185,,,,,,,47709.78
"BHS","Bahamas, The",1.049,4.683,4.276,1.03,0.716,0.574,0.848,0.656,0.453,,,,,,,35911.65
"BIH","Bosnia and Herzegovina",0.691,3.051,3.847,0.916,0.825,0.54,0.921,0.512,0.132,0,2.3,4.6,0,0.1,0.2,13753.84
"BLR","Belarus",0.8,2.161,3.177,0.678,0.349,0.506,0.826,0.643,0.174,0,0.1,0.8,0,0,0.1,18356.1
"BLZ","Belize",1.13,2.803,2.476,0.162,0.805,0.38,0.776,0.224,0.129,13.9,45.5,39.4,0.1,0.2,0.1,7140.905
"BMU","Bermuda",1.099,4.706,4.072,0.478,1.652,0.743,0.502,0.53,0.165,,,,,,,81834.96
"BOL","Bolivia",1.468,3.338,3.551,0.411,0.644,0.781,1.046,0.53,0.14,9.3,28,30.2,1,3.1,3.4,8423.698
"BRA","Brazil",0.848,2.657,2.809,0.46,0.465,0.439,0.635,0.742,0.067,3.2,16.9,18.3,6.6,35.2,38.1,14524.61
"BRN","Brunei Darussalam",0.762,2.376,4.126,0.894,0.932,0.674,1.123,0.405,0.098,,,,,,,60994.53
"BTN","Bhutan",1.047,2.802,4.383,1.122,0.94,0.54,1.191,0.427,0.164,1.3,32.7,57.6,0,0.2,0.4,11142.47
"BWA","Botswana",0.505,2.25,3.622,0.795,0.796,0.39,1.097,0.402,0.142,1.4,45.1,63.8,0,1,1.4,15948.03
"CAF","Central African Republic",1.021,1.706,3.423,0.345,0.955,0.525,1.284,0.141,0.174,70.3,85.4,95.4,3.2,3.9,4.4,912.803
"CAN","Canada",0.673,2.111,2.863,0.673,0.605,0.43,0.766,0.31,0.078,0,0.5,0.7,0,0.2,0.3,48317.17
"CHE","Switzerland",0.418,2.101,2.523,0.577,0.743,0.212,0.675,0.249,0.067,0,0,0,0,0,0,69103.57
"CHL","Chile",0.644,2.179,3.053,0.619,0.94,0.352,0.765,0.261,0.116,0.2,1.2,3.4,0,0.2,0.6,24411.54
"CHN","China",0.848,2.111,2.571,0.617,0.478,0.429,0.672,0.281,0.093,0.2,8,14.3,2.3,111.7,199.3,14243.53
"CIV","Côte d'Ivoire",0.815,1.619,3.273,0.39,1.041,0.434,1.111,0.149,0.148,7.6,37.5,76.5,1.9,9.2,18.7,4830.751
