"period","reporter_code","reporter_iso3c","reporter","commodity_group","world","ukraine"
202101,72,"BWA","Botswana","Oils and fats",3590000,0
202101,76,"BRA","Brazil","Cereals",280000000,0
202101,76,"BRA","Brazil","Oils and fats",158000000,11
202101,84,"BLZ","Belize","Cereals",26416.38,0
202101,84,"BLZ","Belize","Oils and fats",1360000,0
202101,97,"EUR","European Union","Cereals",584000000,231000000
202101,97,"EUR","European Union","Oils and fats",986000000,170000000
202101,31,"AZE","Azerbaijan","Cereals",12296184,0
202101,31,"AZE","Azerbaijan","Oils and fats",13939753,194383.3
202101,32,"ARG","Argentina","Cereals",274357,0
202101,32,"ARG","Argentina","Oils and fats",6428133,0
202101,36,"AUS","Australia","Cereals",17178470,1741.096
202101,36,"AUS","Australia","Oils and fats",43979671,1866664
202101,51,"ARM","Armenia","Cereals",1992265,0
202101,51,"ARM","Armenia","Oils and fats",1261666,71966
202101,52,"BRB","Barbados","Cereals",321767.5,0
202101,52,"BRB","Barbados","Oils and fats",538000,0
202101,56,"BEL","Belgium","Cereals",185000000,22577520
202101,56,"BEL","Belgium","Oils and fats",158000000,964613.4
202101,68,"BOL","Bolivia (Plurinational State of)","Cereals",5056596,0
202101,68,"BOL","Bolivia (Plurinational State of)","Oils and fats",1403571,0
202101,70,"BIH","Bosnia Herzegovina","Cereals",8094383,0
202101,70,"BIH","Bosnia Herzegovina","Oils and fats",6176763,0
202101,100,"BGR","Bulgaria","Cereals",16901375,197606.1
202101,100,"BGR","Bulgaria","Oils and fats",18486070,331223.4
202101,104,"MMR","Myanmar","Cereals",12490665,0
202101,104,"MMR","Myanmar","Oils and fats",65505535,1898003
202101,112,"BLR","Belarus","Cereals",5082900,1180600
202101,112,"BLR","Belarus","Oils and fats",10281800,649400
202101,28,"ATG","Antigua and Barbuda","Oils and fats",267406.2,0
202101,28,"ATG","Antigua and Barbuda","Cereals",58798.88,0
202101,72,"BWA","Botswana","Cereals",11053320,0
202101,124,"CAN","Canada","Oils and fats",92296742,2608542
202101,152,"CHL","Chile","Cereals",82970007,0
202101,152,"CHL","Chile","Oils and fats",61200000,28400
202101,156,"CHN","China","Cereals",1790000000,433000000
202101,156,"CHN","China","Oils and fats",1490000000,122000000
202101,170,"COL","Colombia","Cereals",168000000,0
202101,170,"COL","Colombia","Oils and fats",49474704,0
202101,191,"HRV","Croatia","Cereals",16005088,0
202101,191,"HRV","Croatia","Oils and fats",10969008,0
202101,196,"CYP","Cyprus","Cereals",7307040,1723834
202101,196,"CYP","Cyprus","Oils and fats",2830012,133175.9
202101,203,"CZE","Czechia","Cereals",20803277,27490
202101,203,"CZE","Czechia","Oils and fats",27946375,668540
202101,204,"BEN","Benin","Cereals",76019337,0
202101,204,"BEN","Benin","Oils and fats",5144030,73784.85
202101,208,"DNK","Denmark","Cereals",15761088,0
202101,208,"DNK","Denmark","Oils and fats",55143423,0
202101,214,"DOM","Dominican Rep.","Cereals",44321835,0
202101,214,"DOM","Dominican Rep.","Oils and fats",18406535,0
202101,218,"ECU","Ecuador","Cereals",21035026,0
202101,218,"ECU","Ecuador","Oils and fats",24001997,15542.6
202101,222,"SLV","El Salvador","Cereals",19524797,0
202101,222,"SLV","El Salvador","Oils and fats",18738047,138346
202101,233,"EST","Estonia","Cereals",1282126,10888.29
202101,233,"EST","Estonia","Oils and fats",33316843,134913.9
202101,242,"FJI","Fiji","Cereals",10919105,0
202101,242,"FJI","Fiji","Oils and fats",1739791,0
202101,246,"FIN","Finland","Cereals",2296230,9291.227
202101,246,"FIN","Finland","Oils and fats",43072240,607.325
202101,268,"GEO","Georgia","Cereals",8077221,0
202101,268,"GEO","Georgia","Oils and fats",3160000,520904
202101,276,"DEU","Germany","Cereals",290000000,1335543
202101,276,"DEU","Germany","Oils and fats",359000000,12194656
202101,300,"GRC","Greece","Cereals",41468496,30142.33
202101,300,"GRC","Greece","Oils and fats",27408351,0
202101,308,"GRD","Grenada","Cereals",63311.86,0
202101,308,"GRD","Grenada","Oils and fats",384433.4,0
202101,320,"GTM","Guatemala","Cereals",31295212,36405
202101,320,"GTM","Guatemala","Oils and fats",21704934,0
202101,328,"GUY","Guyana","Cereals",4342179,0
202101,328,"GUY","Guyana","Oils and fats",1064472,17999.99
202101,344,"HKG","China, Hong Kong SAR","Cereals",27245456,0
202101,344,"HKG","China, Hong Kong SAR","Oils and fats",18657815,0
202101,348,"HUN","Hungary","Cereals",27710486,238494
202101,348,"HUN","Hungary","Oils and fats",27797590,78936
202101,352,"ISL","Iceland","Cereals",1528681,0
