"year","commodity_code","commodity","value"
2021,1,"Animals; live",11777961
2021,2,"Meat and edible meat offal",215000000
2021,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8865493
2021,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",89362885
2021,5,"Animal originated products; not elsewhere specified or included",7607389
2021,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2129651
2021,7,"Vegetables and certain roots and tubers; edible",35910107
2021,8,"Fruit and nuts, edible; peel of citrus fruit or melons",53086831
2021,9,"Coffee, tea, mate and spices",3708115
2021,10,"Cereals",2490000000
2021,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",34683158
2021,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",166000000
2021,13,"Lac; gums, resins and other vegetable saps and extracts",794008
2021,14,"Vegetable plaiting materials; vegetable products not elsewhere specified or included",5102680
2021,15,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",1750000000
2021,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",6167703
2021,17,"Sugars and sugar confectionery",56524921
2021,18,"Cocoa and cocoa preparations",52345799
2021,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",96373478
2021,20,"Preparations of vegetables, fruit, nuts or other parts of plants",38089933
2021,21,"Miscellaneous edible preparations",51029866
2021,22,"Beverages, spirits and vinegar",77661415
2022,1,"Animals; live",8902912
2022,2,"Meat and edible meat offal",202000000
2022,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6255540
2022,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",82213749
2022,5,"Animal originated products; not elsewhere specified or included",3837231
2022,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1660625
2022,7,"Vegetables and certain roots and tubers; edible",11246907
2022,8,"Fruit and nuts, edible; peel of citrus fruit or melons",69069763
2022,9,"Coffee, tea, mate and spices",2503132
2022,10,"Cereals",983000000
2022,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",12597490
2022,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",445000000
2022,13,"Lac; gums, resins and other vegetable saps and extracts",881235
2022,14,"Vegetable plaiting materials; vegetable products not elsewhere specified or included",2751007
2022,15,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",830000000
2022,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",6787599
2022,17,"Sugars and sugar confectionery",31618540
2022,18,"Cocoa and cocoa preparations",23092689
2022,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",33161225
2022,20,"Preparations of vegetables, fruit, nuts or other parts of plants",45906226
2022,21,"Miscellaneous edible preparations",25556024
2022,22,"Beverages, spirits and vinegar",32257428
