"ISO3","country","coverage","deaths","averted","per10k"
"ABW",,84.58,,,
"AFG","Afghanistan",27.29,6520,5290,1.36
"AGO","Angola",39.96,1680,2280,0.6945
"AIA",,68.35,,,
"ALA",,,,,
"ALB","Albania",47.17,3210,4110,14.29
"AND",,72.52,,,
"ARE","United Arab Emirates",105.83,2200,18210,18.41
"ARG","Argentina",90.9,123300,104700,23.17
"ARM","Armenia",40.63,8050,3290,11.09
"ASM",,,,,
"ATA",,,,,
"ATF",,,,,
"ATG","Antigua & Barbuda",68.56,140,380,38.67
"AUS","Australia",85.74,2230,47860,18.77
"AUT","Austria",77.11,13570,41730,46.34
"AZE","Azerbaijan",51.88,8280,27250,26.87
"BDI","Burundi",0.19,10,0,5.05e-13
"BEL","Belgium",79.46,28180,124800,107.7
"BEN","Benin",24.04,170,20,0.01559
"BES",,70.64,,,
"BFA","Burkina Faso",13.58,300,50,0.02625
"BGD","Bangladesh",85.77,26440,21630,1.314
"BGR","Bulgaria",31.03,29500,18570,26.73
"BHR","Bahrain",84.3,1520,3430,20.15
"BHS","Bahamas",42.48,720,980,24.85
"BIH","Bosnia & Herzegovina",29.18,13060,6420,19.57
"BLM",,,,,
"BLR","Belarus",68.3,5480,3350,3.54
"BLZ","Belize",62.03,620,930,23.42
"BMU",,75.62,,,
"BOL","Bolivia",60.22,19540,10540,9.031
"BRA","Brazil",87.17,638400,884800,41.63
"BRB","Barbados",58.14,260,950,33.18
"BRN","Brunei",100.29,100,950,21.75
"BTN","Bhutan",89.35,2,970,12.53
"BVT",,,,,
"BWA","Botswana",63.86,2410,1950,8.307
"CAF","Central African Republic",30.72,100,5,0.01122
"CAN","Canada",88.82,28010,310400,82.23
"CCK",,,,,
"CHE","Switzerland",69.73,12410,27150,31.38
"CHL","Chile",92.22,39610,108100,56.54
"CHN",,91.44,,,
"CIV","Côte d’Ivoire",45.03,720,940,0.3558
"CMR","Cameroon",5.87,1840,520,0.1945
"COD","Congo - Kinshasa",5.78,980,2,0.0001758
"COG","Congo - Brazzaville",11.65,380,420,0.757
"COK",,88.56,,,
"COL","Colombia",82.62,132300,90430,17.77
"COM","Comoros",52.44,150,420,4.797
"CPV","Cape Verde",60.14,370,930,16.77
"CRI","Costa Rica",87.66,7690,20580,40.4
"CUB","Cuba",95.55,8810,35720,31.54
"CUW",,56.81,,,
"CXR",,,,,
"CYM",,89.91,,,
"CYP","Cyprus",74.77,600,4450,36.89
"CZE","Czechia",66.48,37160,68930,64.37
"DEU","Germany",77.74,100100,646600,77.17
"DJI","Djibouti",25.05,180,50,0.4595
"DMA",,45.35,,,
"DNK","Denmark",81.69,3210,24520,42.33
"DOM","Dominican Republic",64.96,4370,6400,5.902
"DZA","Algeria",17.46,6190,4150,0.9461
"ECU","Ecuador",84.65,33440,43470,24.64
"EGY","Egypt",48.28,21280,20480,2.001
"ERI","Eritrea",,70,0,0
"ESH",,,,,
"ESP","Spain",86.86,85520,244800,52.37
"EST","Estonia",65.46,1740,7540,56.88
"ETH","Ethiopia",34.94,6620,2150,0.1868
"FIN","Finland",81.63,1540,30370,54.81
"FJI","Fiji",76.45,670,3850,42.92
"FLK",,69.24,,,
"FRA","France",80.52,124000,571100,87.5
"FRO",,78.53,,,
"FSM",,,,,
"GAB","Gabon",13.01,320,240,1.076
"GBR","United Kingdom",79.71,143900,427900,63.03
"GEO","Georgia",44.19,12980,11340,28.42
"GGY",,85.5,,,
"GHA","Ghana",35.9,1360,1270,0.408
"GIB",,128.76,,,
"GIN","Guinea",41.92,370,300,0.228
"GLP",,,,,
"GMB","Gambia",20.28,300,260,1.057
"GNB","Guinea-Bissau",30.41,170,70,0.3378
"GNQ","Equatorial Guinea",16.13,210,670,4.808
"GRC","Greece",76.37,19270,66730,64.02
"GRD","Grenada",35.21,220,440,39
"GRL",,73,,,
"GTM","Guatemala",49.58,16530,19200,10.72
"GUF",,,,,
"GUM",,,,,
"GUY","Guyana",60.08,1090,2260,28.74
"HKG","Hong Kong SAR China",92.07,220,99870,133.2
"HMD",,,,,
"HND","Honduras",61.41,11140,10010,10.11
