"region","country","iso3","cumul.excess.relative","cumul.excess.mean","expected","noncovid","covid","less"
"South Asia","Afghanistan","AFG",57,44533,511526,,,
"Sub-Saharan Africa","Angola","AGO",34,22686,458857,,,
"Europe & Central Asia","Albania","ALB",221,12689,69942,,,
"Europe & Central Asia","Andorra","AND",242,376,1279,,,
"Middle East & North Africa","United Arab Emirates","ARE",12,2330,45021,,,
"Latin America & Caribbean","Argentina","ARG",99,89882,733917,,,
"Europe & Central Asia","Armenia","ARM",332,19664,50346,,,
"Latin America & Caribbean","Antigua and Barbuda","ATG",-15,-29,1335,,,
"East Asia & Pacific","Australia","AUS",-28,-14255,345272,,,
"Europe & Central Asia","Austria","AUT",66,11940,174710,,,
"Europe & Central Asia","Azerbaijan","AZE",280,57010,165041,,,
"Sub-Saharan Africa","Burundi","BDI",39,9339,154878,,,
"Europe & Central Asia","Belgium","BEL",77,17919,231992,,,
"Sub-Saharan Africa","Benin","BEN",48,11853,188370,,,
"Sub-Saharan Africa","Burkina Faso","BFA",52,22161,303844,,,
"South Asia","Bangladesh","BGD",43,140765,1633813,,,
"Europe & Central Asia","Bulgaria","BGR",415,57490,215538,,,
"Middle East & North Africa","Bahrain","BHR",19,665,10368,,,
"Latin America & Caribbean","Bahamas, The","BHS",127,1002,5485,,,
"Europe & Central Asia","Bosnia and Herzegovina","BIH",240,15720,77215,,,
"Europe & Central Asia","Belarus","BLR",259,48891,241450,,,
"Latin America & Caribbean","Belize","BLZ",87,696,4122,,,
"Latin America & Caribbean","Bolivia","BOL",375,88032,180229,,,
"Latin America & Caribbean","Brazil","BRA",160,681265,2820494,,,
"Latin America & Caribbean","Barbados","BRB",-62,-357,7018,,,
"East Asia & Pacific","Brunei Darussalam","BRN",-13,-110,4813,,,
"South Asia","Bhutan","BTN",-26,-394,9373,,,
"Sub-Saharan Africa","Botswana","BWA",156,7416,41647,,,
"Sub-Saharan Africa","Central African Republic","CAF",64,6246,109140,,,
"North America","Canada","CAN",29,22019,584975,,,
"Europe & Central Asia","Switzerland","CHE",47,8245,140887,,,
"Latin America & Caribbean","Chile","CHL",101,38697,225149,,,
"East Asia & Pacific","China","CHN",-2,-52063,20178088,,,
"Sub-Saharan Africa","Côte d'Ivoire","CIV",48,25433,384163,,,
"Sub-Saharan Africa","Cameroon","CMR",66,35323,384506,,,
"Sub-Saharan Africa","Congo, Dem. Rep.","COD",65,117758,1446184,,,
"Sub-Saharan Africa","Congo, Rep.","COG",41,4529,70766,,,
,"Cook Islands","COK",0,-33,336,,,
"Latin America & Caribbean","Colombia","COL",161,164745,501262,,,
"Sub-Saharan Africa","Comoros","COM",41,726,10131,,,
"Sub-Saharan Africa","Cabo Verde","CPV",83,926,6108,,,
"Latin America & Caribbean","Costa Rica","CRI",94,9645,50233,,,
"Latin America & Caribbean","Cuba","CUB",80,18160,232369,,,
"Europe & Central Asia","Cyprus","CYP",42,1008,13620,,,
"Europe & Central Asia","Czech Republic","CZE",173,37038,232815,,,
"Europe & Central Asia","Germany","DEU",73,122432,1808561,,,
"Middle East & North Africa","Djibouti","DJI",89,1767,14509,,,
"Latin America & Caribbean","Dominica","DMA",10,14,1510,,,
"Europe & Central Asia","Denmark","DNK",32,3716,108437,,,
"Latin America & Caribbean","Dominican Republic","DOM",54,11873,148966,,,
"Middle East & North Africa","Algeria","DZA",79,69588,421200,,,
"Latin America & Caribbean","Ecuador","ECU",228,80869,159952,,,
"Middle East & North Africa","Egypt, Arab Rep.","EGY",122,251102,1169506,,,
"Sub-Saharan Africa","Eritrea","ERI",34,2411,55058,,,
"Europe & Central Asia","Spain","ESP",111,103936,870494,,,
"Europe & Central Asia","Estonia","EST",127,3376,31155,,,
"Sub-Saharan Africa","Ethiopia","ETH",44,103496,1249406,,,
"Europe & Central Asia","Finland","FIN",26,2859,113009,,,
"East Asia & Pacific","Fiji","FJI",-6,-118,14657,,,
"Europe & Central Asia","France","FRA",63,81849,1216102,,,
"East Asia & Pacific","Micronesia, Fed. Sts.","FSM",-48,-109,2113,,,
"Sub-Saharan Africa","Gabon","GAB",36,1602,28645,,,
"Europe & Central Asia","United Kingdom","GBR",109,148897,1237723,,,
"Europe & Central Asia","Georgia","GEO",307,24464,103810,,,
"Sub-Saharan Africa","Ghana","GHA",33,20906,379289,,,
"Sub-Saharan Africa","Guinea","GIN",47,12531,215895,,,
"Sub-Saharan Africa","Gambia, The","GMB",59,2905,28623,,,
"Sub-Saharan Africa","Guinea-Bissau","GNB",71,2842,32252,,,
"Sub-Saharan Africa","Equatorial Guinea","GNQ",60,1717,20994,,,
"Europe & Central Asia","Greece","GRC",93,19394,257840,,,
"Latin America & Caribbean","Grenada","GRD",-118,-268,2067,,,
"Latin America & Caribbean","Guatemala","GTM",137,49397,196864,,,
"Latin America & Caribbean","Guyana","GUY",178,2813,17005,,,
"Latin America & Caribbean","Honduras","HND",113,22662,113782,,,
"Europe & Central Asia","Croatia","HRV",210,17177,103169,,,
"Latin America & Caribbean","Haiti","HTI",42,9609,188799,,,
"Europe & Central Asia","Hungary","HUN",189,36496,260015,,,
"East Asia & Pacific","Indonesia","IDN",187,1028565,3734164,,,
"South Asia","India","IND",171,4740894,18517963,,,
"Europe & Central Asia","Ireland","IRL",29,2921,63414,,,
"Middle East & North Africa","Iran, Islamic Rep.","IRN",137,232151,803949,,,
"Middle East & North Africa","Iraq","IRQ",82,66736,329661,,,
"Europe & Central Asia","Iceland","ISL",-2,-12,4806,,,
