"Time","Immunization, measles (% of children 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children 12-23 months)"
1980,13,,17
1981,16,,20
1982,17,,23
1983,34,,35
1984,38,,42
1985,44,0,47
1986,45,0,50
1987,52,0,55
1988,62,0,64
1989,68,0,69
1990,73,1,77
1991,70,1,73
1992,70,3,71
1993,70,5,71
1994,72,8,73
1995,74,12,73
1996,73,14,72
1997,71,15,72
1998,71,16,72
1999,72,18,72
2000,72,30,73
2001,73,33,74
2002,73,38,73
2003,74,45,75
2004,76,49,77
2005,77,54,78
2006,79,58,79
2007,80,63,79
2008,81,69,81
2009,83,73,83
2010,84,73,84
2011,85,74,85
2012,84,80,85
2013,84,80,84
2014,85,82,85
2015,85,83,85
2016,85,84,86
2017,86,84,86
2018,86,84,86
2019,86,86,86
2020,84,83,84
2021,83,82,82
