"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Country Code","type"
87.15782905,86.51306118,85.43611013,71.20592661,39.49003799,28.45800921,21.32484859,22.66924605,19.77918887,13.0267993,13.43902615,16.07053918,9.395939774,11.50176055,12.6553351,14.15333928,27.46298543,29.07702729,22.40214744,14.20253722,8.427045026,6.251628365,"AFG","per1000"
"null","null",414611,360940,242022,116444,86129,92202,81574,65000,69798,77549,54840,52965,106478,119859,241233,311598,243324,169634,101170,82748,"AFG","cases"
325.7036072,326.6506953,309.1209423,313.7309944,313.7325784,316.0221336,301.3629593,274.332707,233.4539997,196.8126888,172.7190588,157.1727608,154.2163281,160.6983545,166.7796696,176.6835411,189.4521768,208.948763,214.2472131,227.253733,251.5823214,254.8731171,"AGO","per1000"
"null","null","null","null","null",889572,1082398,1533485,1377992,1573422,1682870,1632282,1496834,1999868,2298979,2769305,3794253,3874892,5150575,7054978,6599327,8325921,"AGO","cases"
"null","null","null","null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,0,0,0,0,"ARE","per1000"
"null","null","null","null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,0,0,0,0,"ARE","cases"
2.373848818,1.147266305,0.659891778,0.647891739,0.599970001,1.182480855,0.871397884,1.645099809,0.521433396,0.452264024,0.262773723,0,0,0,0,0,0,0,0,0,0,"null","ARG","per1000"
440,215,125,124,116,231,172,328,105,92,54,0,0,0,0,0,0,0,0,0,0,"null","ARG","cases"
0.044500229,0.025214378,0.016746982,0.009403061,0.015330694,0.002297156,"null",0,0,"null",0,"null",0,"null",0,0,0,0,0,0,"null","null","ARM","per1000"
141,79,52,29,47,7,"null",0,0,"null",0,"null",0,"null",0,0,0,0,0,0,"null","null","ARM","cases"
8.100776634,5.533215039,2.622586441,2.466179939,1.961471815,1.215512349,0.699553972,0.528885472,0.34783785,0.371869502,0.235343955,0.018582439,0.013750871,0,0,0,0,0,0,0,"null","null","AZE","per1000"
