"Year","LCN","SAS","SSF","ECS","MEA","NAC","EAS"
"YR2000",79,28,35,83,77,87,27
"YR2001",79,27,37,83,76,87,28
"YR2002",79,27,41,84,78,87,31
"YR2003",80,28,43,99,77,87,38
"YR2004",80,29,45,73,77,87,45
"YR2005",80,31,44,85,76,87,51
"YR2006",79,34,45,86,74,87,54
"YR2007",79,37,45,86,74,87,56
"YR2008",80,38,48,85,76,87,57
"YR2009",80,40,49,89,77,87,57
"YR2010",80,39,49,87,76,87,58
"YR2011",81,39,49,87,76,87,60
"YR2012",82,39,48,87,76,87,61
"YR2013",82,39,48,90,75,87,61
"YR2014",82,49,47,87,75,87,62
"YR2015",82,51,48,89,74,87,63
"YR2016",82,55,49,88,75,87,66
"YR2017",82,55,51,88,76,87,67
"YR2018",82,63,54,87,76,87,74
"YR2019",82,71,56,88,76,87,74
"YR2020",69,56,55,72,67,87,60
"YR2021",69,66,60,72,72,70,54
