"1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","iso"
131.2534,95.99145,80.80724,84.49055,98.44879,88.13753,90.64343,97.05334,81.94008,85.53712,104.0655,102.2751,92.56329,129.2922,102.8055,129.1196,121.18,110.8359,115.1565,101.8966,91.37781,93.72712,93.5294,77.25886,74.30986,79.53217,63.78308,"ALB"
95.32344,100.8189,96.55398,86.46109,84.0682,82.05643,84.99974,81.59481,77.60261,72.62985,71.743,72.17526,70.15204,69.7632,61.88468,62.09748,55.96469,51.52188,56.12871,54.60883,49.19984,49.12665,52.04435,49.71169,48.55362,47.1502,42.47278,"AUS"
168.5963,152.2342,129.036,138.679,120.7253,135.0045,121.8239,119.1203,118.2882,114.6351,107.4405,93.34176,88.28537,83.2983,81.59591,75.86905,66.00183,62.32391,62.98939,53.65678,50.31384,55.4225,49.44677,47.05847,46.26424,46.84727,38.57711,"AUT"
145.7154,128.8224,98.28674,77.1856,75.06635,69.39964,74.05015,68.91705,78.56142,87.92704,97.63438,126.9088,121.0435,129.0014,120.0447,103.9426,102.161,110.7588,125.6484,123.6089,117.8805,92.64881,77.78383,76.11097,72.63749,81.90112,68.84194,"AZE"
167.2664,148.4688,133.5088,133.9718,147.0155,136.607,143.3971,144.4602,130.9424,117.192,111.6001,107.9341,104.8544,102.9579,91.5035,88.54727,78.01324,80.08506,74.45801,68.46242,66.46411,67.58797,59.12762,53.53772,52.85702,56.05371,43.18104,"BEL"
164.6219,150.3676,121.2509,110.0809,121.4758,127.5177,123.8652,126.2307,122.3657,123.4675,122.2,124.9515,137.2184,133.3274,141.6071,121.0299,104.9273,89.40809,82.26242,82.72409,91.36291,98.63484,99.32908,96.38286,86.97463,90.02602,66.83712,"BGR"
37.85062,56.14971,52.8634,61.56202,,,,,,122.2696,116.0939,101.983,107.0265,114.2769,115.602,102.2499,97.6932,97.2366,84.05058,94.28109,85.29321,99.43541,94.79476,88.91451,83.33511,79.067,74.37176,"BIH"
163.2932,174.7106,170.2756,176.6334,183.6329,176.6277,159.7257,160.7486,175.155,180.0597,173.4815,173.1182,179.6995,158.7708,164.148,139.0589,125.3874,126.6735,109.7787,94.4433,79.89858,69.97122,61.88474,62.01133,57.89003,53.62159,61.17763,"BLR"
97.08606,98.28586,87.10592,82.80544,83.96623,81.60705,82.40248,75.24357,70.42106,74.39705,69.01568,54.99444,49.43924,50.8534,46.68085,45.06813,41.78962,40.44286,42.39163,33.25362,29.67522,30.54672,25.79616,27.21301,27.36563,21.80687,26.28259,"CHE"
161.6931,170.852,171.5525,165.5527,170.0324,141.8933,143.8763,130.8704,128.2228,139.6813,142.4604,130.5405,131.236,129.3693,138.65,116.0179,121.295,118.5824,113.7103,119.7051,119.1736,118.8635,119.5832,104.2369,104.3933,104.0944,93.84706,"CHL"
158.4155,153.7679,152.0081,154.9864,132.111,141.4838,144.904,130.5718,140.3365,141.9463,135.5287,125.9399,103.8197,118.6543,103.6149,86.27016,76.56756,73.64649,70.59416,62.20117,65.36602,69.97875,57.82518,54.46254,61.71255,57.90925,48.41621,"CZE"
120.5083,115.7471,106.9159,104.2119,94.96973,94.66476,91.2646,84.72382,82.9449,80.12438,70.79817,65.00591,61.80164,60.15824,54.52435,50.69454,44.60916,49.94084,44.76174,41.40337,41.70037,42.34476,38.93202,38.47224,39.50267,36.65774,32.66438,"DEU"
248.8865,231.0957,150.4669,199.3519,204.8831,166.8772,146.0288,143.3599,161.6704,119.6452,124.7661,125.4821,151.469,146.1945,98.72185,74.93359,59.33269,76.08636,65.77475,61.45689,59.33612,50.93481,53.95998,36.43585,50.68167,39.18915,45.07696,"EST"
94.33345,86.33871,78.83584,85.21674,77.61718,83.43862,76.50387,83.46171,79.79852,72.70266,71.72679,72.2442,63.8023,71.85103,64.74199,52.25824,50.71455,54.19177,47.10036,47.43543,41.92978,49.27429,46.94919,43.2082,43.33223,38.21352,40.13945,"FIN"
152.0213,149.3234,142.9382,140.8158,148.1733,140.2886,132.6329,132.9912,123.8568,97.32527,89.19558,84.17306,74.016,72.1692,66.40779,66.0361,61.38941,60.64939,55.63525,49.51614,51.03144,52.00736,52.1101,51.52573,48.40397,48.23869,37.70501,"FRA"
65.79022,64.8925,64.29768,64.18374,61.22713,60.73364,60.78871,60.85961,60.31617,61.32688,56.14465,55.23069,54.20168,49.88384,42.79451,37.52633,30.35065,30.98383,28.28876,27.60093,28.69867,27.70431,28.34865,28.09616,27.67064,27.05116,22.73292,"GBR"
102.1489,96.61375,97.29058,103.2205,109.8122,129.6548,122.6353,139.0005,129.4453,144.7465,162.1963,148.8801,173.9535,190.9248,225.2856,193.4764,180.8965,140.0262,162.2474,138.2587,137.3872,161.5988,155.8683,138.6801,123.1703,129.2955,121.1632,"GEO"
181.5861,193.4265,203.3218,197.4438,203.5351,196.6232,188.5097,173.0784,149.8805,146.8695,152.4398,150.9013,150.358,145.9025,140.1898,131.0883,113.1159,102.7474,89.45215,80.16262,72.98658,73.28422,76.46643,67.97042,65.22013,64.16963,54.59356,"GRC"
172.828,173.159,158.2148,157.4449,142.5377,146.7004,146.5881,150.4776,145.7403,162.8945,141.2443,138.5104,142.4211,143.6123,154.0709,127.2885,99.17524,97.64936,92.09014,86.47248,72.66912,82.7861,73.5444,80.25155,77.54701,73.05818,58.559,"HRV"
151.0148,153.8392,132.8647,135.1734,133.5402,127.5698,117.5207,121.6187,140.6689,130.9041,128.2261,126.6969,129.3766,122.5166,99.22109,82.01424,73.99983,63.98089,60.98568,59.73871,63.44722,65.42702,61.85027,63.85392,64.7533,61.61,47.18063,"HUN"
45.10922,89.73036,37.18633,55.32442,98.52325,75.70814,113.796,84.21998,100.8615,79.44156,78.74717,64.03041,102.0469,48.14389,37.80552,53.37536,25.15399,37.6159,28.06221,46.33004,12.21799,48.3654,53.66102,46.59289,51.03184,16.64064,21.83257,"ISL"
126.8753,127.8629,105.5868,107.4366,106.5148,89.63265,82.04802,87.74654,83.40944,71.7521,74.16654,67.0986,62.23684,57.79864,59.24365,46.22208,49.18936,49.19004,36.66014,38.33985,38.8281,42.48159,44.11421,41.77522,35.57437,39.20919,33.09139,"ISR"
124.9749,123.7239,117.6216,118.1922,120.3548,117.5058,124.0031,124.5478,122.3295,114.5111,106.1275,100.3631,97.49935,87.80199,80.32063,71.69767,69.40248,65.00566,63.03355,56.46318,55.61849,56.44603,54.15035,55.80085,55.02984,53.1232,40.21559,"ITA"
102.0307,101.0186,92.83777,89.29294,85.50633,81.95466,82.06996,79.20629,75.6797,70.02928,67.09403,62.58756,57.37795,52.30428,47.46882,45.60825,45.50636,43.29868,41.22104,40.52729,38.00402,38.42191,36.99372,34.94871,32.92523,31.04583,27.14644,"JPN"
,,,,,,,,,184.7204,208.8859,222.75,279.0029,281.9004,212.3986,180.0803,171.3651,147.9115,179.9657,178.2742,149.5232,139.8294,134.3145,115.6462,114.6831,105.1655,106.4815,"KAZ"
