"income","platform","value"
"LIC","onlineplatforms",54.5
"LIC","television",83.3
"LIC","mobilephones",30
"LIC","radio",83.3
"LIC","takehomepackages",40
"LIC","otherdistancelearningm",11.1
"LMC","onlineplatforms",95.7
"LMC","television",96.2
"LMC","mobilephones",76.2
"LMC","radio",83.3
"LMC","takehomepackages",86.4
"LMC","otherdistancelearningm",12.5
"UMC","onlineplatforms",88.6
"UMC","television",91.4
"UMC","mobilephones",82.4
"UMC","radio",55.2
"UMC","takehomepackages",74.2
"UMC","otherdistancelearningm",27.6
"HIC","onlineplatforms",96.1
"HIC","television",75.6
"HIC","mobilephones",70
"HIC","radio",28.9
"HIC","takehomepackages",88.6
"HIC","otherdistancelearningm",27
