"iso3c","quintile","learning_activities_precovid","learning_activities"
"BFA","average",83.4,31.8
"ETH","average",91,28
"MWI","average",96.4,20.4
"MLI","average",85.4,36
"NGA","average",94.1,58.4
"UGA","average",92.7,59.3
"BFA",1,88.5,25.1
"BFA",2,90.1,30
"BFA",3,92.1,24.2
"BFA",4,93.6,33.6
"BFA",5,96.2,41.5
"ETH",1,88.9,18.3
"ETH",2,91.4,25.3
"ETH",3,95,22.5
"ETH",4,92.2,33.2
"ETH",5,91.8,40.9
"MWI",1,85.7,16.1
"MWI",2,89.4,15.2
"MWI",3,90.3,15.1
"MWI",4,90.8,25.1
"MWI",5,96.7,29
"MLI",1,89.6,27
"MLI",2,91.3,35.6
"MLI",3,91.7,36
"MLI",4,93.8,29.2
"MLI",5,95.4,47.3
"NGA",1,92,47.4
"NGA",2,95,50.7
"NGA",3,96,58.9
"NGA",4,94.9,61.5
"NGA",5,98.9,67.7
"UGA",1,82.1,43.7
"UGA",2,90.2,51.7
"UGA",3,94.7,55.9
"UGA",4,96,66.7
"UGA",5,98.9,74.3
