"iso3c","gni_per_capita","learning_poverty","unicef_total_closed","internet_users","EG.ELC.ACCS.ZS","population"
"AFG",500,93.44799805,240,18.4,97.69999695,38972230
"ALB",5260,16.47864151,99,72.23767711,100,2837849
"ARE",41770,32.83292389,208,100,100,9287289
"ARG",9010,59.14719009,260,85.5,100,45376763
"ARM",4470,27.24114609,53,76.50770055,100,2805608
"AUS",53620,8.56343174,116,89.6,100,25655289
"AUT",48990,13.26862621,138,87.52942813,100,8916864
"AZE",4480,23.28103256,196,84.59999573,100,10093121
"BDI",220,95.81885529,0,9.4,11.73555565,12220227
"BEL",46030,6.368309021,92,91.52641629,100,11538604
"BEN",1230,55.77610397,48,25.8,41.41095734,12643123
"BFA",750,73.8611908,64,22,18.95723915,21522626
"BGD",2300,58.21909714,376,24.8,96.19999695,167420951
"BGR",9520,15.20261288,164,70.16248359,99.69999695,6934015
"BHR",22950,32.08821869,276,99.67105263,100,1477469
"BLZ",5210,76.41403961,292,50.8,97.11333466,394921
"BRA",7820,46.89786148,293,81.34269353,100,213196304
"BWA",6010,50.8376503,104,64,71.99475861,2546402
"CAN",43540,4.301857471,162,92.3,100,38037204
"CHL",12990,27.19042969,207,88.3,100,19300315
"CHN",10520,18.20000076,98,70.05275998,100,1411100000
"CIV",2240,82.61730194,50,36.28895457,69.67912292,26811790
"CMR",1520,71.93261719,66,37.8,64.72136688,26491087
"COD",540,96.60150146,142,13.6,19.10000038,92853164
"COG",1760,70.0140152,123,8.65,49.51710129,5702174
"COL",5820,51.35694122,250,69.79,100,50930662
"COM",1520,86.02334595,160,8.478170295,86.73713684,806166
"CRI",11520,34.02406693,314,80.53018608,99.90000153,5123105
"CYP",26600,9.938192368,100,90.80194723,100,1237537
"CZE",21800,13.82490158,163,81.33889705,100,10697858
"DEU",48050,14.35341263,130,89.81294133,100,83160871
"DNK",62710,3.574493647,110,96.54914573,100,5831404
"DOM",7170,77.71785736,222,76.9,100,10999664
"DZA",3600,67.90348053,115,62.9,99.80413055,43451666
"ECU",5560,65.93712616,328,70.7,98.84999847,17588595
"EGY",2860,69.57327271,91,71.91420097,100,107465134
"ESP",27130,4.536696434,62,93.20564892,100,47365655
"ETH",880,90.38964081,209,24,51.0939827,117190911
"FIN",50100,2.574587822,104,92.17027106,100,5529543
"FRA",39440,6.870605469,47,84.8,100,67571107
"GAB",6830,30.67756081,94,62,91.57156372,2292573
"GBR",38590,3.512510061,104,94.81820132,100,67081000
"GEO",4260,15.2939539,134,72.53158402,100,3722716
"GIN",960,82.67482758,109,26,44.66867828,13205153
"GRC",17960,7.686419487,138,78.11584474,100,10698599
"GTM",4490,78.51618958,298,49.97,97.05526733,16858333
"HND",2150,79.29160309,392,42.05,93.20671082,10121763
"HRV",14820,4.462029457,45,78.32093274,100,4047680
"HUN",16030,5.903298378,148,84.77115202,100,9750149
"IDN",3900,52.82275391,282,53.72649449,96.94999695,271857970
"IND",1890,56.07056046,296,43,99,1396387127
"IRL",65330,2.344146967,118,91.99989097,100,4985382
"IRN",3290,35.2363205,250,75.56986637,100,87290193
"ISL",62280,9.323390961,16,99,100,366463
"ISR",43310,11.66234398,121,90.12734091,100,9215100
"ITA",32410,4.391714573,128,70.48342785,100,59438851
"JOR",4070,62.54821396,246,65.2,99.90000153,10928721
"JPN",40810,3.560506344,38,90.21945812,100,126261000
"KAZ",8710,2.186121225,154,85.94259898,100,18755666
"KGZ",1180,64.49124908,104,72,99.98104858,6579900
"KHM",1530,90.0033493,296,32.90027854,86.40000153,16396860
"KOR",33040,3.230080605,228,96.50505968,100,51836239
"LAO",2470,97.71728516,195,54,100,7319399
"LKA",3930,14.80606747,309,35,100,21919000
"LSO",1150,97.01187897,134,43,47.35273743,2254100
"LTU",19680,2.983212709,120,83.05555096,100,2794885
"LUX",79580,2.950478077,60,98.82242384,100,630419
"LVA",18240,3.984968901,160,88.89796078,100,1900449
"MAR",3250,64.9004364,138,84.12036305,100,36688772
"MDA",4490,11.01008987,80,76.12451989,100,2635130
"MDG",460,93.93574524,94,15,33.7350769,28225177
"MEX",8750,47.63417816,338,71.96819405,99.40000153,125998302
"MKD",5730,40.86146164,186,81.40553811,100,2072531
"MLI",790,90.43836212,72,27.4,50.56141663,21224040
"MLT",26440,27.96039391,97,86.85876416,100,515332
"MMR",1370,89.46794128,345,35.1,70.39719391,53423198
"MNE",7900,27.1038456,188,77.60879306,100,621306
"MNG",3720,39.46482849,209,62.50002848,98.09999847,3294335
"MRT",1790,94.76531982,118,40.8,47.34841919,4498604
"MUS",9940,40.45787811,123,64.88490358,99.66165161,1265740
"MYS",10320,42.02563477,280,89.55501192,100,33199993
"NER",550,90.43682098,83,10.22431156,19.25190926,24333639
"NIC",1740,78.90349579,38,45.2,88.90737915,6755895
"NLD",50170,2.268576622,108,91.33333333,100,17441500
"NOR",77880,5.970429897,84,97.00000121,100,5379475
"NZL",41480,11.35290718,88,91.5,100,5090200
"OMN",17110,41.76449203,186,95.23229321,100,4543399
"PAK",1420,76.98406219,244,25,75.37969208,227196741
"PAN",12470,78.51261139,358,64.25,96.70463562,4294396
"PER",6000,44.44244385,280,65.25179881,99.31181335,33304756
"PHL",3350,90.91326141,380,49.8,96.84238434,112190977
"POL",15300,4.776032925,176,83.18488715,100,37899070
"PRT",21850,6.01780653,90,78.26166044,100,10297081
"PRY",5550,77.74401093,262,73.95751114,100,6618695
"QAT",58370,35.65247345,212,99.65284913,100,2760385
"ROU",12700,17.86032867,146,78.45526741,100,19265250
"RUS",10740,3.534235716,48,84.99467026,100,144073139
"SAU",21540,38.22376633,296,97.8623325,100,35997107
"SEN",1460,68.56822968,86,42.6,70.36894226,16436120
"SGP",55010,2.757375479,52,92.00434653,100,5685807
"SLV",3740,69.07362366,336,54.60137027,100,6292731
"SRB",7440,9.844299316,194,78.36804077,100,6899126
"SVK",19180,23.17461205,121,89.9209082,100,5458827
"SVN",25400,5.432384014,170,86.60130109,100,2102419
"SWE",54740,2.313278675,60,94.53943122,100,10353442
"TCD",630,94.41054535,128,10.4,11.08011723,16644701
"TGO",900,81.65792084,60,24,53.99743271,8442580
"THA",6900,23.4157753,218,77.84374066,100,71475664
"TTO",13830,20.64458275,248,70.6,100,1518147
"TUN",3230,65.5328598,134,71.9,100,12161723
"TUR",9070,14.50302601,194,77.66956038,100,84135428
"UGA",740,81.92336273,388,6.1,42.07441711,44404611
"UKR",3570,27.88031006,122,75.03790912,100,44132049
"URY",15950,43.61836624,126,86.1,100,3429086
"USA",64650,4.251830101,193,90.9,100,331501080
"VNM",3450,18.12091637,132,70.3,100,96648685
"ZAF",6090,78.90949249,196,70,84.38553619,58801927
"ZMB",1130,98.50421143,106,19.8,44.5244751,18927715
