"iso3c","unicef_total_closed"
"ABW",50
"AFG",240
"AGO",185
"ALB",99
"AND",78
"ARE",208
"ARG",260
"ARM",53
"ATG",263
"AUS",116
"AUT",138
"AZE",196
"BDI",0
"BEL",92
"BEN",48
"BFA",64
"BGD",376
"BGR",164
"BHR",276
"BHS",276
"BIH",170
"BLR",0
"BLZ",292
"BMU",124
"BOL",332
"BRA",293
"BRB",250
"BRN",152
"BTN",216
"BWA",104
"CAF",93
"CAN",162
"CHE",30
"CHL",207
"CHN",98
"CIV",50
"CMR",66
"COD",142
"COG",123
"COL",250
"COM",160
"CPV",101
"CRI",314
"CUB",238
"CUW",53
"CYM",76
"CYP",100
"CZE",163
"DEU",130
"DJI",44
"DMA",194
"DNK",110
"DOM",222
"DZA",115
"ECU",328
"EGY",91
"ERI",159
"ESP",62
"EST",102
"ETH",209
"FIN",104
"FJI",214
"FRA",47
"FRO",42
"FSM",88
"GAB",94
"GBR",104
"GEO",134
"GHA",121
"GIB",100
"GIN",109
"GMB",120
"GNB",100
"GNQ",152
"GRC",138
"GRD",243
"GRL",14
"GTM",298
"GUY",274
"HND",392
"HRV",45
"HTI",124
"HUN",148
"IDN",282
"IND",296
"IRL",118
"IRN",250
"IRQ",326
"ISL",16
"ISR",121
"ITA",128
"JAM",246
"JOR",246
"JPN",38
"KAZ",154
"KEN",164
"KGZ",104
"KHM",296
"KIR",15
"KNA",128
"KOR",228
"KWT",350
"LAO",195
"LBN",211
"LBR",130
"LBY",208
"LCA",260
"LIE",46
"LKA",309
"LSO",134
"LTU",120
"LUX",60
"LVA",160
"MAR",138
"MCO",46
"MDA",80
"MDG",94
"MDV",103
"MEX",338
"MHL",8
"MKD",186
"MLI",72
"MLT",97
"MMR",345
"MNE",188
"MNG",209
"MOZ",210
"MRT",118
"MUS",123
"MWI",112
"MYS",280
"NAM",96
"NER",83
"NGA",106
"NIC",38
"NLD",108
"NOR",84
"NPL",316
"NRU",0
"NZL",88
"OMN",186
"PAK",244
"PAN",358
"PER",280
"PHL",380
"PLW",60
"PNG",30
"POL",176
"PRK",176
"PRT",90
"PRY",262
"PSE",190
"QAT",212
"ROU",146
"RUS",48
"RWA",208
"SAU",296
"SDN",114
"SEN",86
"SGP",52
"SLB",76
"SLE",60
"SLV",336
"SMR",134
"SOM",96
"SRB",194
"SSD",216
"STP",86
"SUR",253
"SVK",121
"SVN",170
"SWE",60
"SWZ",224
"SXM",112
"SYC",156
"SYR",100
"TCA",186
"TCD",128
"TGO",60
"THA",218
"TJK",0
"TKM",11
"TLS",128
"TON",43
"TTO",248
"TUN",134
"TUR",194
"TUV",42
"TZA",62
"UGA",388
"UKR",122
"URY",126
"USA",193
"UZB",66
"VCT",238
"VEN",337
"VGB",165
"VNM",132
"VUT",35
"WSM",21
"YEM",84
"ZAF",196
"ZMB",106
"ZWE",198
"WLD",199
