"id","lat","lng"
"ABW",12.51664912,-69.97569976
"AFG",33.83642639,66.00846008
"AGO",-12.33066069,17.56277563
"ALB",41.14216494,20.05400054
"AND",42.54175839,1.560615606
"ARE",23.90418709,54.30834308
"ARG",-35.18650917,-65.15525155
"ARM",40.28848257,44.9302493
"ASM",-14.30541046,-170.7155072
"ATG",17.07472809,-61.78921789
"AUS",-25.57318221,134.3551436
"AUT",47.58586534,14.13194132
"AZE",40.34558041,47.65907659
"BDI",-3.357943667,29.87489875
"BEL",50.63711832,4.638646386
"BEN",9.640867553,2.327423274
"BFA",12.27015356,-1.75501755
"BGD",23.881905,90.22590226
"BGR",42.76875713,25.21645216
"BHR",26.05301564,50.54630546
"BHS",24.70355688,-78.0397804
"BIH",44.17113584,17.77517775
"BLR",53.53239672,28.03528035
"BLZ",17.20145745,-88.70308703
"BMU",32.31149621,-64.76284763
"BOL",-16.70630509,-64.68364684
"BRA",-10.83915364,-53.11313113
"BRB",13.18093378,-59.56079561
"BRN",4.493705964,114.598146
"BTN",27.42197122,90.40590406
"BWA",-22.18630532,23.79803798
"CAF",6.565939851,20.46440464
"CAN",57.94007162,-102.3580236
"CHE",46.79902922,8.217082171
"CHL",-34.7004812,-71.700117
"CHN",33.59967923,103.099631
"CIV",7.62851677,-5.571055711
"CMR",5.692760653,12.73872739
"COD",-2.880271474,23.64683647
"COG",-0.8386754543,15.21915219
"COK",-21.2367,-159.7777
"COL",3.908801238,-73.08253083
"COM",-11.65523499,43.33903339
"CPV",15.08187414,-23.63603636
"CRI",9.975098825,-84.19224192
"CUB",21.61331024,-78.95778958
"CUW",12.19355889,-68.97128971
"CYM",19.31825551,-81.25101251
"CYP",35.05637053,33.22653227
"CZE",49.73190863,15.31275313
"DEU",51.08693791,10.3699037
"DJI",11.75070246,42.56502565
"DMA",15.43699486,-61.35721357
"DNK",56.22713635,9.376293763
"DOM",18.89907379,-70.50130501
"DZA",28.14892424,2.651426514
"ECU",-1.448647526,-78.38898389
"EGY",26.49308681,29.8604986
"ERI",15.35482967,38.84618846
"ESP",40.39014458,-3.562235622
"EST",58.6837362,25.83205832
"ETH",8.622854804,39.60219602
"FIN",64.50910874,26.28926289
"FJI",-17.82458722,177.9767798
"FRA",46.62077254,2.453424534
"FRO",62.13745934,-6.985869859
"FSM",6.882066929,158.2341823
"GAB",-0.5921798912,11.79191792
"GBR",53.94740055,-2.518225182
"GEO",42.16853347,43.50823508
"GHA",7.95439226,-1.21501215
"GIB",36.13008849,-5.347853479
"GIN",10.43466682,-10.94230942
"GMB",13.44971142,-15.39915399
"GNB",12.05708112,-14.92754928
"GNQ",1.565004444,10.46710467
"GRC",39.29971505,21.90081901
"GRD",12.11835686,-61.67761678
"GRL",74.75886775,-41.43461435
"GTM",15.6960241,-90.35910359
"GUM",13.4441409,144.7736477
"GUY",4.793121479,-58.98118981
"HKG",22.42382108,114.1625416
"HND",14.81866701,-86.62586626
"HRV",45.15572546,16.42156422
"HTI",18.93528218,-72.67572676
"HUN",47.16389836,19.39519395
"IDN",-4.999854791,114.500945
"IMN",54.22871187,-4.534245342
"IND",20.00064435,78.29898299
"IRL",53.17727599,-8.137881379
"IRN",32.57748859,54.27594276
"IRQ",33.03984185,43.74583746
"ISL",64.99792198,-18.59598596
"ISR",31.44388753,34.99774998
"ITA",42.70051825,12.59832598
