"code","median","LCI","UCI","country"
"CHN",0.1846902658,0.09672115114,0.3305030874,"China"
"KHM",0.1872170573,0.1302079213,0.2666220389,"Cambodia"
"IDN",0.2108447046,0.1034089457,0.3869460379,"Indonesia"
"LAO",0.175069944,0.1005439459,0.2899327367,"Lao People's Democratic Republic"
"MYS",0.1872572166,0.09597274147,0.3435394876,"Malaysia"
"MDV",0.1813267572,0.1126112618,0.2837747544,"Maldives"
"MMR",0.1874805094,0.1050777387,0.3166254136,"Myanmar"
"PHL",0.1327549334,0.08985552244,0.195210468,"Philippines"
"LKA",0.2310833434,0.1224614391,0.4021772814,"Sri Lanka"
"THA",0.2215075439,0.1043368774,0.4163292808,"Thailand"
"TLS",0.3577705413,0.2517706245,0.4833235795,"Timor-Leste"
"VNM",0.251925653,0.1525793133,0.3878007566,"Viet Nam"
"FSM",0.3391979532,0.2067767878,0.5034687115,"Micronesia (Federated States of)"
"FJI",0.4970055262,0.3316676244,0.6658057437,"Fiji"
"KIR",0.5235817855,0.3336175765,0.710452611,"Kiribati"
"MHL",0.3764244003,0.2454138878,0.5327797719,"Marshall Islands"
"PNG",0.4812832667,0.3343713969,0.6324546415,"Papua New Guinea"
"WSM",0.4037121029,0.2381127193,0.5981008613,"Samoa"
"SLB",0.499395199,0.3224838801,0.6793748498,"Solomon Islands"
"TON",0.3732310278,0.21147142,0.574448521,"Tonga"
"VUT",0.4854322378,0.3123812184,0.6629400946,"Vanuatu"
"ARM",0.1047385404,0.06075925095,0.1765458167,"Armenia"
"AZE",0.1400281326,0.07812912371,0.240939904,"Azerbaijan"
"GEO",0.09413922506,0.05164663187,0.1679629551,"Georgia"
"KAZ",0.1574092808,0.09163050992,0.2563760539,"Kazakhstan"
"KGZ",0.2143769179,0.1226820613,0.3508217372,"Kyrgyzstan"
"MNG",0.2438593827,0.1502628283,0.367591931,"Mongolia"
"TJK",0.2292920936,0.1493249844,0.3370385727,"Tajikistan"
"ALB",0.1306986103,0.0951406326,0.1762683947,"Albania"
"BIH",0.1309275001,0.08387112597,0.1987559222,"Bosnia and Herzegovina"
"BGR",0.1649024964,0.0935326809,0.2749201168,"Bulgaria"
"HRV",0.1375355779,0.07625833915,0.2348601917,"Croatia"
"CZE",0.1816322984,0.1187686766,0.2636749046,"Czech Republic"
"HUN",0.1509262884,0.084650514,0.2538348817,"Hungary"
"MKD",0.1168042308,0.06696558172,0.1957624005,"North Macedonia"
"MNE",0.1700762974,0.1085617487,0.255484776,"Montenegro"
"POL",0.1322015709,0.08023398706,0.2095447553,"Poland"
"ROU",0.1958744821,0.1128081673,0.3182596185,"Romania"
"SRB",0.1679611762,0.10211635,0.2638961296,"Serbia"
"SVK",0.1827459578,0.1044173348,0.300157749,"Slovakia"
"SVN",0.1669770129,0.1007548875,0.2609010655,"Slovenia"
"BLR",0.2181145719,0.1305316171,0.3405507791,"Belarus"
"EST",0.1731661001,0.09770845413,0.2866125359,"Estonia"
"LVA",0.241495667,0.1411258289,0.3813596656,"Latvia"
"LTU",0.2492846641,0.1582577993,0.3680360508,"Lithuania"
"MDA",0.283976878,0.1854622345,0.4063751168,"Republic of Moldova"
"UKR",0.1933240872,0.1335392229,0.271439917,"Ukraine"
"JPN",0.1859990502,0.07791730214,0.3923358283,"Japan"
"SGP",0.0941176649,0.04701550237,0.1805033394,"Singapore"
"AUS",0.1710755745,0.1175649383,0.240141518,"Australia"
"NZL",0.1940715199,0.082936248,0.4002580393,"New Zealand"
"AUT",0.1418715645,0.07779957794,0.2456627242,"Austria"
"BEL",0.1942315533,0.1143207363,0.3123908501,"Belgium"
"CYP",0.1617755675,0.09840345972,0.255255766,"Cyprus"
"DNK",0.2013061306,0.1246883264,0.3067606678,"Denmark"
"FIN",0.2118133744,0.1307723818,0.3240504795,"Finland"
"FRA",0.1919889055,0.1092173713,0.3161490366,"France"
"GRC",0.1782492624,0.1003407767,0.2978333895,"Greece"
"ISL",0.2052214669,0.114202087,0.3398596759,"Iceland"
"IRL",0.1350788891,0.08135483447,0.2168602924,"Ireland"
"ITA",0.1310763542,0.08409601965,0.1993309459,"Italy"
"LUX",0.1843276534,0.1036142834,0.3062757575,"Luxembourg"
"MLT",0.1245076246,0.07333199552,0.2034293013,"Malta"
"NLD",0.1932587181,0.1103343126,0.3185132258,"Netherlands"
"NOR",0.1904867225,0.1056156745,0.3215309449,"Norway"
"PRT",0.1888679245,0.1067296005,0.3108696965,"Portugal"
"ESP",0.1302341393,0.08296357255,0.1977839282,"Spain"
"SWE",0.2045204378,0.1244361547,0.3189801314,"Sweden"
"CHE",0.1074923138,0.05687825242,0.1949885294,"Switzerland"
"GBR",0.2220690307,0.1302765552,0.3530724121,"United Kingdom"
"ARG",0.2984517116,0.203392608,0.410717851,"Argentina"
"CHL",0.2138311073,0.1430310909,0.306391297,"Chile"
"URY",0.1848564994,0.1003027998,0.3153791818,"Uruguay"
"USA",0.2796905152,0.1715103236,0.4161505727,"United States of America"
"BLZ",0.2390261235,0.1185533617,0.4217946702,"Belize"
"CUB",0.1199016029,0.06455978602,0.2139780554,"Cuba"
"DOM",0.1790848644,0.1160700795,0.2704094927,"Dominican Republic"
"GRD",0.2683531646,0.1655436692,0.4048999448,"Grenada"
"GUY",0.3232636809,0.2063536019,0.4669884402,"Guyana"
"HTI",0.2220744834,0.1536485996,0.3131979494,"Haiti"
"JAM",0.2315166608,0.1506402879,0.3421407035,"Jamaica"
"SUR",0.2735834751,0.1719206035,0.4079252166,"Suriname"
"TTO",0.2852241304,0.1781971458,0.4244457695,"Trinidad and Tobago"
"BOL",0.3991676743,0.2976318253,0.513757517,"Bolivia (Plurinational State of)"
"ECU",0.3169908248,0.1962865571,0.4720576968,"Ecuador"
"PER",0.4193477606,0.3376794488,0.5063677086,"Peru"
"COL",0.3112540993,0.225893896,0.4079520785,"Colombia"
"CRI",0.2778814254,0.1646762147,0.4275619799,"Costa Rica"
"SLV",0.2274711759,0.1565668963,0.3166987164,"El Salvador"
"GTM",0.2242129932,0.1427862497,0.332769056,"Guatemala"
"HND",0.1843229474,0.1133231853,0.285710727,"Honduras"
"MEX",0.2579865091,0.1715300482,0.368838554,"Mexico"
"NIC",0.2572187629,0.1639062682,0.3769636806,"Nicaragua"
"PAN",0.1721081965,0.1025135015,0.2756872529,"Panama"
"VEN",0.21500825,0.1159458606,0.360076408,"Venezuela, Bolivarian Republic of"
"BRA",0.2360865281,0.1493528541,0.3523659601,"Brazil"
"PRY",0.1855843289,0.1067595784,0.3075543041,"Paraguay"
"AFG",0.4808198697,0.3339462304,0.630854458,"Afghanistan"
"EGY",0.2791237767,0.1958655931,0.3830976124,"Egypt"
"IRN",0.3058146782,0.1555487507,0.5150802957,"Iran (Islamic Republic of)"
"IRQ",0.2624763972,0.1609020938,0.4042865956,"Iraq"
"JOR",0.2259769323,0.1523267213,0.3239049315,"Jordan"
"PSE",0.28468577,0.1691063316,0.4396597362,"Palestinian Territory, Occupied"
"TUN",0.2632009438,0.1503072486,0.4183573583,"Tunisia"
"TUR",0.3625505028,0.24741883,0.4974245329,"Turkey"
"BGD",0.5001247866,0.3658857818,0.6220978111,"Bangladesh"
"BTN",0.2176028393,0.1355780556,0.3291440416,"Bhutan"
"IND",0.3399653387,0.2288562995,0.466117539,"India"
"NPL",0.2755202802,0.1756076291,0.4016472722,"Nepal"
"PAK",0.2745818196,0.1798357738,0.3942024391,"Pakistan"
"AGO",0.37577059,0.2411466957,0.5317060609,"Angola"
"CAF",0.2745376679,0.1595815746,0.429589356,"Central African Republic"
"COD",0.4680135707,0.3295663101,0.6074916538,"Democratic Republic of the Congo"
"GNQ",0.4574557677,0.2942955929,0.6322866738,"Equatorial Guinea"
"GAB",0.4241493907,0.2697094632,0.5936705815,"Gabon"
"BDI",0.4074558505,0.2721374304,0.5585509795,"Burundi"
