"iso3c","country","date","variable","value"
"ABW","Aruba",2010,"age_first_marriage_female",28.5
"AFG","Afghanistan",2015,"age_first_marriage_female",21.5
"AGO","Angola",2016,"age_first_marriage_female",21.5
"ALB","Albania",2018,"age_first_marriage_female",24.2
"ARG","Argentina",2010,"age_first_marriage_female",24.6
"ARM","Armenia",2015,"age_first_marriage_female",24.2
"AUS","Australia",2016,"age_first_marriage_female",29.9
"AUT","Austria",2011,"age_first_marriage_female",27.1
"AZE","Azerbaijan",2018,"age_first_marriage_female",24.2
"BDI","Burundi",2016,"age_first_marriage_female",22.8
"BEL","Belgium",2011,"age_first_marriage_female",26.3
"BEN","Benin",2018,"age_first_marriage_female",20.7
"BFA","Burkina Faso",2017,"age_first_marriage_female",20
"BGD","Bangladesh",2014,"age_first_marriage_female",18.8
"BGR","Bulgaria",2018,"age_first_marriage_female",32.6
"BHR","Bahrain",2010,"age_first_marriage_female",26.9
"BHS","Bahamas, The",2010,"age_first_marriage_female",27.9
"BIH","Bosnia and Herzegovina",2012,"age_first_marriage_female",25.7
"BLR","Belarus",2012,"age_first_marriage_female",22.5
"BLZ","Belize",2016,"age_first_marriage_female",20.5
"BMU","Bermuda",2016,"age_first_marriage_female",31.9
"BOL","Bolivia",2016,"age_first_marriage_female",24
"BRA","Brazil",2010,"age_first_marriage_female",23.9
"BRB","Barbados",2012,"age_first_marriage_female",17
"BRN","Brunei Darussalam",2011,"age_first_marriage_female",26.1
"BTN","Bhutan",2017,"age_first_marriage_female",23.8
"BWA","Botswana",2017,"age_first_marriage_female",22.9
"CAF","Central African Republic",2010,"age_first_marriage_female",17.3
"CAN","Canada",2016,"age_first_marriage_female",27.2
"CHE","Switzerland",2017,"age_first_marriage_female",30.9
"CHL","Chile",2011,"age_first_marriage_female",27.4
"CHN","China",2016,"age_first_marriage_female",25.4
"CIV","Cote d'Ivoire",2016,"age_first_marriage_female",23
"CMR","Cameroon",2014,"age_first_marriage_female",22.2
"COD","Congo, Dem. Rep.",2014,"age_first_marriage_female",20.9
"COG","Congo, Rep.",2015,"age_first_marriage_female",21.9
"COL","Colombia",2015,"age_first_marriage_female",22.7
"COM","Comoros",2012,"age_first_marriage_female",22.6
"CRI","Costa Rica",2018,"age_first_marriage_female",26.4
"CUB","Cuba",2014,"age_first_marriage_female",22.1
"CYM","Cayman Islands",2010,"age_first_marriage_female",28
"CYP","Cyprus",2011,"age_first_marriage_female",26.4
"CZE","Czech Republic",2018,"age_first_marriage_female",32.4
"DEU","Germany",2018,"age_first_marriage_female",31.7
"DJI","Djibouti",2012,"age_first_marriage_female",29.9
"DNK","Denmark",2018,"age_first_marriage_female",31.9
"DOM","Dominican Republic",2014,"age_first_marriage_female",21.5
"DZA","Algeria",2012,"age_first_marriage_female",28.2
"ECU","Ecuador",2010,"age_first_marriage_female",21.8
"EGY","Egypt, Arab Rep.",2017,"age_first_marriage_female",22.3
"ESP","Spain",2011,"age_first_marriage_female",27.7
"EST","Estonia",2018,"age_first_marriage_female",33.6
"ETH","Ethiopia",2016,"age_first_marriage_female",21.3
"FIN","Finland",2018,"age_first_marriage_female",30.7
"FRA","France",2013,"age_first_marriage_female",32
"FRO","Faroe Islands",2018,"age_first_marriage_female",31
"FSM","Micronesia, Fed. Sts.",2010,"age_first_marriage_female",25.3
"GAB","Gabon",2012,"age_first_marriage_female",22.9
"GBR","United Kingdom",2011,"age_first_marriage_female",27
"GEO","Georgia",2014,"age_first_marriage_female",22.8
"GHA","Ghana",2017,"age_first_marriage_female",23.7
"GIB","Gibraltar",2012,"age_first_marriage_female",29.1
"GIN","Guinea",2014,"age_first_marriage_female",19.8
"GMB","Gambia, The",2013,"age_first_marriage_female",21.5
"GNB","Guinea-Bissau",2014,"age_first_marriage_female",24.1
"GNQ","Equatorial Guinea",2011,"age_first_marriage_female",20.5
"GRC","Greece",2011,"age_first_marriage_female",29.2
"GRL","Greenland",2018,"age_first_marriage_female",32.9
"GTM","Guatemala",2018,"age_first_marriage_female",22.7
"GUY","Guyana",2014,"age_first_marriage_female",19.2
"HKG","Hong Kong SAR, China",2016,"age_first_marriage_female",29.9
"HND","Honduras",2012,"age_first_marriage_female",21.2
"HRV","Croatia",2011,"age_first_marriage_female",27.4
"HTI","Haiti",2016,"age_first_marriage_female",24.9
"HUN","Hungary",2018,"age_first_marriage_female",32.9
"IDN","Indonesia",2017,"age_first_marriage_female",22.4
"IMN","Isle of Man",2011,"age_first_marriage_female",30.7
"IND","India",2016,"age_first_marriage_female",21.4
"IRL","Ireland",2016,"age_first_marriage_female",32.4
"IRN","Iran, Islamic Rep.",2016,"age_first_marriage_female",23.1
"IRQ","Iraq",2012,"age_first_marriage_female",22.7
"ISL","Iceland",2018,"age_first_marriage_female",32.4
"ISR","Israel",2016,"age_first_marriage_female",26.2
"ITA","Italy",2018,"age_first_marriage_female",32.2
"JAM","Jamaica",2011,"age_first_marriage_female",25.3
"JOR","Jordan",2018,"age_first_marriage_female",24.6
"JPN","Japan",2015,"age_first_marriage_female",29.2
"KAZ","Kazakhstan",2015,"age_first_marriage_female",22.4
"KEN","Kenya",2014,"age_first_marriage_female",21.9
"KGZ","Kyrgyz Republic",2014,"age_first_marriage_female",21.2
"KHM","Cambodia",2014,"age_first_marriage_female",21.6
"KIR","Kiribati",2010,"age_first_marriage_female",21.6
"KOR","Korea, Rep.",2015,"age_first_marriage_female",31.5
"KWT","Kuwait",2011,"age_first_marriage_female",25.7
"LAO","Lao PDR",2017,"age_first_marriage_female",20.7
"LBR","Liberia",2013,"age_first_marriage_female",22.6
"LCA","St. Lucia",2012,"age_first_marriage_female",21.9
"LIE","Liechtenstein",2018,"age_first_marriage_female",29.9
"LKA","Sri Lanka",2016,"age_first_marriage_female",23.9
"LSO","Lesotho",2014,"age_first_marriage_female",22.2
"LTU","Lithuania",2018,"age_first_marriage_female",32.7
"LUX","Luxembourg",2018,"age_first_marriage_female",30.7
"LVA","Latvia",2018,"age_first_marriage_female",30.4
"MAC","Macao SAR, China",2011,"age_first_marriage_female",30.3
"MAR","Morocco",2018,"age_first_marriage_female",24.4
"MDA","Moldova",2014,"age_first_marriage_female",25
"MDV","Maldives",2017,"age_first_marriage_female",22.5
"MEX","Mexico",2019,"age_first_marriage_female",23.2
"MHL","Marshall Islands",2011,"age_first_marriage_female",24.2
"MKD","North Macedonia",2011,"age_first_marriage_female",25.5
"MLI","Mali",2018,"age_first_marriage_female",18.8
"MLT","Malta",2011,"age_first_marriage_female",28
"MMR","Myanmar",2016,"age_first_marriage_female",22.9
"MNE","Montenegro",2013,"age_first_marriage_female",26.3
"MNG","Mongolia",2013,"age_first_marriage_female",23
"MNP","Northern Mariana Islands",2010,"age_first_marriage_female",28.1
"MOZ","Mozambique",2017,"age_first_marriage_female",18.7
"MRT","Mauritania",2015,"age_first_marriage_female",21.8
"MUS","Mauritius",2011,"age_first_marriage_female",23.9
"MWI","Malawi",2018,"age_first_marriage_female",20.4
"MYS","Malaysia",2010,"age_first_marriage_female",25.7
"NAM","Namibia",2016,"age_first_marriage_female",30.3
"NCL","New Caledonia",2014,"age_first_marriage_female",32.8
"NER","Niger",2015,"age_first_marriage_female",17.2
"NGA","Nigeria",2013,"age_first_marriage_female",21.2
"NIC","Nicaragua",2012,"age_first_marriage_female",21.1
"NLD","Netherlands",2018,"age_first_marriage_female",32.4
"NOR","Norway",2018,"age_first_marriage_female",32.1
"NPL","Nepal",2016,"age_first_marriage_female",20.1
"OMN","Oman",2010,"age_first_marriage_female",25.6
"PAK","Pakistan",2017,"age_first_marriage_female",23.2
"PAN","Panama",2013,"age_first_marriage_female",21
"PER","Peru",2016,"age_first_marriage_female",23.3
"PHL","Philippines",2017,"age_first_marriage_female",23.4
"PLW","Palau",2015,"age_first_marriage_female",28.5
"PNG","Papua New Guinea",2016,"age_first_marriage_female",21.4
"POL","Poland",2011,"age_first_marriage_female",26.6
"PRI","Puerto Rico",2010,"age_first_marriage_female",29.2
"PRT","Portugal",2011,"age_first_marriage_female",30.1
"PRY","Paraguay",2016,"age_first_marriage_female",21.9
"PSE","West Bank and Gaza",2017,"age_first_marriage_female",22.1
"PYF","French Polynesia",2012,"age_first_marriage_female",33.8
"ROU","Romania",2011,"age_first_marriage_female",25.9
"RUS","Russian Federation",2010,"age_first_marriage_female",24.4
"RWA","Rwanda",2015,"age_first_marriage_female",24.3
"SAU","Saudi Arabia",2017,"age_first_marriage_female",26.6
"SDN","Sudan",2014,"age_first_marriage_female",21.9
"SEN","Senegal",2017,"age_first_marriage_female",22.2
"SGP","Singapore",2010,"age_first_marriage_female",27.9
"SLB","Solomon Islands",2015,"age_first_marriage_female",22.4
"SLE","Sierra Leone",2017,"age_first_marriage_female",23.1
"SLV","El Salvador",2014,"age_first_marriage_female",22.6
"SMR","San Marino",2018,"age_first_marriage_female",31.3
"SRB","Serbia",2014,"age_first_marriage_female",26.6
"SSD","South Sudan",2010,"age_first_marriage_female",18.4
"STP","Sao Tome and Principe",2014,"age_first_marriage_female",21
