"ECA sub-region","Country name","ISO2","ISO3","type","total green","male green","female green","gap green","total brown","male brown","female brown","gap brown","total change","male change","female change","gap change","total retraining","male retraining","female retraining","gap retraining","total skill gap","male skill gap","female skill gap","gap skill gap","total unaffected","male unaffected","female unaffected","gap unaffected","total total","male total","female total"
"Western Europe","Austria","AT","AUT","percentage",0.037,0.0535,0.0184,-0.0351,0.035,0.0562,0.0113,-0.0449,0.1042,0.1462,0.0572,-0.089,0.1353,0.1956,0.0676,-0.128,15.7091,13.747,22.077,8.33,0.8433,0.7745,0.9205,0.146,,,
"Western Europe","Belgium","BE","BEL","percentage",0.0399,0.0561,0.0218,-0.0343,0.0341,0.0539,0.0119,-0.0421,0.1092,0.1549,0.0578,-0.0971,0.1406,0.2043,0.069,-0.1353,15.4511,14.8625,17.4049,2.5423,0.8365,0.7648,0.9169,0.1521,,,
"Western Europe","Denmark","DK","DNK","percentage",0.0382,0.0514,0.0239,-0.0275,0.0264,0.0398,0.0119,-0.0279,0.0934,0.1365,0.0467,-0.0898,0.1168,0.1712,0.0578,-0.1134,15.9451,14.7309,19.851,5.1201,0.8592,0.7981,0.9255,0.1274,,,
"Western Europe","Finland","FI","FIN","percentage",0.0431,0.0597,0.0255,-0.0343,0.0369,0.0574,0.0151,-0.0423,0.1034,0.1496,0.0546,-0.095,0.1374,0.2021,0.0689,-0.1332,14.5627,13.3913,18.2,4.8087,0.8373,0.7641,0.9148,0.1507,,,
"Western Europe","France","FR","FRA","percentage",0.0482,0.0673,0.0284,-0.0389,0.0455,0.0673,0.023,-0.0443,0.0994,0.1401,0.0572,-0.0828,0.1424,0.2031,0.0794,-0.1237,14.342,13.455,16.6975,3.2425,0.8291,0.759,0.9019,0.1429,,,
"Western Europe","Germany","DE","DEU","percentage",0.0391,0.0559,0.0199,-0.036,0.0448,0.0724,0.0135,-0.0589,0.1155,0.1534,0.0726,-0.0807,0.1565,0.2195,0.0851,-0.1343,16.9074,14.7616,23.1856,8.424,0.8218,0.7502,0.903,0.1529,,,
"Western Europe","Greece","GR","GRC","percentage",0.025,0.0321,0.0153,-0.0168,0.0286,0.0389,0.0145,-0.0245,0.0952,0.1243,0.0552,-0.0691,0.1215,0.1598,0.0689,-0.091,20.589,19.4995,24.0557,4.5562,0.8659,0.8243,0.9229,0.0986,,,
"Western Europe","Ireland","IE","IRL","percentage",0.0412,0.0539,0.0267,-0.0272,0.0252,0.0387,0.0097,-0.029,0.1029,0.1353,0.0658,-0.0695,0.125,0.1694,0.0743,-0.0951,14.2899,13.4821,16.3986,2.9166,0.8484,0.7968,0.9075,0.1108,,,
"Western Europe","Italy","IT","ITA","percentage",0.0331,0.0447,0.0175,-0.0272,0.049,0.069,0.0222,-0.0469,0.0971,0.1341,0.0475,-0.0866,0.1424,0.1974,0.0688,-0.1286,17.6045,16.6128,21.4024,4.7895,0.839,0.7781,0.9203,0.1422,,,
"Western Europe","Luxembourg","LU","LUX","percentage",0.0381,0.0496,0.025,-0.0246,0.0183,0.0295,0.0054,-0.0241,0.0861,0.1271,0.0393,-0.0878,0.1029,0.1541,0.0446,-0.1095,17.4522,16.6554,20.5935,3.9381,0.8723,0.8153,0.9372,0.1219,,,
"Western Europe","Netherlands","NL","NLD","percentage",0.0377,0.0521,0.0217,-0.0305,0.0209,0.0348,0.0054,-0.0294,0.0931,0.131,0.0509,-0.0801,0.1123,0.163,0.0559,-0.1071,16.1392,14.9092,20.1304,5.2213,0.8646,0.8063,0.9295,0.1232,,,
"Western Europe","Norway","NO","NOR","percentage",0.0456,0.0608,0.0288,-0.032,0.0262,0.0399,0.011,-0.0288,0.1139,0.1485,0.0754,-0.073,0.1375,0.1841,0.0857,-0.0984,13.4486,13.1371,14.1919,1.0549,0.8347,0.7801,0.8955,0.1154,,,
"Western Europe","Portugal","PT","PRT","percentage",0.0361,0.0513,0.0207,-0.0307,0.0436,0.0619,0.0252,-0.0367,0.1121,0.161,0.0627,-0.0983,0.1529,0.2182,0.0871,-0.1311,17.0234,16.0393,19.5117,3.4724,0.8278,0.7555,0.9008,0.1453,,,
"Western Europe","Spain","ES","ESP","percentage",0.0336,0.0447,0.0206,-0.0241,0.0354,0.0508,0.0172,-0.0337,0.0944,0.1298,0.0523,-0.0775,0.1272,0.1766,0.0685,-0.1082,17.3345,16.099,21.114,5.0151,0.8528,0.7975,0.9183,0.1208,,,
"Western Europe","Sweden","SE","SWE","percentage",0.0462,0.059,0.0324,-0.0266,0.0259,0.0397,0.0109,-0.0288,0.1012,0.1369,0.0627,-0.0742,0.1246,0.1725,0.0727,-0.0997,14.2213,13.8244,15.2394,1.415,0.8458,0.7912,0.9047,0.1135,,,
"Western Europe","Switzerland","CH","CHE","percentage",0.0486,0.0654,0.0295,-0.0359,0.0336,0.0512,0.0137,-0.0374,0.1062,0.1412,0.0664,-0.0748,0.1372,0.1883,0.079,-0.1093,12.0136,10.6706,15.6543,4.9838,0.8334,0.7737,0.9013,0.1276,,,
"Western Europe","United Kingdom","UK","GBR","percentage",0.0498,0.0669,0.0308,-0.036,0.0186,0.0285,0.0075,-0.021,0.1046,0.1445,0.0604,-0.0841,0.1212,0.1697,0.0674,-0.1023,13.461,12.3175,16.6521,4.3346,0.8463,0.7885,0.9104,0.1219,,,
"EU NMS","Bulgaria","BG","BGR","percentage",0.0379,0.0457,0.0292,-0.0165,0.0597,0.0605,0.0588,-0.0017,0.1633,0.2082,0.1124,-0.0958,0.2176,0.2626,0.1667,-0.0959,20.0561,18.8172,22.2636,3.4465,0.7623,0.7139,0.8171,0.1032,,,
"EU NMS","Croatia","HR","HRV","percentage",0.0415,0.0581,0.0223,-0.0359,0.0537,0.0726,0.0318,-0.0408,0.1074,0.1548,0.0524,-0.1024,0.1576,0.2216,0.0833,-0.1383,17.4713,16.146,21.568,5.422,0.818,0.7461,0.9016,0.1555,,,
"EU NMS","Cyprus","CY","CYP","percentage",0.0344,0.0509,0.0172,-0.0337,0.0239,0.0345,0.0128,-0.0217,0.0966,0.1446,0.0469,-0.0977,0.1184,0.1758,0.0589,-0.117,17.1023,15.4878,22.1014,6.6136,0.8621,0.7965,0.9302,0.1337,,,
"EU NMS","Czech Republic","CZ","CZE","percentage",0.0447,0.0585,0.0275,-0.031,0.0613,0.0818,0.0358,-0.046,0.1311,0.1686,0.0843,-0.0843,0.1868,0.2415,0.1185,-0.1231,17.0192,15.7712,20.1987,4.4275,0.7876,0.7255,0.8653,0.1399,,,
"EU NMS","Estonia","EE","EST","percentage",0.06,0.0782,0.0405,-0.0376,0.053,0.0738,0.0305,-0.0433,0.1481,0.1923,0.1006,-0.0917,0.1983,0.2618,0.1299,-0.1319,15.1439,14.616,16.2889,1.6729,0.7666,0.6931,0.8457,0.1526,,,
"EU NMS","Hungary","HU","HUN","percentage",0.0426,0.0529,0.0302,-0.0227,0.0631,0.0852,0.0366,-0.0486,0.1471,0.1891,0.0966,-0.0925,0.2061,0.2675,0.1322,-0.1353,18.0394,17.6743,18.9265,1.2522,0.7723,0.7056,0.8525,0.1469,,,
"EU NMS","Latvia","LV","LVA","percentage",0.0519,0.0599,0.0441,-0.0157,0.0433,0.0627,0.0245,-0.0382,0.1561,0.2167,0.0973,-0.1194,0.1971,0.2757,0.1209,-0.1548,16.6355,14.835,20.6227,5.7877,0.7732,0.6909,0.853,0.1622,,,
"EU NMS","Lithuania","LT","LTU","percentage",0.0511,0.0634,0.0392,-0.0243,0.0536,0.0712,0.0366,-0.0346,0.1418,0.1945,0.0907,-0.1037,0.1927,0.2611,0.1262,-0.1349,17.3447,16.4699,19.102,2.6321,0.7775,0.7034,0.8494,0.146,,,
"EU NMS","Poland","PL","POL","percentage",0.0444,0.0516,0.0356,-0.016,0.0568,0.0775,0.0318,-0.0457,0.1538,0.2002,0.0981,-0.1021,0.2051,0.2697,0.1274,-0.1422,16.4832,16.2867,16.9834,0.6967,0.7712,0.7034,0.8526,0.1492,,,
"EU NMS","Romania","RO","ROU","percentage",0.03,0.039,0.0181,-0.0209,0.0497,0.0562,0.0411,-0.0152,0.1141,0.1524,0.0635,-0.0888,0.1601,0.2033,0.1031,-0.1002,17.7472,15.943,22.4443,6.5013,0.8247,0.7773,0.8873,0.1101,,,
"EU NMS","Slovakia","SK","SVK","percentage",0.0437,0.0577,0.0266,-0.0311,0.0598,0.0837,0.0306,-0.0531,0.1588,0.2049,0.1024,-0.1025,0.2144,0.2818,0.1321,-0.1496,18.1641,16.9312,21.3723,4.4411,0.7644,0.6895,0.8558,0.1663,,,
"EU NMS","Slovenia","SI","SVN","percentage",0.044,0.0524,0.0343,-0.0181,0.053,0.0684,0.035,-0.0334,0.1533,0.198,0.1015,-0.0965,0.2006,0.2579,0.134,-0.1239,15.5803,15.2811,16.2484,0.9673,0.7756,0.7144,0.8466,0.1322,,,
"Western Balkans","Albania","AL","ALB","percentage",0.0157,0.023,0.0065,-0.0164,0.03,0.0369,0.0212,-0.0157,0.0599,0.0873,0.025,-0.0623,0.0882,0.1215,0.0458,-0.0757,16.3921,13.6703,25.5897,11.9195,0.9045,0.8682,0.9507,0.0825,,,
"Western Balkans","Bosnia-Herzegovina","BA","BIH","percentage",0.0294,0.0385,0.0145,-0.024,0.0553,0.0689,0.0327,-0.0362,0.1137,0.1517,0.0509,-0.1009,0.166,0.2162,0.083,-0.1332,20.757,19.1877,27.5087,8.321,0.818,0.7635,0.9081,0.1447,,,
"Western Balkans","Kosovo","XK","XKX","percentage",0.0344,0.038,0.0208,-0.0172,0.0316,0.0307,0.0348,0.004,0.1169,0.1337,0.0537,-0.08,0.146,0.162,0.0861,-0.0759,13.6505,12.2436,23.6192,11.3756,0.8336,0.8161,0.8995,0.0834,,,
"Western Balkans","Montenegro","ME","MNE","percentage",0.0343,0.0426,0.0239,-0.0188,0.0229,0.035,0.0077,-0.0273,0.1431,0.1925,0.0811,-0.1113,0.163,0.223,0.0878,-0.1352,16.3505,15.837,17.9866,2.1496,0.8197,0.756,0.8996,0.1436,,,
"Western Balkans","North Macedonia","MK","MKD","percentage",0.0325,0.0415,0.0187,-0.0227,0.0584,0.0683,0.0434,-0.0249,0.1136,0.1487,0.06,-0.0887,0.1693,0.2131,0.1024,-0.1107,18.5754,17.7622,21.1574,3.3952,0.8131,0.7649,0.8867,0.1218,,,
"Western Balkans","Serbia","RS","SRB","percentage",0.03,0.0373,0.0221,-0.0152,0.0586,0.0709,0.0454,-0.0256,0.1573,0.1955,0.116,-0.0795,0.2086,0.2581,0.1553,-0.1028,21.3488,19.6538,24.3854,4.7316,0.7759,0.7231,0.8329,0.1098,,,
"Eastern Europe","Belarus","BY","BLR","percentage",0.0478,0.0594,0.0364,-0.023,0.0575,0.0775,0.0379,-0.0395,0.1861,0.2611,0.1125,-0.1487,0.2387,0.3312,0.1479,-0.1832,15.7169,15.3005,16.6308,1.3303,0.7373,0.639,0.8337,0.1947,,,
"Eastern Europe","Moldova","MD","MDA","percentage",0.0309,0.0387,0.0232,-0.0155,0.027,0.0297,0.0244,-0.0053,0.1073,0.1459,0.0692,-0.0767,0.1331,0.1736,0.0931,-0.0805,15.5609,14.3019,17.8735,3.5715,0.8493,0.8056,0.8924,0.0868,,,
"Eastern Europe","Russia","RU","RUS","percentage",0.0484,0.0592,0.0368,-0.0224,0.0507,0.0723,0.0278,-0.0444,0.1793,0.248,0.1063,-0.1417,0.2244,0.3119,0.1315,-0.1805,17.7451,17.5762,18.1705,0.5943,0.7501,0.6578,0.8482,0.1904,,,
"Turkiye","Turkiye","TR","TUR","percentage",0.0276,0.0333,0.0154,-0.0178,0.0483,0.0563,0.0312,-0.0252,0.1328,0.1657,0.0627,-0.103,0.1764,0.2163,0.0915,-0.1248,19.4187,18.8272,22.3959,3.5687,0.8094,0.7668,0.9001,0.1333,,,
"Caucasus","Georgia","GE","GEO","percentage",0.0267,0.015,0.0368,0.0218,0.0223,0.012,0.0313,0.0193,0.0957,0.0523,0.1333,0.081,0.1166,0.0638,0.1624,0.0986,14.9131,17.1288,14.1595,-2.9693,0.8692,0.9286,0.8177,-0.1109,,,
"Central Asia","Kazakhstan","KZ","KAZ","percentage",0.0264,0.0303,0.0226,-0.0077,0.0332,0.0515,0.0153,-0.0362,0.0908,0.1084,0.0737,-0.0347,0.1214,0.1558,0.0879,-0.0679,11.4553,9.7612,14.3834,4.6222,0.8641,0.8281,0.8992,0.0711,,,
"Central Asia","Kyrgyz Republic","KG","KGZ","percentage",0.0183,0.0245,0.009,-0.0155,0.0216,0.0217,0.0215,-0.0002,0.0762,0.1065,0.0308,-0.0758,0.0953,0.126,0.0494,-0.0766,14.5894,13.2587,19.6617,6.403,0.8941,0.8603,0.9447,0.0844,,,
"Central Asia","Tajikistan","TJ","TJK","percentage",0.0375,0.0519,0.0075,-0.0444,0.0125,0.0163,0.0046,-0.0117,0.1995,0.2801,0.0321,-0.248,0.2109,0.295,0.0364,-0.2586,10.8023,10.3617,18.2155,7.8538,0.7693,0.678,0.9589,0.281,,,
"Total","Total",,,"percentage",0.042,0.0547,0.0276,-0.0271,0.0425,0.0609,0.0216,-0.0393,0.1273,0.1725,0.0762,-0.0963,0.166,0.2276,0.0963,-0.1314,16.593,15.6954,18.9922,3.2968,0.8103,0.7423,0.8871,0.1448,,,
"Western Europe","Austria","AT","AUT","absolute",156900,120347,36733,,148631,126288,22574,,442120,328576,114002,,573865,439699,134824,,,,,,3576594,1741005,1834838,,4241106,2247857,1993249
"Western Europe","Belgium","BE","BEL","absolute",187626,139936,48062,,160223,134559,26122,,512999,386632,127421,,660602,509887,152184,,,,,,3931007,1908388,2020969,,4699405,2495242,2204163
"Western Europe","Denmark","DK","DNK","absolute",106355,74817,31733,,73536,57945,15789,,260168,198797,62009,,325351,249414,76744,,,,,,2393153,1162655,1229591,,2785309,1456790,1328519
"Western Europe","Finland","FI","FIN","absolute",106259,75911,30441,,90984,72999,18100,,255184,190179,65264,,338958,256935,82387,,,,,,2065666,971347,1093909,,2467024,1271207,1195817
"Western Europe","France","FR","FRA","absolute",1287714,920667,370190,,1215194,920110,298670,,2653436,1915540,744593,,3801400,2777927,1033476,,,,,,22128190,10380479,11736152,,26690147,13677274,13012874
"Western Europe","Germany","DE","DEU","absolute",1607795,1227275,383050,,1843528,1588012,259655,,4753594,3364775,1394493,,6440077,4815022,1634495,,,,,,33809458,16459265,17339451,,41141448,21940198,19201250
"Western Europe","Greece","GR","GRC","absolute",93746,70187,23894,,107340,85236,22593,,356968,272086,86265,,455600,349857,107564,,,,,,3248013,1804385,1441654,,3751063,2189025,1562038
"Western Europe","Ireland","IE","IRL","absolute",89915,62942,27065,,54994,45226,9866,,224327,157918,66643,,272593,197655,75258,,,,,,1849545,929943,919230,,2179998,1167116,1012882
"Western Europe","Italy","IT","ITA","absolute",746759,581637,167656,,1105792,897851,212301,,2191995,1744719,455334,,3215351,2567973,659344,,,,,,18948363,10119907,8815224,,22585661,13006710,9578951
"Western Europe","Luxembourg","LU","LUX","absolute",10548,7361,3210,,5054,4381,696,,23842,18879,5047,,28494,22875,5723,,,,,,241550,121065,120370,,276916,148486,128430
"Western Europe","Netherlands","NL","NLD","absolute",322458,235998,87182,,178614,157557,21754,,795557,592791,204662,,959944,737650,224829,,,,,,7389989,3649204,3737868,,8546878,4525699,4021179
"Western Europe","Norway","NO","NOR","absolute",116268,81768,34624,,66800,53641,13272,,290155,199703,90736,,350419,247655,103146,,,,,,2127049,1049387,1077213,,2548139,1345199,1202940
"Western Europe","Portugal","PT","PRT","absolute",166413,119413,47276,,201433,144083,57681,,517270,374703,143451,,705809,507738,199249,,,,,,3820416,1757974,2061138,,4614993,2326850,2288143
"Western Europe","Spain","ES","ESP","absolute",643997,465406,179411,,678344,529641,149849,,1806323,1352618,456343,,2434267,1840563,597386,,,,,,16324995,8309714,8011167,,19142996,10419487,8723509
"Western Europe","Sweden","SE","SWE","absolute",227494,151324,76344,,127430,101807,25810,,498078,350832,147729,,612999,442171,171477,,,,,,4161961,2028353,2132870,,4920934,2563518,2357416
"Western Europe","Switzerland","CH","CHE","absolute",218172,156336,61864,,151039,122259,28810,,476825,337512,139371,,615890,450068,165907,,,,,,3741527,1849130,1892298,,4489407,2389914,2099493
"Western Europe","United Kingdom","UK","GBR","absolute",1550388,1097686,454337,,578372,468665,110663,,3257286,2371770,889337,,3774275,2786353,992569,,,,,,26361662,12946204,13409922,,31149362,16418880,14730483
"EU NMS","Bulgaria","BG","BGR","absolute",116274,74593,41782,,183009,98793,84225,,500757,340262,161086,,667357,429075,238872,,,,,,2337973,1166531,1170806,,3066862,1634001,1432861
"EU NMS","Croatia","HR","HRV","absolute",67710,51108,16719,,87547,63813,23868,,175089,136103,39321,,256894,194827,62519,,,,,,1333500,656055,676936,,1630194,879358,750836
"EU NMS","Cyprus","CY","CYP","absolute",13394,10256,3242,,9297,6953,2409,,37647,29121,8823,,46139,35411,11084,,,,,,335948,160413,175128,,389672,201401,188271
"EU NMS","Czech Republic","CZ","CZE","absolute",229886,167328,62681,,315371,233899,81655,,674561,482482,192414,,961003,691075,270418,,,,,,4051418,2075589,1975273,,5143735,2861072,2282663
"EU NMS","Estonia","EE","EST","absolute",37837,25626,12257,,33375,24201,9228,,93343,63050,30406,,124952,85842,39273,,,,,,483107,227232,255688,,630209,327868,302341
"EU NMS","Hungary","HU","HUN","absolute",187863,127564,60403,,278461,205532,73152,,648675,455977,193123,,908818,645082,264358,,,,,,3406384,1701551,1704158,,4410656,2411539,1999117
"EU NMS","Latvia","LV","LVA","absolute",45186,25914,19332,,37727,27144,10731,,135945,93785,42621,,171655,119317,52935,,,,,,673306,299039,373640,,870856,432842,438014
"EU NMS","Lithuania","LT","LTU","absolute",67640,41495,26203,,70967,46572,24478,,187749,127268,60730,,255029,170896,84458,,,,,,1029163,460353,568459,,1323721,654460,669261
"EU NMS","Poland","PL","POL","absolute",715891,457107,259492,,916146,686461,231709,,2481764,1771978,714303,,3308744,2387241,927800,,,,,,12441251,6227026,6207620,,16133369,8852471,7280898
"EU NMS","Romania","RO","ROU","absolute",251247,186687,65010,,416461,269378,147409,,956187,730048,228055,,1342189,974102,370247,,,,,,6912309,3724283,3185652,,8381775,4791591,3590184
"EU NMS","Slovakia","SK","SVK","absolute",110642,80497,30232,,151404,116734,34818,,402170,285896,116560,,543060,393088,150391,,,,,,1936537,961914,974158,,2533315,1395060,1138255
"EU NMS","Slovenia","SI","SVN","absolute",42347,27186,15201,,50935,35486,15521,,147489,102725,44972,,192919,133803,59385,,,,,,745997,370580,375131,,961855,518733,443121
"Western Balkans","Albania","AL","ALB","absolute",15374,12598,2794,,29347,20257,9107,,58550,47914,10705,,86240,66681,19643,,,,,,884409,476585,407732,,977771,548913,428858
"Western Balkans","Bosnia-Herzegovina","BA","BIH","absolute",23134,18910,4272,,43458,33897,9634,,89372,74599,14976,,130467,106293,24440,,,,,,643032,375364,267378,,786092,491660,294433
"Western Balkans","Kosovo","XK","XKX","absolute",12296,10713,1572,,11278,8655,2625,,41755,37649,4058,,52151,45604,6501,,,,,,297684,229807,67927,,357095,281581,75514
"Western Balkans","Montenegro","ME","MNE","absolute",7927,5497,2437,,5285,4509,786,,33071,24824,8288,,37686,28765,8970,,,,,,189461,97510,91899,,231143,128987,102156
"Western Balkans","North Macedonia","MK","MKD","absolute",23806,18470,5393,,42854,30422,12495,,83296,66257,17263,,124133,94939,29473,,,,,,596323,340808,255208,,733393,445561,287832
"Western Balkans","Serbia","RS","SRB","absolute",98800,64389,34674,,192997,122372,71069,,517731,337312,181799,,686833,445269,243348,,,,,,2554154,1247354,1304894,,3291860,1725112,1566748
"Eastern Europe","Belarus","BY","BLR","absolute",222438,135118,86635,,267591,176191,90223,,866103,594014,267666,,1110998,753386,352160,,,,,,3432332,1453640,1984484,,4655084,2274804,2380280
"Eastern Europe","Moldova","MD","MDA","absolute",36325,22599,13726,,31775,17321,14454,,126203,85191,41012,,156531,101353,55179,,,,,,998977,470337,528640,,1176240,583837,592403
"Eastern Europe","Russia","RU","RUS","absolute",3441480,2170804,1270677,,3608762,2648108,960652,,12756793,9087183,3669606,,15967048,11429747,4537299,,,,,,53377162,24102248,29274915,,71156846,36642120,34514726
"Turkiye","Turkiye","TR","TUR","absolute",751212,616830,134383,,1314891,1043880,271011,,3616778,3071094,545683,,4804054,4007893,796161,,,,,,22039307,14209441,7829866,,27229668,18531089,8698579
"Caucasus","Georgia","GE","GEO","absolute",48338,12557,35854,,40458,10048,30474,,173265,43787,129748,,211120,53368,158081,,,,,,1573730,777216,796144,,1810546,836964,973582
"Central Asia","Kazakhstan","KZ","KAZ","absolute",225080,132207,94059,,283134,224927,63780,,775031,473343,307030,,1036137,680363,366228,,,,,,7372284,3615380,3745957,,8531975,4366053,4165922
"Central Asia","Kyrgyz Republic","KG","KGZ","absolute",44456,36050,8631,,52468,31865,20607,,185079,156652,29529,,231652,185342,47424,,,,,,2173030,1264943,906860,,2430342,1470405,959937
"Central Asia","Tajikistan","TJ","TJK","absolute",75237,72595,4574,,25035,22763,2782,,400382,391596,19574,,423279,412364,22165,,,,,,1544223,947775,584226,,2007194,1397945,609249
"Total","Total","Total",,"absolute",14979815,10623067,4486890,,15159142,11833069,3514718,,45450893,33511037,12401999,,59266335,44222071,15674492,,,,,,289338324,144215603,144428069,,357082255,194274877,162807378
