"2017","2018","2019","2020","2021","Country Code","Country Name"
105439,105962,106442,106585,106537,"ABW","Aruba"
632746296,649756874,667242712,685112705,702976832,"AFE","Africa Eastern and Southern"
35643418,36686784,37769499,38972230,40099462,"AFG","Afghanistan"
431138704,442646825,454306063,466189102,478185907,"AFW","Africa Western and Central"
30208628,31273533,32353588,33428486,34503774,"AGO","Angola"
2873457,2866376,2854191,2837849,2811666,"ALB","Albania"
73837,75013,76343,77700,79034,"AND","Andorra"
423664839,432545676,441467739,449228296,456520777,"ARB","Arab World"
9068296,9140169,9211657,9287289,9365145,"ARE","United Arab Emirates"
44044811,44494502,44938712,45376763,45808747,"ARG","Argentina"
2851923,2836557,2820602,2805608,2790974,"ARM","Armenia"
49463,48424,47321,46189,45035,"ASM","American Samoa"
91119,91626,92117,92664,93219,"ATG","Antigua and Barbuda"
24594202,24966643,25340217,25655289,25688079,"AUS","Australia"
8797566,8840521,8879920,8916864,8955797,"AUT","Austria"
9854033,9939771,10024283,10093121,10137750,"AZE","Azerbaijan"
11155593,11493472,11874838,12220227,12551213,"BDI","Burundi"
11375158,11427054,11488980,11538604,11592952,"BEL","Belgium"
11596779,11940683,12290444,12643123,12996895,"BEN","Benin"
19835858,20392723,20951639,21522626,22100683,"BFA","Burkina Faso"
161793964,163683958,165516222,167420951,169356251,"BGD","Bangladesh"
7075947,7025037,6975761,6934015,6877743,"BGR","Bulgaria"
1456834,1487340,1494188,1477469,1463265,"BHR","Bahrain"
399020,401906,404557,406471,407906,"BHS","Bahamas, The"
3440027,3400129,3360711,3318407,3270943,"BIH","Bosnia and Herzegovina"
9458989,9438785,9419758,9379952,9340314,"BLR","Belarus"
374693,382066,389095,394921,400031,"BLZ","Belize"
63873,63918,63911,63893,63867,"BMU","Bermuda"
11435533,11606905,11777315,11936162,12079472,"BOL","Bolivia"
208504960,210166592,211782878,213196304,214326223,"BRA","Brazil"
279187,279688,280180,280693,281200,"BRB","Barbados"
430276,434274,438048,441725,445373,"BRN","Brunei Darussalam"
756121,762096,767459,772506,777486,"BTN","Bhutan"
2401840,2451409,2499702,2546402,2588423,"BWA","Botswana"
4996741,5094780,5209324,5343020,5457154,"CAF","Central African Republic"
36545236,37065084,37601230,38037204,38246108,"CAN","Canada"
102740078,102538451,102398537,102180124,101430997,"CEB","Central Europe and the Baltics"
8451840,8514329,8575280,8638167,8703405,"CHE","Switzerland"
165215,167259,169410,171113,172683,"CHI","Channel Islands"
18368577,18701450,19039485,19300315,19493184,"CHL","Chile"
1396215000,1402760000,1407745000,1411100000,1412360000,"CHN","China"
24848016,25493988,26147551,26811790,27478249,"CIV","Cote d'Ivoire"
24393181,25076747,25782341,26491087,27198628,"CMR","Cameroon"
84283273,87087355,89906890,92853164,95894118,"COD","Congo, Dem. Rep."
5312340,5441062,5570733,5702174,5835806,"COG","Congo, Rep."
48351671,49276961,50187406,50930662,51516562,"COL","Colombia"
761664,776313,790986,806166,821625,"COM","Comoros"
564954,571202,577030,582640,587925,"CPV","Cabo Verde"
