"country","iso3","Boys","Girls"
"Viet Nam","VNM",13,2
"Japan","JPN",7,3
"Indonesia","IDN",13,5
"Ukraine","UKR",11,5
"Hong Kong","HKG",20,6
"Korea","KOR",19,7
"Macao","MAC",15,8
"Czech Rep","CZE",14,8
"Netherlands","NLD",19,8
"Taiwan","TWN",24,9
"Austria","AUT",20,9
"Finland","FIN",12,9
"China","CHN",15,9
"USA","USA",28,10
"Slovak Rep","SVK",13,11
"Belarus","BLR",14,11
"Moldova","MDA",6,11
"Jordan","JOR",27,11
"Switzerland","CHE",24,11
"Romania","ROU",13,11
"Bulgaria","BGR",14,11
"Norway","NOR",33,12
"Poland","POL",14,12
"Singapore","SGP",27,12
"Latvia","LVA",20,12
"Russia","RUS",20,12
"Germany","DEU",23,12
"Italy","ITA",26,12
"Azerbaijan","AZE",13,13
"Lithuania","LTU",18,13
"Canada","CAN",31,14
"Iceland","ISL",21,14
"Kazakhstan","KAZ",28,14
"New Zealand","NZL",26,14
"Thailand","THA",19,14
"Slovenia","SVN",23,15
"Luxembourg","LUX",25,15
"Malta","MLT",27,15
"Malaysia","MYS",38,15
"Portugal","PRT",48,15
"Estonia","EST",17,15
"Israel","ISR",24,16
"UAE","ARE",31,16
"Belgium","BEL",31,16
"Croatia","HRV",20,17
"Hungary","HUN",27,17
"Ireland","IRL",30,17
"Denmark","DNK",32,17
"France","FRA",33,17
"Serbia","SRB",15,17
"Montenegro","MNE",10,18
"Brunei","BRN",37,18
"Australia","AUS",33,19
"North Macedonia","MKD",14,20
"UK","GBR",28,20
"Brazil","BRA",34,20
"Sweden","SWE",37,20
"Cyprus","CYP",26,22
"Turkey","TUR",33,22
"Qatar","QAT",35,22
"Chile","CHL",38,23
"Albania","ALB",38,23
"Greece","GRC",23,23
"Lebanon","LBN",47,27
"Argentina","ARG",42,27
