"country","year","water_stress","total_renewable_water_resources_per_capita","total_population","total_area_of_country","total_renewable_water_resources","total_water_withdrawal","total_renewable_surface_water","total_renewable_groundwater","overlap_between_surface_water_and_groundwater","dependency_ratio","agricultural_water_withdrawal","industrial_water_withdrawal","municipal_water_withrdrawal","environmental_flow_requirements"
"Iceland",2018,0.394075282,504881.0114,336.713,10300,170,0.2783,166,24,20,0,0.0003,0.198,0.08,96.41
"Guyana",2018,3.298401827,347879.2204,779.006,21497,271,1.4447,271,103,103,11.0701107,1.363,0.0204,0.0613,227.2
"Suriname",2018,3.950609365,171877.984,575.99,16382,99,0.6159,99,90,90,0,0.4311,0.1355,0.0493,83.41
"Congo",2018,0.0274463007,158646.6525,5244.359,34200,832,0.0917,832,122,122,73.31730769,0.004,0.024,0.0637,664.4
"Bhutan",2018,1.413807531,103395.0699,754.388,3839,78,0.338,78,8.1,8.1,0,0.318,0.003,0.017,54.1
"Papua New Guinea",2018,0.1322428331,93071.10598,8606.323,46284,801,0.3921,801,211.6,211.6,0,0.001,0.1676,0.2235,504.5
"Gabon",2018,0.502166065,78328.67372,2119.275,26767,166,0.1391,164,62,60,1.204819277,0.0403,0.0141,0.0847,138.3
"Canada",2018,3.666323378,78274.69412,37074.562,987975,2902,35.027,2892,370,360,1.791867678,2.639,27.5,4.888,1931
"Norway",2018,2.046463878,73623.60391,5337.962,38520.759,393,2.6912,387,96,90,2.798982188,0.8449,1.071,0.7753,261.5
"New Zealand",2018,8.04808476,68941.80237,4743.131,26771,327,4.919577298,0,0,,0,3.207,1.184,0.528577298,204.3
"Solomon Islands",2018,,68468.28632,652.857,2890,44.7,,44.7,11.92,11.92,0,0,0,0,0
"Peru",2018,6.544895678,58763.47249,31989.26,128522,1879.8,16,1879.8,303,303,12.70347909,14.688,0.083,1.02,1343
"Belize",2018,1.260294485,56736.21861,383.071,2297,21.734,0.101,21.734,7.51,7.51,29.78742983,0.0684,0.0212,0.0114,13.72
"Paraguay",2018,1.835399711,55745.58953,6956.066,40675.2,387.77,2.413,387.77,41.64,41.64,69.82747505,1.897,0.154,0.362,256.3
"Bolivia",2018,1.177001127,50558.69115,11353.142,109858,574,2.088,547.9,130,103.9,47.12543554,1.92,0.032,0.136,396.6
"Uruguay",2018,9.786096257,49923.38992,3449.285,17622,172.2,3.66,172.2,22.9,22.9,46.45760743,3.17,0.08,0.41,134.8
"Chile",2018,21.61926046,49284.64491,18729.16,75609.6,923.06,32.37,923.06,140,140,4.123242259,29.42,1.66,1.29,529.3
"Liberia",2018,0.2643115942,48143.03795,4818.973,11137,232,0.1459,232,45,45,13.79310345,0.0123,0.0534,0.0802,176.8
"Colombia",2018,4.189123876,47522.15459,49661.048,114175,2360,28.59,2360,510,510,9.110169492,21,4,3.59,1692
"Lao People's Democratic Republic",2018,4.771838331,47227.87926,7061.507,23680,333.5,7.32,333.5,37.9,37.9,42.90854573,7.02,0.17,0.13,180.1
"Venezuela",2018,7.540366667,45868.19634,28887.118,91205,1325,22.6263,1302.7,227,204.7,39.24528302,16.71,0.7933,5.123,1025
"Brazil",2018,1.422501101,41280.5077,209469.323,851577,8647,64.59,8647,645.6,645.6,34.5322077,37.55,10.18,16.86,4105
"Vanuatu",2018,,34167.00834,292.68,1219,10,,10,4.377,4.377,0,0,0,0,0
"Panama",2018,0.9010711098,33351.29735,4176.869,7532,139.304,1.2114,135.904,21,17.6,1.941078505,0.4461,0.0062,0.7591,4.864
"Fiji",2018,0.2973730298,32315.27941,883.483,1827,28.55,0.0849,28.55,5.273,5.273,0,0.05,0.0096,0.0253,0
"Russian Federation",2018,4.122242749,31052.76614,145734.038,1709825,4525.445,64.82,4249.445,788,512,4.716552737,18.64,29.03,17.15,2953
"Central African Republic",2018,0.3356481481,30216.21955,4666.368,62298,141,0.0725,141,56,56,0,0.0004,0.012,0.0601,119.4
"Cambodia",2018,1.036544851,29298.83656,16249.792,18104,476.1,2.184,471.5,17.6,13,74.66918715,2.053,0.033,0.098,265.4
"Ecuador",2018,6.782352941,25895.03217,17084.358,25637,442.4,9.918,432,134,123.6,0,8.076,0.549,1.293,296.2
"Nicaragua",2018,2.692428472,25445.82392,6465.501,13037,164.52,1.5446,160.91,59,55.39,5.051057622,1.185,0.0736,0.286,107.2
"Croatia",2018,1.496220543,25382.51205,4156.405,5659.4,105.5,0.718,95,11,0.5,64.26540284,0.076,0.187,0.455,60.52
"Costa Rica",2018,5.210802048,22602.52696,4999.441,5110,113,3.1958691,113,37.31,37.31,0,2.302,0.24,0.6538691,54.4
"Myanmar",2018,5.801501397,21743.37235,53708.32,67664,1167.8,33.3914,1157.1,453.7,443,14.1291317,29.57,0.4984,3.323,595
"Sierra Leone",2018,0.4957943925,20914.62259,7650.15,7230,160,0.2122,150,25,15,0,0.0457,0.0555,0.111,117.2
"Finland",2018,6.639791321,19918.24105,5522.576,33845,110,2.8,109.8,2.2,2,2.727272727,0.4,2,0.4,67.83
"Equatorial Guinea",2018,0.1835032437,19862.8698,1308.975,2805,26,0.0198,25,10,9,0,0.001,0.003,0.0158,15.21
"Brunei Darussalam",2018,3.466465712,19815.22882,428.963,577,8.5,0.092,8.5,0.1,0.1,0,0.0053,0,0.1515,5.846
"Australia",2018,4.657864898,19760.50271,24898.152,774122,492,17.3617,440,72,20,0,12.02484,3.03547,2.30139,243.3
"Argentina",2018,10.45666408,19752.4185,44361.15,278040,876.24,37.78,860.24,128,112,66.67579659,27.93,4,5.85,515.8
"Serbia",2018,6.263383298,18426.05167,8802.754,8836,162.2,5.5575,,,,,0.7123,4.1913,0.6539,73.47
"Malaysia",2018,3.43948718,18396.32685,31528.033,33080,580,5.488,566,64,50,0,2.505,1.641,1.342,385
"Guinea",2018,1.369230769,18204.82246,12414.293,24586,226,0.89,226,38,38,0,0.6,0.06,0.23,161
"Latvia",2018,1.080431302,18118.09325,1928.459,6459.4,34.94,0.17718603,34.54,4.7,4.3,51.51688609,0.05413,0.0333,0.08976,17.97
"Sweden",2018,3.427128427,17449.49024,9971.638,44743.479,174,2.375,173,20,19,1.724137931,0.075,1.345,0.955,104.7
"Guinea-Bissau",2018,1.495726496,16752.89428,1874.303,3613,31.4,0.19,27.4,14,10,49.04458599,0.144,0.0119,0.0341,19.7
"Namibia",2018,0.8615525672,16301.10023,2448.301,82429,39.91,0.288,37.85,2.1,0.04,84.56527186,0.201,0.014,0.073,7.19
"Georgia",2018,4.205602606,15820.86375,4002.942,6970,63.33,1.29112,62.1,17.23,16,8.210958472,0.45784,0.21017,0.62311,32.63
"Slovenia",2018,6.497633536,15338.0655,2077.837,2027.09,31.87,0.961,31.72,13.5,13.35,41.41826169,0.003,0.787,0.171,17.08
"Democratic Republic of the Congo",2018,0.2268835048,15261.43849,84068.091,234486,1283,0.6836,1282,421,420,29.85190959,0.0719,0.1468,0.4649,981.7
"Madagascar",2018,11.26150628,12832.07614,26262.313,58729.5,337,13.5569,332,55,50,0,13,0.1619,0.395,217.5
"Bosnia and Herzegovina",2018,2.662018592,11281.843,3323.925,5121,37.5,,36.34,11.57,10.41,5.333333333,0,0.0718,0.3608,22.44
"Cameroon",2018,1.560430108,11228.8627,25216.267,47544,283.15,1.0884,278.15,100,95,3.584672435,0.737,0.1046,0.2468,213.4
"Mongolia",2018,3.395007342,10977.17001,3170.216,156411.6,34.8,0.4624,32.7,6.1,4,0,0.2509,0.1662,0.0453,21.18
"Romania",2018,6.00692819,10868.89987,19506.114,23840,212.01,6.416,211.55,8.46,8,80.01037687,1.427,3.904,1.085,105.2
"Ireland",2018,20.04213483,10791.31465,4818.69,7028,52,1.427,51.2,10.8,10,5.769230769,0.065,0.52,0.842,44.88
"Hungary",2018,7.651122625,10713.36706,9707.499,9303,104,4.5045,104,6,6,94.23076923,0.5186,3.358,0.6279,46.1
"Albania",2018,5.757211539,10476.14422,2882.74,2773,30.2,0.958,26.35,6.2,2.35,10.92715232,0.653,0.098,0.207,13.56
"Sao Tome and Principe",2018,1.876146789,10330.3827,211.028,96,2.18,0.0409,0,0,,0,0.0256,0.0006,0.0147,0
"Estonia",2018,17.40844156,9680.101593,1322.92,4534,12.806,1.60853857,11.806,4,3,0.7496486022,0.00473857,1.5417,0.0621,3.566
"Honduras",2018,4.621268764,9612.911449,9587.522,11249,92.164,1.607,83.074,39,29.91,1.631873617,1.178,0.114,0.315,57.39
"United States of America",2018,28.16198427,9382.558985,327096.265,983151,3069,444.29,2913,1383,1227,8.178559792,176.2,209.7,58.39,1491
