"region","iso3","country","total_population","total_freshwater_withdrawal","agricultural_land","gdp_ppp"
"South Asia","AFG","Afghanistan",7.57,10.31,5.58,10.89
"Europe & Central Asia","ALB","Albania",6.46,8.98,4.07,10.59
"Middle East & North Africa","DZA","Algeria",7.63,9.99,5.62,11.7
"Sub-Saharan Africa","AGO","Angola",7.49,8.85,5.76,11.34
"Latin America & Caribbean","ATG","Antigua and Barbuda",4.98,6.64,1.95,9.32
"Latin America & Caribbean","ARG","Argentina",7.65,10.58,6.17,12.02
"Europe & Central Asia","ARM","Armenia",6.47,9.43,4.22,10.58
"East Asia & Pacific","AUS","Australia",7.4,10.06,6.55,12.1
"Europe & Central Asia","AUT","Austria",6.95,9.54,4.42,11.7
"Europe & Central Asia","AZE","Azerbaijan",7,10.09,4.68,11.16
"Middle East & North Africa","BHR","Bahrain",6.2,8.19,1.93,10.87
"South Asia","BGD","Bangladesh",8.21,10.55,4.96,11.93
"Latin America & Caribbean","BRB","Barbados",5.46,7.85,2,9.66
"Europe & Central Asia","BLR","Belarus",6.97,9.14,4.93,11.26
"Europe & Central Asia","BEL","Belgium",7.06,9.6,4.13,11.78
"Latin America & Caribbean","BLZ","Belize",5.58,8,3.24,9.45
"Sub-Saharan Africa","BEN","Benin",7.06,8.11,4.6,10.57
"South Asia","BTN","Bhutan",5.88,8.53,3.71,9.94
"Latin America & Caribbean","BOL","Bolivia",7.06,9.32,5.58,11
"Europe & Central Asia","BIH","Bosnia and Herzegovina",6.52,8.6,4.34,10.7
"Sub-Saharan Africa","BWA","Botswana",6.35,8.29,5.41,10.57
"Latin America & Caribbean","BRA","Brazil",8.32,10.81,6.37,12.5
"East Asia & Pacific","BRN","Brunei Darussalam",5.63,7.96,2.16,10.42
"Europe & Central Asia","BGR","Bulgaria",6.85,9.73,4.7,11.21
"Sub-Saharan Africa","BFA","Burkina Faso",7.3,8.91,5.08,10.63
"Sub-Saharan Africa","BDI","Burundi",7.05,8.45,4.31,9.94
"Sub-Saharan Africa","CPV","Cabo Verde",5.74,7.4,2.9,9.58
"East Asia & Pacific","KHM","Cambodia",7.21,9.34,4.75,10.84
"Sub-Saharan Africa","CMR","Cameroon",7.4,9.04,4.99,10.98
"North America","CAN","Canada",7.57,10.55,5.76,12.27
"Sub-Saharan Africa","CAF","Central African Republic",6.67,7.86,4.71,9.65
"Sub-Saharan Africa","TCD","Chad",7.19,8.94,5.7,10.4
"Latin America & Caribbean","CHL","Chile",7.27,10.93,5.2,11.68
"East Asia & Pacific","CHN","China",9.15,11.77,6.72,13.34
"Latin America & Caribbean","COL","Colombia",7.7,10.45,5.69,11.87
"Sub-Saharan Africa","COM","Comoros",5.92,7,3.12,9.42
"Sub-Saharan Africa","COD","Congo, Dem. Rep.",7.92,8.83,5.5,10.97
"Sub-Saharan Africa","COG","Congo, Rep.",6.72,7.66,5.03,10.32
"Latin America & Caribbean","CRI","Costa Rica",6.7,9.48,4.25,11.03
"Sub-Saharan Africa","CIV","Côte d'Ivoire",7.4,9.07,5.33,11.11
"Europe & Central Asia","HRV","Croatia",6.61,8.83,4.17,11.07
"Europe & Central Asia","CYP","Cyprus",6.08,8.32,3.12,10.55
"Europe & Central Asia","CZE","Czechia",7.03,9.2,4.55,11.64
"Europe & Central Asia","DNK","Denmark",6.76,9.03,4.42,11.52
"Middle East & North Africa","DJI","Djibouti",5.98,7.28,4.23,9.7
"Latin America & Caribbean","DMA","Dominica",4.86,7.3,2.4,8.93
"Latin America & Caribbean","DOM","Dominican Republic",7.03,9.85,4.39,11.28
"Latin America & Caribbean","ECU","Ecuador",7.23,10,4.74,11.31
"Middle East & North Africa","EGY","Egypt",7.99,10.89,4.58,12.06
"Latin America & Caribbean","SLV","El Salvador",6.81,9.33,4.17,10.75
"Sub-Saharan Africa","GNQ","Equatorial Guinea",6.12,7.3,3.45,10.44
"Europe & Central Asia","EST","Estonia",6.12,9.21,4,10.68
"Sub-Saharan Africa","SWZ","Eswatini",6.06,9.03,4.09,10
"Sub-Saharan Africa","ETH","Ethiopia",8.04,10.02,5.58,11.37
"East Asia & Pacific","FJI","Fiji",5.95,7.93,3.63,10.1
"Europe & Central Asia","FIN","Finland",6.74,9.45,4.36,11.44
"Europe & Central Asia","FRA","France",7.83,10.43,5.46,12.49
"Sub-Saharan Africa","GAB","Gabon",6.33,8.14,4.34,10.51
"Sub-Saharan Africa","GMB","Gambia, The",6.36,8.01,3.78,9.7
"Europe & Central Asia","GEO","Georgia",6.57,9.11,4.38,10.74
"Europe & Central Asia","DEU","Germany",7.92,10.39,5.22,12.66
"Sub-Saharan Africa","GHA","Ghana",7.47,9.16,5.17,11.21
"Europe & Central Asia","GRC","Greece",7.03,10.01,4.79,11.5
