"iso","country","variable","water_stress","source","country_code"
"AFG","Afghanistan","SDG 6.4.2. Water Stress (%)",54.7570194,"FAO Aquastat","AFG"
"ALB","Albania","SDG 6.4.2. Water Stress (%)",4.72355769,"FAO Aquastat","ALB"
"DZA","Algeria","SDG 6.4.2. Water Stress (%)",137.92036,"FAO Aquastat","DZA"
"AGO","Angola","SDG 6.4.2. Water Stress (%)",1.87188329,"FAO Aquastat","AGO"
"ATG","Antigua and Barbuda","SDG 6.4.2. Water Stress (%)",8.46153846,"FAO Aquastat","ATG"
"ARG","Argentina","SDG 6.4.2. Water Stress (%)",10.4566641,"FAO Aquastat","ARG"
"ARM","Armenia","SDG 6.4.2. Water Stress (%)",57.0909824,"FAO Aquastat","ARM"
"AUS","Australia","SDG 6.4.2. Water Stress (%)",3.47406514,"FAO Aquastat","AUS"
"AUT","Austria","SDG 6.4.2. Water Stress (%)",9.64354794,"FAO Aquastat","AUT"
"AZE","Azerbaijan","SDG 6.4.2. Water Stress (%)",55.5972621,"FAO Aquastat","AZE"
"BHR","Bahrain","SDG 6.4.2. Water Stress (%)",133.706897,"FAO Aquastat","BHR"
"BGD","Bangladesh","SDG 6.4.2. Water Stress (%)",5.72333948,"FAO Aquastat","BGD"
"BRB","Barbados","SDG 6.4.2. Water Stress (%)",87.5,"FAO Aquastat","BRB"
"BLR","Belarus","SDG 6.4.2. Water Stress (%)",4.37705999,"FAO Aquastat","BLR"
"BEL","Belgium","SDG 6.4.2. Water Stress (%)",51.5847666,"FAO Aquastat","BEL"
"BLZ","Belize","SDG 6.4.2. Water Stress (%)",1.26029448,"FAO Aquastat","BLZ"
"BEN","Benin","SDG 6.4.2. Water Stress (%)",0.97524381,"FAO Aquastat","BEN"
"BTN","Bhutan","SDG 6.4.2. Water Stress (%)",1.41380753,"FAO Aquastat","BTN"
"BOL","Bolivia (Plurinational State of)","SDG 6.4.2. Water Stress (%)",1.17700113,"FAO Aquastat","NOT_FOUND"
"BIH","Bosnia and Herzegovina","SDG 6.4.2. Water Stress (%)",2.00053121,"FAO Aquastat","BIH"
"BWA","Botswana","SDG 6.4.2. Water Stress (%)",2.30500471,"FAO Aquastat","BWA"
"BRA","Brazil","SDG 6.4.2. Water Stress (%)",1.47930427,"FAO Aquastat","BRA"
"BRN","Brunei Darussalam","SDG 6.4.2. Water Stress (%)",3.46646571,"FAO Aquastat","BRN"
"BGR","Bulgaria","SDG 6.4.2. Water Stress (%)",37.5194028,"FAO Aquastat","BGR"
"BFA","Burkina Faso","SDG 6.4.2. Water Stress (%)",7.82026769,"FAO Aquastat","BFA"
"BDI","Burundi","SDG 6.4.2. Water Stress (%)",10.1928675,"FAO Aquastat","BDI"
"CPV","Cabo Verde","SDG 6.4.2. Water Stress (%)",8.43333333,"FAO Aquastat","CPV"
"KHM","Cambodia","SDG 6.4.2. Water Stress (%)",1.03654485,"FAO Aquastat","KHM"
"CMR","Cameroon","SDG 6.4.2. Water Stress (%)",1.56043011,"FAO Aquastat","CMR"
"CAN","Canada","SDG 6.4.2. Water Stress (%)",3.73357364,"FAO Aquastat","CAN"
"CAF","Central African Republic","SDG 6.4.2. Water Stress (%)",0.33564815,"FAO Aquastat","CAF"
"TCD","Chad","SDG 6.4.2. Water Stress (%)",4.29492188,"FAO Aquastat","TCD"
"CHL","Chile","SDG 6.4.2. Water Stress (%)",8.98212109,"FAO Aquastat","CHL"
"CHN","China","SDG 6.4.2. Water Stress (%)",41.5185288,"FAO Aquastat","CHN"
"COL","Colombia","SDG 6.4.2. Water Stress (%)",4.3586332,"FAO Aquastat","COL"
"COM","Comoros","SDG 6.4.2. Water Stress (%)",0.83333333,"FAO Aquastat","COM"
"COG","Congo","SDG 6.4.2. Water Stress (%)",0.0274463,"FAO Aquastat","COG"
"CRI","Costa Rica","SDG 6.4.2. Water Stress (%)",5.35167235,"FAO Aquastat","CRI"
"CIV","Côte d'Ivoire","SDG 6.4.2. Water Stress (%)",5.08756567,"FAO Aquastat","CIV"
"HRV","Croatia","SDG 6.4.2. Water Stress (%)",1.47843486,"FAO Aquastat","HRV"
"CUB","Cuba","SDG 6.4.2. Water Stress (%)",23.9394461,"FAO Aquastat","CUB"
"CYP","Cyprus","SDG 6.4.2. Water Stress (%)",37.5888464,"FAO Aquastat","CYP"
"CZE","Czechia","SDG 6.4.2. Water Stress (%)",20.7725061,"FAO Aquastat","CZE"
"PRK","Democratic People's Republic of Korea","SDG 6.4.2. Water Stress (%)",27.7404678,"FAO Aquastat","PRK"
"COD","Democratic Republic of the Congo","SDG 6.4.2. Water Stress (%)",0.2268835,"FAO Aquastat","NOT_FOUND"
"DNK","Denmark","SDG 6.4.2. Water Stress (%)",26.4042726,"FAO Aquastat","DNK"
"DJI","Djibouti","SDG 6.4.2. Water Stress (%)",6.33333333,"FAO Aquastat","DJI"
"DMA","Dominica","SDG 6.4.2. Water Stress (%)",10,"FAO Aquastat","DMA"
