"iso","country","variable","value","source"
"COG","Congo","SDG 6.4.2. Water Stress (%)",0.0274463,"FAO Aquastat"
"PNG","Papua New Guinea","SDG 6.4.2. Water Stress (%)",0.13224283,"FAO Aquastat"
"GNQ","Equatorial Guinea","SDG 6.4.2. Water Stress (%)",0.18350324,"FAO Aquastat"
"COD","Democratic Republic of the Congo","SDG 6.4.2. Water Stress (%)",0.2268835,"FAO Aquastat"
"LBR","Liberia","SDG 6.4.2. Water Stress (%)",0.26431159,"FAO Aquastat"
"FJI","Fiji","SDG 6.4.2. Water Stress (%)",0.29737303,"FAO Aquastat"
"CAF","Central African Republic","SDG 6.4.2. Water Stress (%)",0.33564815,"FAO Aquastat"
"ISL","Iceland","SDG 6.4.2. Water Stress (%)",0.39407528,"FAO Aquastat"
"SLE","Sierra Leone","SDG 6.4.2. Water Stress (%)",0.49579439,"FAO Aquastat"
"GAB","Gabon","SDG 6.4.2. Water Stress (%)",0.50216607,"FAO Aquastat"
"COM","Comoros","SDG 6.4.2. Water Stress (%)",0.83333333,"FAO Aquastat"
"NAM","Namibia","SDG 6.4.2. Water Stress (%)",0.86155257,"FAO Aquastat"
"PAN","Panama","SDG 6.4.2. Water Stress (%)",0.90107111,"FAO Aquastat"
"BEN","Benin","SDG 6.4.2. Water Stress (%)",0.97524381,"FAO Aquastat"
"KHM","Cambodia","SDG 6.4.2. Water Stress (%)",1.03654485,"FAO Aquastat"
"LVA","Latvia","SDG 6.4.2. Water Stress (%)",1.06783147,"FAO Aquastat"
"BOL","Bolivia (Plurinational State of)","SDG 6.4.2. Water Stress (%)",1.17700113,"FAO Aquastat"
"BLZ","Belize","SDG 6.4.2. Water Stress (%)",1.26029448,"FAO Aquastat"
"GIN","Guinea","SDG 6.4.2. Water Stress (%)",1.36923077,"FAO Aquastat"
"BTN","Bhutan","SDG 6.4.2. Water Stress (%)",1.41380753,"FAO Aquastat"
"HRV","Croatia","SDG 6.4.2. Water Stress (%)",1.47843486,"FAO Aquastat"
"BRA","Brazil","SDG 6.4.2. Water Stress (%)",1.47930427,"FAO Aquastat"
"GNB","Guinea-Bissau","SDG 6.4.2. Water Stress (%)",1.4957265,"FAO Aquastat"
"CMR","Cameroon","SDG 6.4.2. Water Stress (%)",1.56043011,"FAO Aquastat"
"MOZ","Mozambique","SDG 6.4.2. Water Stress (%)",1.75148633,"FAO Aquastat"
"LTU","Lithuania","SDG 6.4.2. Water Stress (%)",1.83410238,"FAO Aquastat"
"PRY","Paraguay","SDG 6.4.2. Water Stress (%)",1.83539971,"FAO Aquastat"
"AGO","Angola","SDG 6.4.2. Water Stress (%)",1.87188329,"FAO Aquastat"
"STP","Sao Tome and Principe","SDG 6.4.2. Water Stress (%)",1.87614679,"FAO Aquastat"
