"year","month","elevation_ft","elevation_m","pct_of_full_capacity","month_nr"
1937,"Aug",1099.6,335.15808,46.6590842,8
1937,"Dec",1095.75,333.9846,45.3014931,12
1937,"Jul",1102.8,336.13344,47.8441149,7
1937,"Jun",1096.6,334.24368,45.5792218,6
1937,"May",1078.7,328.78776,39.4412582,5
1937,"Nov",1096,334.0608,45.3833774,11
1937,"Oct",1096.7,334.27416,45.6468502,10
1937,"Sep",1097.6,334.54848,45.9804835,9
1938,"Apr",1109.2,338.08416,50.2365818,4
1938,"Aug",1171.95,357.21036,77.0994355,8
1938,"Dec",1168.65,356.20452,75.5197377,12
1938,"Feb",1094.85,333.71028,44.9739124,2
1938,"Jan",1095,333.756,45.0344564,1
1938,"Jul",1173.5,357.6828,77.8755073,7
1938,"Jun",1165.6,355.27488,74.0612442,6
1938,"Mar",1100.2,335.34096,46.8300153,3
1938,"May",1134.4,345.76512,60.2017815,5
1938,"Nov",1168.7,356.21976,75.524528,11
1938,"Oct",1171.45,357.05796,76.8611937,10
1938,"Sep",1173.8,357.77424,78.0236335,9
1939,"Apr",1162.9,354.45192,72.8033896,4
1939,"Aug",1177.35,358.85628,79.7685127,8
1939,"Dec",1169.95,356.60076,76.1227286,12
1939,"Feb",1157.4,352.77552,70.263377,2
1939,"Jan",1165.4,355.21392,73.9623729,1
1939,"Jul",1181.3,360.06024,81.7671332,7
1939,"Jun",1183.45,360.71556,82.8845561,6
1939,"Mar",1158.2,353.01936,70.4866114,3
1939,"May",1176.2,358.50576,79.1948407,5
1939,"Nov",1173.05,357.54564,77.6483444,11
1939,"Oct",1176.1,358.47528,79.1550463,10
1939,"Sep",1178.95,359.34396,80.5695524,9
1940,"Apr",1164.85,355.04628,73.7080666,4
1940,"Aug",1176.1,358.47528,79.1351188,8
1940,"Dec",1168.05,356.02164,75.2278228,12
1940,"Feb",1166,355.3968,74.2591211,2
1940,"Jan",1166.9,355.67112,74.6721356,1
1940,"Jul",1179.8,359.60304,81.0041545,7
1940,"Jun",1182.15,360.31932,82.2056021,6
1940,"Mar",1164.65,354.98532,73.6233362,3
1940,"May",1175.35,358.24668,78.7792758,5
1940,"Nov",1170.8,356.85984,76.0653037,11
1940,"Oct",1173.75,357.759,77.9890888,10
1940,"Sep",1174.45,357.97236,78.2755143,9
1941,"Apr",1175.85,358.39908,81.6998469,4
1941,"Aug",1216.5,370.7892,104.019908,8
1941,"Dec",1195.8,364.47984,92.2281776,12
1941,"Feb",1167.55,355.86924,77.5267994,2
1941,"Jan",1167.1,355.73208,77.3353752,1
1941,"Jul",1220.4,371.97792,106.355283,7
1941,"Jun",1215.55,370.49964,103.445636,6
1941,"Mar",1170.35,356.72268,78.9433384,3
1941,"May",1201.25,366.141,95.2143951,5
1941,"Nov",1205.6,367.46688,97.6646248,11
1941,"Oct",1211.25,369.189,100.918836,10
1941,"Sep",1209.85,368.76228,100.114855,9
1942,"Apr",1182.9,360.54792,85.2986217,4
1942,"Aug",1210.4,368.92992,112.70291,8
1942,"Dec",1188.4,362.22432,100.543645,12
1942,"Feb",1176.75,358.6734,82.1592649,2
1942,"Jan",1184.8,361.12704,86.2940276,1
1942,"Jul",1213.2,369.78336,114.345329,7
1942,"Jun",1213.15,369.76812,114.188361,6
1942,"Mar",1171.25,356.997,79.3644717,3
1942,"May",1195.5,364.3884,92.0367534,5
1942,"Nov",1194.05,363.94644,103.529862,11
1942,"Oct",1199.25,365.5314,106.378254,10
1942,"Sep",1205,367.284,109.624809,9
1943,"Apr",1180.6,359.84688,96.3973966,4
1943,"Aug",1199.65,365.65332,106.600306,8
1943,"Dec",1178.35,359.16108,95.2258806,12
1943,"Feb",1179.6,359.54208,95.8805513,2
1943,"Jan",1182.45,360.41076,97.6225115,1
1943,"Jul",1201.55,366.23244,107.67611,7
1943,"Jun",1199.4,365.57712,106.477795,6
1943,"Mar",1177,358.7496,94.5597243,3
1943,"May",1188.75,362.331,100.689127,5
1943,"Nov",1184.5,361.0356,98.4264931,11
1943,"Oct",1189.9,362.68152,101.290199,10
1943,"Sep",1195.7,364.44936,104.433384,9
1944,"Apr",1158.1,352.98888,85.2526799,4
