"MapDate","RiverForecastCenterName","None","D0","D1","D2","D3","D4","ValidStart","ValidEnd","StatisticFormatID"
20000104,"Colorado Basin",73.2,26.8,0,0,0,0,"1/4/2000","1/10/2000",1
20000111,"Colorado Basin",34.23,65.77,0,0,0,0,"1/11/2000","1/17/2000",1
20000118,"Colorado Basin",24.98,75.02,0,0,0,0,"1/18/2000","1/24/2000",1
20000125,"Colorado Basin",25.57,74.43,0,0,0,0,"1/25/2000","1/31/2000",1
20000201,"Colorado Basin",26.87,73.13,0,0,0,0,"2/1/2000","2/7/2000",1
20000208,"Colorado Basin",32.55,67.45,0,0,0,0,"2/8/2000","2/14/2000",1
20000215,"Colorado Basin",38.17,61.83,14.89,0,0,0,"2/15/2000","2/21/2000",1
20000222,"Colorado Basin",49.48,50.52,14.89,0,0,0,"2/22/2000","2/28/2000",1
20000229,"Colorado Basin",55.8,44.2,15.33,0,0,0,"2/29/2000","3/6/2000",1
20000307,"Colorado Basin",60.8,39.2,14.26,0,0,0,"3/7/2000","3/13/2000",1
20000314,"Colorado Basin",77.73,22.27,4.99,0,0,0,"3/14/2000","3/20/2000",1
20000321,"Colorado Basin",77.84,22.16,5.13,0,0,0,"3/21/2000","3/27/2000",1
20000328,"Colorado Basin",80.41,19.59,4.22,0,0,0,"3/28/2000","4/3/2000",1
20000404,"Colorado Basin",81.4,18.6,7.24,0,0,0,"4/4/2000","4/10/2000",1
20000411,"Colorado Basin",81.28,18.72,7.49,0,0,0,"4/11/2000","4/17/2000",1
20000418,"Colorado Basin",79.29,20.71,6.31,0,0,0,"4/18/2000","4/24/2000",1
20000425,"Colorado Basin",80.73,19.27,6.31,0,0,0,"4/25/2000","5/1/2000",1
20000502,"Colorado Basin",76.52,23.48,10.63,0,0,0,"5/2/2000","5/8/2000",1
20000509,"Colorado Basin",75.8,24.2,11.83,0,0,0,"5/9/2000","5/15/2000",1
20000516,"Colorado Basin",62.92,37.08,17.4,5.76,0,0,"5/16/2000","5/22/2000",1
20000523,"Colorado Basin",63.24,36.76,17.39,5.76,0,0,"5/23/2000","5/29/2000",1
20000530,"Colorado Basin",63.46,36.54,20.07,5.72,0,0,"5/30/2000","6/5/2000",1
20000606,"Colorado Basin",47.04,52.96,23.34,5.72,0,0,"6/6/2000","6/12/2000",1
20000613,"Colorado Basin",29.59,70.41,24.22,5.72,0,0,"6/13/2000","6/19/2000",1
20000620,"Colorado Basin",15.93,84.07,24.22,5.69,0,0,"6/20/2000","6/26/2000",1
20000627,"Colorado Basin",12,88,25.06,6.25,0,0,"6/27/2000","7/3/2000",1
20000704,"Colorado Basin",25.12,74.88,9.72,0,0,0,"7/4/2000","7/10/2000",1
20000711,"Colorado Basin",25.08,74.92,19.09,0,0,0,"7/11/2000","7/17/2000",1
20000718,"Colorado Basin",8.4,91.6,17.39,0,0,0,"7/18/2000","7/24/2000",1
20000725,"Colorado Basin",3.48,96.52,20.54,0,0,0,"7/25/2000","7/31/2000",1
20000801,"Colorado Basin",3.48,96.52,25.14,0,0,0,"8/1/2000","8/7/2000",1
20000808,"Colorado Basin",0.15,99.85,33.6,0,0,0,"8/8/2000","8/14/2000",1
20000815,"Colorado Basin",9.82,90.18,54.19,6.43,0,0,"8/15/2000","8/21/2000",1
20000822,"Colorado Basin",13.16,86.84,55.93,6.27,0,0,"8/22/2000","8/28/2000",1
20000829,"Colorado Basin",13.49,86.51,53.72,6.75,0,0,"8/29/2000","9/4/2000",1
20000905,"Colorado Basin",16.85,83.15,36.06,3.58,0,0,"9/5/2000","9/11/2000",1
20000912,"Colorado Basin",16.85,83.15,36.04,3.58,0,0,"9/12/2000","9/18/2000",1
20000919,"Colorado Basin",16.85,83.15,36.04,3.58,0,0,"9/19/2000","9/25/2000",1
20000926,"Colorado Basin",11.98,88.02,38.88,1.86,0,0,"9/26/2000","10/2/2000",1
20001003,"Colorado Basin",4.33,95.67,49.46,1.86,0,0,"10/3/2000","10/9/2000",1
20001010,"Colorado Basin",4.28,95.72,49.44,3.42,0,0,"10/10/2000","10/16/2000",1
20001017,"Colorado Basin",18.11,81.89,22.05,1.35,0,0,"10/17/2000","10/23/2000",1
20001024,"Colorado Basin",25.35,74.65,26.29,0,0,0,"10/24/2000","10/30/2000",1
20001031,"Colorado Basin",57.89,42.11,5.59,0,0,0,"10/31/2000","11/6/2000",1
20001107,"Colorado Basin",74.62,25.38,0,0,0,0,"11/7/2000","11/13/2000",1
20001114,"Colorado Basin",82.42,17.58,0,0,0,0,"11/14/2000","11/20/2000",1
20001121,"Colorado Basin",83.27,16.73,0,0,0,0,"11/21/2000","11/27/2000",1
20001128,"Colorado Basin",83.27,16.73,0,0,0,0,"11/28/2000","12/4/2000",1
20001205,"Colorado Basin",88.07,11.93,0,0,0,0,"12/5/2000","12/11/2000",1
20001212,"Colorado Basin",89.8,10.2,0,0,0,0,"12/12/2000","12/18/2000",1
20001219,"Colorado Basin",94.62,5.38,0,0,0,0,"12/19/2000","12/25/2000",1
20001226,"Colorado Basin",95.57,4.43,0,0,0,0,"12/26/2000","1/1/2001",1
20010102,"Colorado Basin",95.57,4.43,0,0,0,0,"1/2/2001","1/8/2001",1
20010109,"Colorado Basin",96.13,3.87,0,0,0,0,"1/9/2001","1/15/2001",1
20010116,"Colorado Basin",100,0,0,0,0,0,"1/16/2001","1/22/2001",1
20010123,"Colorado Basin",94.78,5.22,0,0,0,0,"1/23/2001","1/29/2001",1
20010130,"Colorado Basin",94.96,5.04,0,0,0,0,"1/30/2001","2/5/2001",1
20010206,"Colorado Basin",94.94,5.06,0,0,0,0,"2/6/2001","2/12/2001",1
20010213,"Colorado Basin",94.49,5.51,0.92,0,0,0,"2/13/2001","2/19/2001",1
20010220,"Colorado Basin",94.61,5.39,0.93,0,0,0,"2/20/2001","2/26/2001",1
20010227,"Colorado Basin",93.09,6.91,1.06,0,0,0,"2/27/2001","3/5/2001",1
20010306,"Colorado Basin",93.09,6.91,1.06,0,0,0,"3/6/2001","3/12/2001",1
20010313,"Colorado Basin",90.85,9.15,1.06,0,0,0,"3/13/2001","3/19/2001",1
20010320,"Colorado Basin",86.29,13.71,1.74,0,0,0,"3/20/2001","3/26/2001",1
20010327,"Colorado Basin",86.29,13.71,1.74,0,0,0,"3/27/2001","4/2/2001",1
20010403,"Colorado Basin",83.42,16.58,3.65,0,0,0,"4/3/2001","4/9/2001",1
20010410,"Colorado Basin",85.48,14.52,3.86,0,0,0,"4/10/2001","4/16/2001",1
20010417,"Colorado Basin",85.44,14.56,3.86,0,0,0,"4/17/2001","4/23/2001",1
20010424,"Colorado Basin",85.42,14.58,3.86,0,0,0,"4/24/2001","4/30/2001",1
20010501,"Colorado Basin",86.66,13.34,3.86,0,0,0,"5/1/2001","5/7/2001",1
20010508,"Colorado Basin",86.66,13.34,3.86,0,0,0,"5/8/2001","5/14/2001",1
20010515,"Colorado Basin",86.66,13.34,4.03,1.04,0,0,"5/15/2001","5/21/2001",1
20010522,"Colorado Basin",86.66,13.34,4.03,1.04,0,0,"5/22/2001","5/28/2001",1
20010529,"Colorado Basin",86.66,13.34,4.03,1.04,0,0,"5/29/2001","6/4/2001",1
20010605,"Colorado Basin",84.04,15.96,6.52,1.04,0,0,"6/5/2001","6/11/2001",1
20010612,"Colorado Basin",69.38,30.62,11.67,1.04,0,0,"6/12/2001","6/18/2001",1
20010619,"Colorado Basin",40.45,59.55,7.52,1,0,0,"6/19/2001","6/25/2001",1
20010626,"Colorado Basin",38.79,61.21,15.8,7.25,0,0,"6/26/2001","7/2/2001",1
20010703,"Colorado Basin",35.11,64.89,16.06,11.49,0.06,0,"7/3/2001","7/9/2001",1
20010710,"Colorado Basin",73.19,26.81,16.06,9.54,0,0,"7/10/2001","7/16/2001",1
20010717,"Colorado Basin",73.17,26.83,16.38,10.1,1.35,0,"7/17/2001","7/23/2001",1
20010724,"Colorado Basin",73.34,26.66,16.38,10.1,1.35,0,"7/24/2001","7/30/2001",1
20010731,"Colorado Basin",73.34,26.66,16.39,10.14,4.19,0,"7/31/2001","8/6/2001",1
20010807,"Colorado Basin",73.34,26.66,16.39,10.14,4.12,0,"8/7/2001","8/13/2001",1
20010814,"Colorado Basin",71.46,28.54,16.39,10.14,3.79,0,"8/14/2001","8/20/2001",1
20010821,"Colorado Basin",72.04,27.96,16.54,7.5,4.36,0,"8/21/2001","8/27/2001",1
20010828,"Colorado Basin",71.91,28.09,16.38,8.17,4.94,0,"8/28/2001","9/3/2001",1
20010904,"Colorado Basin",71.91,28.09,16.38,8.17,4.94,0,"9/4/2001","9/10/2001",1
20010911,"Colorado Basin",62.77,37.23,19.46,8.17,5.26,0,"9/11/2001","9/17/2001",1
20010918,"Colorado Basin",62.72,37.28,19.46,8.17,5.26,0,"9/18/2001","9/24/2001",1
20010925,"Colorado Basin",62.72,37.28,19.46,8.17,5.26,0,"9/25/2001","10/1/2001",1
20011002,"Colorado Basin",62.72,37.28,19.46,8.17,5.03,0,"10/2/2001","10/8/2001",1
20011009,"Colorado Basin",62.72,37.28,19.46,8.17,5.03,0,"10/9/2001","10/15/2001",1
20011016,"Colorado Basin",63.07,36.93,19.46,8.17,5.03,0,"10/16/2001","10/22/2001",1
20011023,"Colorado Basin",63.17,36.83,19.46,8.17,5.03,0,"10/23/2001","10/29/2001",1
20011030,"Colorado Basin",56.84,43.16,19.46,7.96,5.03,0,"10/30/2001","11/5/2001",1
20011106,"Colorado Basin",49.92,50.08,19.46,7.96,5.03,0,"11/6/2001","11/12/2001",1
20011113,"Colorado Basin",49.92,50.08,19.46,7.96,5.03,0,"11/13/2001","11/19/2001",1
20011120,"Colorado Basin",50.85,49.15,19.46,8.1,5.03,0,"11/20/2001","11/26/2001",1
20011127,"Colorado Basin",52.1,47.9,14.68,8.1,5.03,0,"11/27/2001","12/3/2001",1
20011204,"Colorado Basin",52.66,47.34,14.68,6.62,3.07,0,"12/4/2001","12/10/2001",1
20011211,"Colorado Basin",52.66,47.34,14.68,4.97,2.46,0,"12/11/2001","12/17/2001",1
20011218,"Colorado Basin",52.66,47.34,14.68,4.97,2.45,0,"12/18/2001","12/24/2001",1
20011225,"Colorado Basin",52.65,47.35,14.68,4.97,2.16,0,"12/25/2001","12/31/2001",1
20020101,"Colorado Basin",51.18,48.82,14.35,4.73,2.21,0,"1/1/2002","1/7/2002",1
20020108,"Colorado Basin",47.71,52.29,14.32,4.48,2.1,0,"1/8/2002","1/14/2002",1
20020115,"Colorado Basin",27.86,72.14,11.92,4.25,2.06,0,"1/15/2002","1/21/2002",1
20020122,"Colorado Basin",24.13,75.87,11.94,4.28,2,0,"1/22/2002","1/28/2002",1
20020129,"Colorado Basin",24.15,75.85,11.76,4.02,1.16,0,"1/29/2002","2/4/2002",1
20020205,"Colorado Basin",20.01,79.99,21.84,4.35,1.16,0,"2/5/2002","2/11/2002",1
20020212,"Colorado Basin",4.89,95.11,34.98,4.44,1.25,0,"2/12/2002","2/18/2002",1
20020219,"Colorado Basin",5.23,94.77,47.48,4.31,1.21,0,"2/19/2002","2/25/2002",1
20020226,"Colorado Basin",0,100,47.72,5.23,1.17,0,"2/26/2002","3/4/2002",1
20020305,"Colorado Basin",0,100,47.53,4.93,1.15,0,"3/5/2002","3/11/2002",1
20020312,"Colorado Basin",0,100,84.64,19.33,1.2,0,"3/12/2002","3/18/2002",1
20020319,"Colorado Basin",0,100,82.07,20.59,0.98,0,"3/19/2002","3/25/2002",1
20020326,"Colorado Basin",0,100,83.21,39.16,0.02,0,"3/26/2002","4/1/2002",1
20020402,"Colorado Basin",0,100,85.41,53.25,0.03,0,"4/2/2002","4/8/2002",1
20020409,"Colorado Basin",0,100,85.66,56.72,0.09,0,"4/9/2002","4/15/2002",1
20020416,"Colorado Basin",0,100,90.56,66.66,2.82,0,"4/16/2002","4/22/2002",1
20020423,"Colorado Basin",0,100,95.1,81.81,13.88,0,"4/23/2002","4/29/2002",1
20020430,"Colorado Basin",0,100,95.45,89.88,29.77,0,"4/30/2002","5/6/2002",1
20020507,"Colorado Basin",0,100,95.45,89.89,30.26,0,"5/7/2002","5/13/2002",1
20020514,"Colorado Basin",0,100,95.48,89.65,59.92,0,"5/14/2002","5/20/2002",1
20020521,"Colorado Basin",0,100,95.35,89.58,60.04,0,"5/21/2002","5/27/2002",1
20020528,"Colorado Basin",0,100,95.58,89.81,64.08,15.12,"5/28/2002","6/3/2002",1
20020604,"Colorado Basin",0,100,97.9,89.52,63.76,14.95,"6/4/2002","6/10/2002",1
20020611,"Colorado Basin",0,100,97.95,89.9,66.62,15.19,"6/11/2002","6/17/2002",1
20020618,"Colorado Basin",0,100,99.82,90.08,68.85,17.46,"6/18/2002","6/24/2002",1
20020625,"Colorado Basin",0,100,99.9,92.6,77.18,24.3,"6/25/2002","7/1/2002",1
20020702,"Colorado Basin",0,100,99.99,93.45,80.27,39.11,"7/2/2002","7/8/2002",1
20020709,"Colorado Basin",0,100,100,93.6,81.72,39.53,"7/9/2002","7/15/2002",1
