"time","time_name","series","series_name","value","region","region_name"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"EAS","East Asia & Pacific"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"EAS","East Asia & Pacific"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"EAS","East Asia & Pacific"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"EAS","East Asia & Pacific"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"ECS","Europe & Central Asia"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"ECS","Europe & Central Asia"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"ECS","Europe & Central Asia"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"ECS","Europe & Central Asia"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"LCN","Latin America & Caribbean"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"LCN","Latin America & Caribbean"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"LCN","Latin America & Caribbean"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"LCN","Latin America & Caribbean"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"MEA","Middle East & North Africa"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"MEA","Middle East & North Africa"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"MEA","Middle East & North Africa"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"MEA","Middle East & North Africa"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"NAC","North America"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"NAC","North America"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"NAC","North America"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"NAC","North America"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"SAS","South Asia"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"SAS","South Asia"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"SAS","South Asia"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"SAS","South Asia"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"SSF","Sub-Saharan Africa"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"SSF","Sub-Saharan Africa"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"SSF","Sub-Saharan Africa"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"SSF","Sub-Saharan Africa"
"YR2017",2017,"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"WLD","World"
"YR2017",2017,"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,"WLD","World"
"YR2017",2017,"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,"WLD","World"
"YR2017",2017,"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)",,"WLD","World"
