"iso3c","year","access","emissions_percap"
"EAS",2000,92.22,1.34
"EAS",2001,92.72,1.39
"EAS",2002,93.2,1.49
"EAS",2003,93.39,1.66
"EAS",2004,94.21,1.76
"EAS",2005,93.84,1.85
"EAS",2006,94.85,2.01
"EAS",2007,94.92,2.17
"EAS",2008,95.35,2.18
"EAS",2009,95.17,2.27
"EAS",2010,95.54,2.47
"EAS",2011,96.14,2.73
"EAS",2012,96.4,2.79
"EAS",2013,96.6,2.9
"EAS",2014,96.73,2.86
"EAS",2015,97.1,2.8
"EAS",2016,97.2,2.85
"EAS",2017,97.85,2.98
"EAS",2018,97.87,3.13
"EAS",2019,98.06,3.22
"ECS",2000,99.95,3.48
"ECS",2001,99.95,3.49
"ECS",2002,99.96,3.53
"ECS",2003,99.97,3.65
"ECS",2004,99.96,3.6
"ECS",2005,99.95,3.61
"ECS",2006,99.95,3.72
"ECS",2007,99.95,3.71
"ECS",2008,99.96,3.61
"ECS",2009,99.96,3.31
"ECS",2010,99.97,3.45
"ECS",2011,99.97,3.51
"ECS",2012,99.98,3.49
"ECS",2013,99.98,3.34
"ECS",2014,99.98,3.1
"ECS",2015,99.26,3.02
"ECS",2016,99.97,2.95
"ECS",2017,99.99,2.94
"ECS",2018,99.99,2.89
"ECS",2019,99.99,2.74
"LCN",2000,91.74,0.77
"LCN",2001,92.35,0.78
"LCN",2002,92.66,0.78
"LCN",2003,92.75,0.8
"LCN",2004,93.23,0.82
"LCN",2005,93.57,0.84
"LCN",2006,94.28,0.84
"LCN",2007,94.5,0.85
"LCN",2008,95.24,0.87
"LCN",2009,95.38,0.87
"LCN",2010,95.86,0.89
"LCN",2011,96.18,0.89
"LCN",2012,96.56,0.95
"LCN",2013,96.84,0.97
"LCN",2014,97.03,0.98
"LCN",2015,97.28,0.99
"LCN",2016,97.48,0.94
"LCN",2017,97.74,0.9
"LCN",2018,97.8,0.85
"LCN",2019,98.09,0.83
"MEA",2000,92.52,1.63
"MEA",2001,92.73,1.72
"MEA",2002,92.65,1.77
"MEA",2003,93.48,1.82
"MEA",2004,93.41,1.92
"MEA",2005,94.04,2
"MEA",2006,95.95,2.06
"MEA",2007,94.23,2.04
"MEA",2008,94.81,2.18
"MEA",2009,94.91,2.19
"MEA",2010,95.74,2.25
"MEA",2011,95.8,2.27
"MEA",2012,95.38,2.39
"MEA",2013,97.08,2.38
"MEA",2014,96.07,2.42
"MEA",2015,96.52,2.44
"MEA",2016,96.83,2.41
"MEA",2017,97.69,2.46
"MEA",2018,96.28,2.39
"MEA",2019,97.23,2.39
"NAC",2000,100,9.6
"NAC",2001,100,9.56
"NAC",2002,100,9.05
"NAC",2003,100,9.09
"NAC",2004,100,9.07
"NAC",2005,100,9.2
"NAC",2006,100,8.9
"NAC",2007,100,9.07
"NAC",2008,100,8.73
"NAC",2009,100,7.94
"NAC",2010,100,8.24
"NAC",2011,100,7.83
"NAC",2012,100,7.4
"NAC",2013,100,7.41
"NAC",2014,100,7.36
"NAC",2015,100,6.9
"NAC",2016,100,6.59
"NAC",2017,100,6.32
"NAC",2018,100,6.36
"NAC",2019,100,5.95
"SAS",2000,56.24,0.39
"SAS",2001,54.17,0.39
"SAS",2002,59.85,0.39
"SAS",2003,61.49,0.4
"SAS",2004,61.82,0.43
"SAS",2005,64.81,0.43
"SAS",2006,65.86,0.46
"SAS",2007,68.03,0.49
"SAS",2008,70.33,0.5
"SAS",2009,72.36,0.54
"SAS",2010,73.19,0.55
"SAS",2011,67.05,0.56
"SAS",2012,77.49,0.64
"SAS",2013,78.71,0.64
"SAS",2014,80.76,0.7
"SAS",2015,84.61,0.68
"SAS",2016,86.3,0.68
"SAS",2017,89.4,0.71
"SAS",2018,92.71,0.75
"SAS",2019,94.04,0.73
"SSF",2000,25.57,0.34
"SSF",2001,26.08,0.39
"SSF",2002,27.27,0.39
"SSF",2003,29.5,0.39
"SSF",2004,29.34,0.41
"SSF",2005,29.29,0.39
"SSF",2006,30.8,0.38
"SSF",2007,32.42,0.39
"SSF",2008,32.31,0.41
"SSF",2009,32.49,0.36
"SSF",2010,33.3,0.41
"SSF",2011,35.88,0.39
"SSF",2012,36.82,0.39
"SSF",2013,37.95,0.38
"SSF",2014,38.29,0.39
"SSF",2015,39.07,0.37
"SSF",2016,43.75,0.37
"SSF",2017,43.73,0.35
"SSF",2018,46.37,0.34
"SSF",2019,47.1,0.34
"WLD",2000,78.22,1.73
"WLD",2001,77.87,1.75
"WLD",2002,79.34,1.76
"WLD",2003,79.93,1.84
"WLD",2004,80.15,1.87
"WLD",2005,80.65,1.91
"WLD",2006,81.36,1.96
"WLD",2007,81.85,2.02
"WLD",2008,82.48,2
"WLD",2009,82.85,1.95
"WLD",2010,83.22,2.05
"WLD",2011,82.17,2.12
"WLD",2012,84.74,2.13
"WLD",2013,85.24,2.14
"WLD",2014,85.65,2.11
"WLD",2015,86.62,2.05
"WLD",2016,87.7,2.03
"WLD",2017,88.59,2.05
"WLD",2018,89.57,2.09
"WLD",2019,90.01,2.06
