"iso3c","date","pop_without_urb","pop_without_rur"
"EAS",2000,12006217,141167303
"EAS",2001,12837883,136185894
"EAS",2002,12774682,127990621
"EAS",2003,10373525,127433095
"EAS",2004,12632627,109046000
"EAS",2005,12416865,117919198
"EAS",2006,11721086,98210800
"EAS",2007,9852454,98910870
"EAS",2008,9371337,91224016
"EAS",2009,18532742,87083317
"EAS",2010,17255486,80786944
"EAS",2011,16709155,68776893
"EAS",2012,16571712,63896079
"EAS",2013,15935870,60538344
"EAS",2014,15517188,58690325
"EAS",2015,14500532,51762419
"EAS",2016,13690681,50772224
"EAS",2017,13260835,36466375
"EAS",2018,12765246,36824289
"EAS",2019,12364537,33187395
"EAS",2020,12353244,34439389
"LCN",2000,6175759,36847282
"LCN",2001,7306537,33085885
"LCN",2002,6859765,32472165
"LCN",2003,7538127,31813454
"LCN",2004,6553337,30627867
"LCN",2005,6537995,29266893
"LCN",2006,5711162,26524810
"LCN",2007,5379743,25962869
"LCN",2008,4379144,23097147
"LCN",2009,4486136,22435627
"LCN",2010,3799418,20641033
"LCN",2011,3495391,19282372
"LCN",2012,3165215,17564469
"LCN",2013,2878168,16337309
"LCN",2014,2978022,15311683
"LCN",2015,3167844,13717616
"LCN",2016,2661079,8392500
"LCN",2017,2422485,11965765
"LCN",2018,2496176,11580083
"LCN",2019,2075562,10245453
"LCN",2020,1760742,7918313
"MEA",2000,1313399,22293733
"MEA",2001,2275506,21100718
"MEA",2002,2289134,21777528
"MEA",2003,2201049,19550587
"MEA",2004,2157543,20268833
"MEA",2005,2208956,18464389
"MEA",2006,1189965,13157629
"MEA",2007,2166285,18708902
"MEA",2008,1712201,17498167
"MEA",2009,1820178,17424896
"MEA",2010,1145484,15276630
"MEA",2011,996233,15558141
"MEA",2012,1185357,16153664
"MEA",2013,767652,9826448
"MEA",2014,1692686,13246444
"MEA",2015,1470942,11736906
"MEA",2016,1112217,10877050
"MEA",2017,752602,7169509
"MEA",2018,447872,3681871
"MEA",2019,1034074,9568759
"MEA",2020,1030859,9248070
"RESTOFWORLD",2000,68385,366588
"RESTOFWORLD",2001,67249,315875
"RESTOFWORLD",2002,56173,201066
"RESTOFWORLD",2003,64378,182165
"RESTOFWORLD",2004,322340,248766
"RESTOFWORLD",2005,363691,237941
"RESTOFWORLD",2006,374562,292912
"RESTOFWORLD",2007,304513,213771
"RESTOFWORLD",2008,251250,198178
"RESTOFWORLD",2009,198597,155611
"RESTOFWORLD",2010,41279,154286
"RESTOFWORLD",2011,47957,221538
"RESTOFWORLD",2012,40131,89127
"RESTOFWORLD",2013,49951,129109
"RESTOFWORLD",2014,31594,86418
"RESTOFWORLD",2015,5294906,184646
"RESTOFWORLD",2016,84128,61633
"RESTOFWORLD",2017,23471,48327
"RESTOFWORLD",2018,28742,45039
"RESTOFWORLD",2019,36449,15708
"RESTOFWORLD",2020,48132,0
"SAS",2000,43645609,554756164
"SAS",2001,49401003,590115632
"SAS",2002,43388679,525436981
"SAS",2003,42502446,512986263
"SAS",2004,42878575,527497393
"SAS",2005,40091563,494350150
"SAS",2006,36641831,490366386
"SAS",2007,37342870,463970890
"SAS",2008,34163560,438210580
"SAS",2009,24000937,422505831
"SAS",2010,30758580,408610816
"SAS",2011,35334090,512080639
"SAS",2012,22253048,356767257
"SAS",2013,22866375,340220784
"SAS",2014,18639926,313759184
"SAS",2015,15924987,253327982
"SAS",2016,12203071,230465058
"SAS",2017,6413387,183633413
"SAS",2018,6617408,125601596
"SAS",2019,2684574,105803806
"SAS",2020,1781593,76499194
"SSF",2000,80007957,402996423
"SSF",2001,82936608,400646958
"SSF",2002,83594843,403645537
"SSF",2003,84656516,414578880
"SSF",2004,87066831,428811207
"SSF",2005,88284966,437924269
"SSF",2006,90244217,438723371
"SSF",2007,88383763,448968585
"SSF",2008,95734536,452207107
"SSF",2009,96251294,453395226
"SSF",2010,98898734,461903357
"SSF",2011,90232067,460694332
"SSF",2012,93683429,464738556
"SSF",2013,97026332,467974652
"SSF",2014,101508818,482566545
"SSF",2015,106380513,497269444
"SSF",2016,100163892,463425805
"SSF",2017,111092013,476197818
"SSF",2018,113360487,470111606
"SSF",2019,108636010,464657083
"SSF",2020,101748550,475948720
