"iso3c","date","value"
"ABW",2000,91.7
"ABW",2002,100
"ABW",2004,100
"ABW",2006,100
"ABW",2008,100
"ABW",2010,93.4
"ABW",2012,100
"ABW",2014,100
"ABW",2016,100
"ABW",2018,100
"ABW",2020,100
"AFG",2000,1.6
"AFG",2002,9.4
"AFG",2004,20.1
"AFG",2006,30.7
"AFG",2008,42.4
"AFG",2010,42.7
"AFG",2012,69.1
"AFG",2014,89.5
"AFG",2016,97.7
"AFG",2018,96.6
"AFG",2020,97.7
"AGO",2000,24.2
"AGO",2002,26.4
"AGO",2004,28.5
"AGO",2006,30.6
"AGO",2008,38.5
"AGO",2010,34.9
"AGO",2012,37.1
"AGO",2014,32
"AGO",2016,41.8
"AGO",2018,45.3
"AGO",2020,46.9
"ALB",2000,100
"ALB",2002,100
"ALB",2004,100
"ALB",2006,100
"ALB",2008,100
"ALB",2010,100
"ALB",2012,99.9
"ALB",2014,99.9
"ALB",2016,99.9
"ALB",2018,100
"ALB",2020,100
"AND",2000,100
"AND",2002,100
"AND",2004,100
"AND",2006,100
"AND",2008,100
"AND",2010,100
"AND",2012,100
"AND",2014,100
"AND",2016,100
"AND",2018,100
"AND",2020,100
"ARE",2000,100
"ARE",2002,100
"ARE",2004,100
"ARE",2006,100
"ARE",2008,100
"ARE",2010,100
"ARE",2012,100
"ARE",2014,100
"ARE",2016,100
"ARE",2018,100
"ARE",2020,100
"ARG",2000,95.8
"ARG",2002,96.2
"ARG",2004,96.7
"ARG",2006,97.1
"ARG",2008,97.5
"ARG",2010,98.8
"ARG",2012,99.2
"ARG",2014,100
"ARG",2016,99.8
"ARG",2018,100
"ARG",2020,100
"ARM",2000,98.9
"ARM",2002,98
"ARM",2004,99.2
"ARM",2006,99.2
"ARM",2008,99.2
"ARM",2010,99.8
"ARM",2012,99.6
"ARM",2014,99.7
"ARM",2016,99.8
"ARM",2018,99.9
"ARM",2020,100
"ATG",2000,97.7
"ATG",2002,100
"ATG",2004,98
"ATG",2006,100
"ATG",2008,100
"ATG",2010,98.6
"ATG",2012,100
"ATG",2014,100
"ATG",2016,100
"ATG",2018,100
"ATG",2020,100
"AUS",2000,100
"AUS",2002,100
"AUS",2004,100
"AUS",2006,100
"AUS",2008,100
"AUS",2010,100
"AUS",2012,100
"AUS",2014,100
"AUS",2016,100
"AUS",2018,100
"AUS",2020,100
"AUT",2000,100
"AUT",2002,100
"AUT",2004,100
"AUT",2006,100
"AUT",2008,100
"AUT",2010,100
"AUT",2012,100
"AUT",2014,100
"AUT",2016,100
"AUT",2018,100
"AUT",2020,100
"AZE",2000,98.9
"AZE",2002,100
"AZE",2004,99.1
"AZE",2006,99.5
"AZE",2008,99.7
"AZE",2010,99.9
"AZE",2012,100
"AZE",2014,100
"AZE",2016,100
"AZE",2018,100
"AZE",2020,100
"BDI",2000,2.5
"BDI",2002,3.1
"BDI",2004,3.8
"BDI",2006,2.7
"BDI",2008,4.8
"BDI",2010,5.3
"BDI",2012,6.5
"BDI",2014,7
"BDI",2016,9.3
"BDI",2018,10.9
"BDI",2020,11.7
