"countrycode","countryname","region","regionname","adminregion","adminregionname","incomelevel","incomelevelname","lendingtype","lendingtypename","year","sp_pop_totl","unit","GHG Emissions...14","LULUCF...15","GHG Emissions including LULUCF...16","CO2 Emissions...17","LULUCF_CO2...18","CO2 Emissions including LULUCF_CO2...19","GHG Emissions...20","LULUCF...21","GHG Emissions including LULUCF...22","CO2 Emissions...23","LULUCF_CO2...24","CO2 Emissions including LULUCF_CO2...25"
"AFG","Afghanistan","SAS","South Asia","SAS","South Asia (excluding high income)","LIC","Low income","IDX","IDA",2019,38041757,"MtCO2e",28.63999939,0.150000006,28.79000092,6.079999924,0.150000006,6.230000019,0.7528569038,0.0039430357,0.7567999794,0.159824372,0.0039430357,0.1637674101
"AGO","Angola","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,31825299,"MtCO2e",79.68000031,48.61000061,128.2899933,25.20999908,35.59000015,60.79999924,2.503668553,1.527401223,4.031069536,0.7921370695,1.118292719,1.910429788
"ALB","Albania","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2854191,"MtCO2e",9.010000229,-0.2399999946,8.770000458,4.829999924,-0.2399999946,4.590000153,3.156761488,-0.08408687247,3.072674694,1.69224832,-0.08408687247,1.608161525
"AND","Andorra","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,77146,"MtCO2e",0.6299999952,0,0.6299999952,0.5,0,0.5,8.166333902,0,8.166333902,6.481217432,0,6.481217432
"ARE","United Arab Emirates","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,9770526,"MtCO2e",243.5500031,0,243.5500031,188.8600006,0,188.8600006,24.92701038,0,24.92701038,19.32956328,0,19.32956328
"ARG","Argentina","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,44938712,"MtCO2e",369.0499878,29.86000061,398.9100037,168.1000061,29.70000076,197.8000031,8.212295621,0.6644605348,8.876756496,3.740650291,0.6609001336,4.401550339
"ARM","Armenia","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2957728,"MtCO2e",9.960000038,0.03999999911,10,6.170000076,0.03999999911,6.210000038,3.367449623,0.01352389371,3.380973504,2.086060678,0.01352389371,2.099584559
"ATG","Antigua and Barbuda","LCN","Latin America and Caribbean",,,"HIC","High income","IBD","IBRD",2019,97115,"MtCO2e",1.220000029,0,1.220000029,0.5199999809,0,0.5199999809,12.56242628,0,12.56242628,5.354476455,0,5.354476455
"AUS","Australia","EAS","East Asia and Pacific",,,"HIC","High income","LNX","Not classified",2019,25365745,"MtCO2e",585.9799805,22.51000023,608.4899902,386.5299988,2.180000067,388.7099915,23.1012328,0.887417272,23.98865045,15.23826715,0.08594267847,15.32420954
"AUT","Austria","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,8879920,"MtCO2e",76.91999817,-7.119999886,69.80000305,64.76999664,-7.130000114,57.63999939,8.662239994,-0.8018090124,7.860431519,7.293984252,-0.8029351745,6.4910494
"AZE","Azerbaijan","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,10024283,"MtCO2e",54.79999924,-1.909999967,52.88999939,35.50999832,-1.919999957,33.59000015,5.466725075,-0.1905373149,5.276187772,3.542397828,-0.1915348915,3.350863114
"BDI","Burundi","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,11530577,"MtCO2e",4.559999943,3.480000019,8.039999962,0.7200000286,3.480000019,4.199999809,0.3954702304,0.3018062339,0.6972764643,0.06244267122,0.3018062339,0.3642488844
"BEL","Belgium","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,11488980,"MtCO2e",108.0599976,0.1599999964,108.2200012,93.01000214,0.1599999964,93.16999817,9.405534482,0.01392638828,9.41946119,8.095583954,0.01392638828,8.109509997
"BEN","Benin","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,11801151,"MtCO2e",15.02000046,10.76000023,25.78000069,7.300000191,10.71000004,18.01000023,1.272757247,0.9117754894,2.184532736,0.6185837458,0.9075385984,1.526122344
"BFA","Burkina Faso","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,20321383,"MtCO2e",32.20999908,24.10000038,56.31000137,5,24.11000061,29.11000061,1.585029871,1.185942924,2.77097289,0.246046246,1.186435028,1.432481274
"BGD","Bangladesh","SAS","South Asia","SAS","South Asia (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,163046173,"MtCO2e",215.9400024,21.76000023,237.6999969,90.73999786,21.72999954,112.4700012,1.324410125,0.133459129,1.457869219,0.5565294554,0.1332751278,0.6898046066
"BGR","Bulgaria","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,6975761,"MtCO2e",51.27999878,-33.79999924,17.47999954,39.13999939,-33.79999924,5.340000153,7.35116911,-4.84534938,2.50581973,5.61085728,-4.84534938,0.7655078998
"BHR","Bahrain","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,1641164,"MtCO2e",54.40999985,0,54.40999985,33.25999832,-0.009999999776,33.25,33.15329842,0,33.15329842,20.26610279,-0.006093236128,20.26001058
"BHS","Bahamas, The","LCN","Latin America and Caribbean",,,"HIC","High income","LNX","Not classified",2019,389486,"MtCO2e",3.160000086,0.01999999955,3.180000067,2.839999914,0,2.839999914,8.11325718,0.05134972644,8.164606858,7.291661097,0,7.291661097
"BIH","Bosnia and Herzegovina","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,3300998,"MtCO2e",26.22999954,-1.730000019,24.5,21.06999969,-1.74000001,19.32999992,7.946081622,-0.5240839343,7.421997832,6.382918043,-0.5271133183,5.855804797
"BLR","Belarus","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,9419758,"MtCO2e",86.83000183,-21.5,65.33000183,57.66999817,-21.51000023,36.15999985,9.217859082,-2.282436555,6.935422527,6.122237765,-2.283498178,3.83873979
"BLZ","Belize","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,390351,"MtCO2e",1.549999952,5.300000191,6.849999905,0.6399999857,5.239999771,5.880000114,3.970785145,13.57752431,17.54830884,1.639550009,13.42381542,15.06336634
"BOL","Bolivia","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,11513102,"MtCO2e",60.79000092,77.93000031,138.7200012,22.34000015,67.37999725,89.72000122,5.280071428,6.768810031,12.04888146,1.940398005,5.85246246,7.792860796
"BRA","Brazil","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,211049519,"MtCO2e",1057.26001,394.3699951,1451.630005,434.2999878,384.2999878,818.5999756,5.009535273,1.86861357,6.878148843,2.057810839,1.820899615,3.878710454
"BRB","Barbados","LCN","Latin America and Caribbean",,,"HIC","High income","LNX","Not classified",2019,287021,"MtCO2e",3.789999962,0,3.789999962,1.25,0,1.25,13.20460859,0,13.20460859,4.355082032,0,4.355082032
"BRN","Brunei Darussalam","EAS","East Asia and Pacific",,,"HIC","High income","LNX","Not classified",2019,433296,"MtCO2e",9.300000191,0.3300000131,9.630000114,6.989999771,0.3300000131,7.320000172,21.46338806,0.7616041069,22.22499196,16.13215855,0.7616041069,16.89376355
"BTN","Bhutan","SAS","South Asia","SAS","South Asia (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,763094,"MtCO2e",1.679999948,-1.320000052,0.3600000143,1.049999952,-1.309999943,-0.2599999905,2.201563566,-1.729800067,0.4717636547,1.375977209,-1.716695378,-0.340718169
"BWA","Botswana","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2303703,"MtCO2e",11,41.34000015,52.34000015,7.25,41.33000183,48.58000183,4.774921073,17.94502163,22.7199427,3.147107071,17.94068152,21.08778859
"CAF","Central African Republic","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,4745179,"MtCO2e",19.72999954,26.85000038,46.58000183,0.2399999946,13.97999954,14.22000027,4.157904168,5.658374612,9.816279182,0.05057764831,2.946147984,2.996725786
"CAN","Canada","NAC","North America",,,"HIC","High income","LNX","Not classified",2019,37601230,"MtCO2e",736.9299927,37.36000061,774.289978,580.210022,35.27000046,615.4799805,19.59856081,0.9935845346,20.59214494,15.43061283,0.9380012425,16.36861295
"CHE","Switzerland","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,8575280,"MtCO2e",46.5,-2.24000001,44.25999832,37.38000107,-2.24000001,35.13999939,5.422563461,-0.2612159614,5.161347305,4.359041462,-0.2612159614,4.097825306
"CHL","Chile","LCN","Latin America and Caribbean",,,"HIC","High income","IBD","IBRD",2019,18952035,"MtCO2e",113.0199966,-57.68999863,55.33000183,91.37000275,-57.86000061,33.50999832,5.963475513,-3.044000216,2.919475499,4.821118299,-3.052970333,1.768147765
"CHN","China","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,1407745000,"MtCO2e",12705.08984,-649.6799927,12055.41016,10707.21973,-650.0999756,10057.12012,9.025135833,-0.4615040314,8.563632019,7.605936961,-0.4618023687,7.144134852
"CIV","Cote d'Ivoire","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,25716554,"MtCO2e",24.86000061,26.64999962,51.50999832,10.82999992,26.64999962,37.47999954,0.9666925285,1.036297461,2.002989915,0.4211295154,1.036297461,1.457426977
"CMR","Cameroon","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,25876387,"MtCO2e",90.12000275,34.66999817,124.7900009,9.430000305,33.75999832,43.18999863,3.48271197,1.339831491,4.822543461,0.3644249217,1.3046643,1.669089221
"COD","Congo, Dem Rep","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,86790568,"MtCO2e",55,624.5700073,679.5700073,3.210000038,601.3699951,604.5800171,0.6337094141,7.196288971,7.829998386,0.03698558625,6.928978678,6.965964517
"COG","Congo, Rep","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,5380504,"MtCO2e",19.20000076,10.86999989,30.06999969,7.260000229,10.47000027,17.72999954,3.568439084,2.020256817,5.588695723,1.349316017,1.94591441,3.29523025
"COL","Colombia","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,50339443,"MtCO2e",187.3399963,83.19000244,270.5299988,81.04000092,82.97000122,164.0099945,3.721534947,1.652580908,5.374115855,1.609870831,1.648210554,3.258081233
"COM","Comoros","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,850891,"MtCO2e",0.6399999857,0.05999999866,0.6999999881,0.3199999928,0.05999999866,0.3799999952,0.7521527266,0.07051431812,0.8226670491,0.3760763633,0.07051431812,0.4465906858
"CPV","Cabo Verde","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,549936,"MtCO2e",0.8100000024,-0.05999999866,0.75,0.6499999762,-0.0700000003,0.5799999833,1.472898669,-0.1091036023,1.36379506,1.181955675,-0.1272875395,1.054668149
"CRI","Costa Rica","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,5047561,"MtCO2e",15.75,-7.269999981,8.479999542,8.239999771,-7.300000191,0.9399999976,3.120318903,-1.440299579,1.68001923,1.632471558,-1.446243085,0.1862285563
"CUB","Cuba","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","LNX","Not classified",2019,11333484,"MtCO2e",41.24000168,-3.049999952,38.18999863,25.90999985,-3.049999952,22.86000061,3.638775303,-0.2691140652,3.369660965,2.286146065,-0.2691140652,2.017032063
