"iso3c","year","oil","wind","solar","otherrenewable","hydro","gas","bioenergy","coal","nuclear"
"ABW",2000,776.59,0,0,0,0,0,0,0,0
"ABW",2001,808.33,0,0,0,0,0,0,0,0
"ABW",2002,824.65,0,0,0,0,0,0,0,0
"ABW",2003,841.84,0,0,0,0,0,0,0,0
"ABW",2004,865.75,0,0,0,0,0,0,0,0
"ABW",2005,910.47,0,0,0,0,0,0,0,0
"ABW",2006,909.51,0,0,0,0,0,0,0,0
"ABW",2007,935.98,0,0,0,0,0,0,0,0
"ABW",2008,913.61,0,0,0,0,0,0,0,0
"ABW",2009,907.68,16.64,0,0,0,0,0,0,0
"ABW",2010,833.99,106.16,0.09,0,0,0,0,0,0
"ABW",2011,817.89,112.24,0.35,0,0,0,0,0,0
"ABW",2012,779.12,134.2,1.14,0,0,0,0,0,0
"ABW",2013,776.8,148.99,2.28,0,0,0,0,0,0
"ABW",2014,755.26,155.61,5.71,0,0,0,0,0,0
"ABW",2015,755.55,166.42,9.66,0,0,0,0,0,0
"ABW",2016,802.11,134.18,10.71,4.8,0,0,0,0,0
"ABW",2017,834.23,133.05,10.71,0,0,0,0,0,0
"ABW",2018,827.09,136.39,10.71,0,0,0,0,0,0
"ABW",2019,810.76,136.39,10.71,0,0,0,0,0,0
"ABW",2020,826.52,136.39,10.71,0,0,0,0,0,0
"AFG",2000,31.64,0,0,0,457.94,0,0,0,0
"AFG",2001,31.64,0,0,0,457.94,0,0,0,0
"AFG",2002,31.64,0,0,0,457.95,0,0,0,0
"AFG",2003,110.1,0,0,0,458.33,0,0,0,0
"AFG",2004,270.93,0,0,0,458.65,0,0,0,0
"AFG",2005,270.93,0,0,0,461.59,0,0,0,0
"AFG",2006,270.93,0,0,0,659.96,0,0,0,0
"AFG",2007,310.36,0,0,0,691.79,0,0,0,0
"AFG",2008,295.08,0,0,0,591.89,0,0,0,0
"AFG",2009,192.6,0,0,0,753.83,0,0,0,0
"AFG",2010,179.3,0,0.18,0,803.14,0,0,0,0
"AFG",2011,234.85,0,0.21,0,682.35,0,0,0,0
"AFG",2012,193.58,0.12,28.37,0,736.15,0,0,0,0
"AFG",2013,207.38,0.12,29.64,0,854.83,0,0,0,0
"AFG",2014,170.14,0.12,32.32,0,967.69,0,0,0,0
"AFG",2015,146.66,0.12,33.32,0,1000.57,0,0,0,0
"AFG",2016,148.32,0.12,38.49,0,1024.91,0,0,0,0
"AFG",2017,163.62,0.12,38.03,0,1048.7,0,0,0,0
"AFG",2018,186.76,0.12,37.21,0,927.65,0,0,0,0
"AFG",2019,180.77,0.12,49.71,0,1142.88,0,0,0,0
"AFG",2020,132.89,0.12,62.66,0,1052.61,0,0,0,0
"AGO",2000,540.61,0,0,0,900.29,180,0,0,0
"AGO",2001,652.21,0,0.05,0,1010.27,180,0,0,0
"AGO",2002,652.21,0,0.27,0,1130.26,180,0,0,0
"AGO",2003,752.21,0,0.35,0,1230.58,180,0,0,0
"AGO",2004,559.46,0,0.59,0,1730.34,180,0,0,0
"AGO",2005,559.46,0,0.87,0,2200.3,180,0,0,0
"AGO",2006,663.14,0,1.13,0,2540.27,180,0,0,0
"AGO",2007,763.14,0,3.78,0,2880.21,180,0,0,0
"AGO",2008,974.51,0,6.81,0,3182.13,180,0,0,0
"AGO",2009,1670.76,0,7.53,0,3335.6,180,0,0,0
"AGO",2010,1900.52,0,10.08,0,3685.59,180,0,0,0
"AGO",2011,1879.53,0,10.96,0,4042.92,180,0,0,0
"AGO",2012,2924.5,0,13.64,0,3839.83,180,0,0,0
"AGO",2013,5643.75,0,15.34,0,3638.55,180,0,0,0
"AGO",2014,6008.88,0,16.99,0,5039.93,180,36,0,0
"AGO",2015,6185.25,0,18.27,0,5039.93,180,42,0,0
"AGO",2016,6214.26,0,18.27,0,6286.13,85.34,155,0,0
"AGO",2017,4938.08,0,18.27,0,8844.18,58.08,200,0,0
"AGO",2018,4938.08,0,18.27,0,11322.93,58.08,200,0,0
"AGO",2019,4938.08,0,18.27,0,12562.3,58.08,200,0,0
"AGO",2020,4938.08,0,18.27,0,13801.68,58.08,200,0,0
"AIA",2000,45.8,0,0,0,0,0,0,0,0
"AIA",2001,53.61,0,0,0,0,0,0,0,0
"AIA",2002,55.2,0,0,0,0,0,0,0,0
"AIA",2003,58.39,0,0,0,0,0,0,0,0
"AIA",2004,62,0,0,0,0,0,0,0,0
"AIA",2005,72.04,0,0,0,0,0,0,0,0
"AIA",2006,76.51,0,0,0,0,0,0,0,0
"AIA",2007,89,0,0,0,0,0,0,0,0
"AIA",2008,89.5,0,0,0,0,0,0,0,0
"AIA",2009,91.22,0,0,0,0,0,0,0,0
"AIA",2010,98.57,0,0,0,0,0,0,0,0
"AIA",2011,95.39,0,0,0,0,0,0,0,0
"AIA",2012,89.48,0,0.08,0,0,0,0,0,0
"AIA",2013,88.56,0,0.11,0,0,0,0,0,0
"AIA",2014,89.5,0,0.87,0,0,0,0,0,0
"AIA",2015,92.26,0,1.47,0,0,0,0,0,0
"AIA",2016,102.02,0,2.43,0,0,0,0,0,0
"AIA",2017,100.27,0,2.31,0,0,0,0,0,0
"AIA",2018,100.52,0,1.99,0,0,0,0,0,0
"AIA",2019,105.81,0,2.63,0,0,0,0,0,0
"AIA",2020,105.81,0,2.63,0,0,0,0,0,0
"ALB",2000,184,0,0,0,4594,0,0,0,0
"ALB",2001,175,0,0.14,0,3555,0,0,0,0
"ALB",2002,226,0,0.27,0,3512,0,0,0,0
"ALB",2003,107,0,0.27,0,4885,0,0,0,0
"ALB",2004,140,0,0.27,0,5466,0,0,0,0
"ALB",2005,70,0,0.27,0,5373,0,0,0,0
"ALB",2006,93,0,0.27,0,5431,0,0,0,0
"ALB",2007,72,0,0.27,0,2788,0,0,0,0
"ALB",2008,0,0,0.27,0,3797,0,0,0,0
"ALB",2009,1,0,0.41,0,5201,0,0,0,0
"ALB",2010,1,0,0.54,0,7567,0,0,0,0
"ALB",2011,59,0,0.77,0,4132,0,0,0,0
"ALB",2012,0,0,0.92,0,4725,0,0,0,0
"ALB",2013,0,0,1.03,0,6959,0,0,0,0
"ALB",2014,0,0,1.19,0,4724.44,0,0,0,0
"ALB",2015,0,0,1.43,0,5895,0,0,0,0
"ALB",2016,0,0,1.36,0,7781.7,0,0,0,0
"ALB",2017,0,0,1.2,0,4524.98,0,0,0,0
"ALB",2018,0,0,1.33,0,8552.15,0,0,0,0
"ALB",2019,0,0,22.2,0,5183.85,0,0,0,0
"ALB",2020,0,0,32.27,0,5280.9,0,0,0,0
"AND",2000,0,0,0,0,80,0,0,0,0
"AND",2001,0,0,0,0,80,0,0,0,0
"AND",2002,0,0,0,0,80,0,0,0,0
"AND",2003,0,0,0,0,80,0,0,0,0
"AND",2004,0,0,0,1,93,0,0,0,0
"AND",2005,0,0,0,1,84,0,0,0,0
"AND",2006,0,0,0,4,70,0,0,0,0
"AND",2007,0,0,0,19,57,0,0,0,0
"AND",2008,0,0,0,15.7,63,0,0,0,0
"AND",2009,0,0,0,19,62,0,0,0,0
"AND",2010,0,0,0,12.7,100,0,0,0,0
"AND",2011,0,0,0,12.3,78.9,0,0,0,0
"AND",2012,0,0,0,11.68,76.18,0,0,0,0
"AND",2013,0,0,0,12.9,101.78,0,0,0,0
"AND",2014,0,0,0.2,13.39,113.42,0,0,0,0
"AND",2015,0,0,0.24,13.81,85.67,0,0,0,0
"AND",2016,0,0,0.26,14.16,84.36,0.9,0,0,0
"AND",2017,0,0,0.51,17,85.1,4.23,0,0,0
"AND",2018,0,0,0.56,20.51,114.36,5.07,0,0,0
"AND",2019,0,0,0.72,21.54,85.6,5.58,0,0,0
"AND",2020,0,0,0.94,19.83,121.4,3.82,0,0,0
"ARE",2000,0,0,0,0,0,39944,0,0,0
"ARE",2001,0,0,0,0,0,43172,0,0,0
"ARE",2002,0,0,0,0,0,46856,0,0,0
"ARE",2003,0,0,0,0,0,49450,0,0,0
"ARE",2004,0,0,0,0,0,52417,0,0,0
"ARE",2005,0,0,0,0,0,60698,0,0,0
"ARE",2006,0,0,0,0,0,66768,0,0,0
"ARE",2007,0,0,0,0,0,78761,0,0,0
"ARE",2008,0,0,0,0,0,80463,0,0,0
"ARE",2009,0,0,6.35,0,0,85691.71,0,0,0
"ARE",2010,0,0,17.16,0,0,93931.9,0,0,0
"ARE",2011,0,0,18.23,0,0,99119.01,0,0,0
"ARE",2012,0,0,18.92,0,0,106203.41,0,0,0
"ARE",2013,0,1.49,75.74,0,0,109919.84,0,0,0
"ARE",2014,0,1.49,296.44,0,0,116252.33,0,0,0
"ARE",2015,0,1.49,296.86,0,0,127090.04,0,0,0
"ARE",2016,0,0,314.38,0,0,129304.01,0,0,0
"ARE",2017,0,0,739.19,0,0,133834.9,0,0,0
"ARE",2018,0,0,1308.69,0,0,134711.16,0,0,0
"ARE",2019,0,0,3787.65,0,0,134674.3,0,0,0
"ARE",2020,0,0,5484.69,0,0,131834.24,0.87,0,0
"ARG",2000,4169.04,35,0.04,0,28761.82,49060,675,1077,6177.11
"ARG",2001,2834.38,49.36,0.04,0,36949.16,43137,624,532,7058.64
"ARG",2002,2804.84,73.41,0.05,0,35796.81,40567,869,149,5820.81
"ARG",2003,3277.06,77.95,0.07,0,33737.25,47585,1297,164,7566.29
"ARG",2004,5522.36,72.44,0.07,0,30018.77,54936,1274,887,7868.6
"ARG",2005,7557.2,75.38,0.08,0,34192.29,56122,1383,1532,6873.3
"ARG",2006,9640.79,69.64,0.09,0,38056.37,57123,1749,1359,7690.91
"ARG",2007,13374.48,61.59,0.11,0,31560.24,59779,1673,1468,7217.23
"ARG",2008,13298.07,41.95,0.14,0,31456.35,65854,1067.36,1969,7330.39
"ARG",2009,10590.4,36.83,0.08,0,35092.92,65121,1222.54,1721,8161.67
"ARG",2010,16838.9,25.35,0.09,0,33825.84,64470,1424.98,1947,7170.89
"ARG",2011,19643.12,59,1.61,0,31843.25,67409,1454.69,2484,6370.9
"ARG",2012,19762.26,822,8.17,0,29657.87,75132,1576.28,2397,6395.16
"ARG",2013,20252.46,1007,15.09,0,33368.75,74896,1704.63,2062,6206.9
"ARG",2014,18627.11,619.09,15.94,0,33098.48,76573,1173.36,2405,5513.94
"ARG",2015,21975.64,593,14.82,0,34796.65,78770,1232.29,2330,7038.88
"ARG",2016,20624.34,548,14.54,0,30132.39,83847,1532.29,1745,8284.7
"ARG",2017,11450.79,611.68,16.14,0,39589.33,91635.85,1852.84,1568.25,5716.3
"ARG",2018,6595.21,1413,108.14,0,39957.33,95572.35,1783.75,1577.12,6453
"ARG",2019,3204.5,4996.87,800.94,0,35375.48,91246.55,2158.58,532.27,7927.08
"ARG",2020,6553.23,9412.33,1345.6,0,30355.43,88407.75,2606.67,1245.68,10010.88
"ARM",2000,0,0,0,0,1261.1,2692.1,0,0,2005.4
"ARM",2001,0,0,0,0,967.7,2790.4,0,0,1986.7
"ARM",2002,0,0,0,0,1657.5,1579.1,0,0,2282.2
"ARM",2003,0,0,0,0,1981.9,1521.5,0,0,1997.5
"ARM",2004,0,0,0,0,2013.6,1613.6,0,0,2402.8
"ARM",2005,0,0,0,0,1772.9,1827.7,0,0,2716.3
"ARM",2006,0,2.6,0,0,1822.7,1475.7,0,0,2640.3
"ARM",2007,0,2.9,0,0,1852.5,1488.8,0,0,2553.4
"ARM",2008,0,1.9,0,0,1797,1853.9,0,0,2461.6
"ARM",2009,0,4.3,0,0,2019.4,1154.1,0,0,2493.7
"ARM",2010,0,7,0,0,2556.1,1438.3,0,0,2490
"ARM",2011,0,5.6,0,0,2488.7,2390.3,0,0,2548.1
"ARM",2012,0,4.1,0,0,2311,3399.1,0,0,2322
"ARM",2013,0,3.8,0,0,2173.4,3173.1,0,0,2359.7
"ARM",2014,0,4,0,0,1992.6,3288.6,0,0,2464.8
"ARM",2015,0,3.7,0,0,2205.6,2801.2,0,0,2787.7
"ARM",2016,0,1.8,1.15,0,2351.4,2581.5,0,0,2380.5
"ARM",2017,0,2.1,2.74,0,2269,2871.8,0,0,2619.6
"ARM",2018,0,1.9,19.4,0,2318.2,3375.6,0,0,2076.1
"ARM",2019,0,3.3,23.6,0,2408.4,3046.9,0,0,2197.8
"ARM",2020,0,3.32,23.73,0,2421.89,3063.96,0,0,2210.11
"ASM",2000,169.59,0,0,0,0,0,0,0,0
"ASM",2001,172.99,0,0,0,0,0,0,0,0
"ASM",2002,181.05,0,0,0,0,0,0,0,0
"ASM",2003,188.17,0,0,0,0,0,0,0,0
"ASM",2004,188.08,0,0,0,0,0,0,0,0
"ASM",2005,188.9,0,0,0,0,0,0,0,0
"ASM",2006,187.78,0,0,0,0,0,0,0,0
"ASM",2007,185.96,0,0,0,0,0,0,0,0
"ASM",2008,185.88,0,0,0,0,0,0,0,0
"ASM",2009,173.58,0,0,0,0,0,0,0,0
"ASM",2010,158.08,0,0,0,0,0,0,0,0
"ASM",2011,155.12,0,0.27,0,0,0,0,0,0
"ASM",2012,155.12,0,1.41,0,0,0,0,0,0
"ASM",2013,153.87,0,2.42,0,0,0,0,0,0
"ASM",2014,154.76,0,2.36,0,0,0,0,0,0
"ASM",2015,161.4,0,2.49,0,0,0,0,0,0
"ASM",2016,167.8,0,3.13,0,0,0,0,0,0
"ASM",2017,161.99,0,4.84,0,0,0,0,0,0
"ASM",2018,161.99,0,4.84,0,0,0,0,0,0
"ASM",2019,165.1,0,4.9,0,0,0,0,0,0
"ASM",2020,165.12,0,4.9,0,0,0,0,0,0
"ATG",2000,150,0,0,0,0,0,0,0,0
"ATG",2001,171,0,0,0,0,0,0,0,0
"ATG",2002,191,0,0,0,0,0,0,0,0
"ATG",2003,211,0,0,0,0,0,0,0,0
"ATG",2004,221,0,0,0,0,0,0,0,0
"ATG",2005,243,0,0,0,0,0,0,0,0
"ATG",2006,258,0,0,0,0,0,0,0,0
"ATG",2007,285.4,0,0,0,0,0,0,0,0
"ATG",2008,296,0,0,0,0,0,0,0,0
"ATG",2009,327.4,0,0.16,0,0,0,0,0,0
"ATG",2010,329.5,0,0.16,0,0,0,0,0,0
"ATG",2011,329,0,0.47,0,0,0,0,0,0
"ATG",2012,330,0,0.47,0,0,0,0,0,0
"ATG",2013,330,0,0.63,0,0,0,0,0,0
"ATG",2014,336,0,0.63,0,0,0,0,0,0
"ATG",2015,340,0,5.36,0,0,0,0,0,0
"ATG",2016,344,0,5.43,0,0,0,0,0,0
"ATG",2017,344,0,5.83,0,0,0,0,0,0
"ATG",2018,352.38,0,9.61,0,0,0,0,0,0
"ATG",2019,212.87,0,13.07,0,0,0,0,0,0
"ATG",2020,215.1,0,16.34,0,0,0,0,0,0
"AUS",2000,1784,58,38,0.1,16720,16245,1134,174245,0
"AUS",2001,2044,210,44,0.1,16933,17271,1345,186788,0
"AUS",2002,2446,364,50,0.1,16054,31730,1583,175328,0
"AUS",2003,1661,703,59,0.1,16490,29376,1583,170930,0
"AUS",2004,1389,705,69,0.1,16331,30919,1799,177222,0
"AUS",2005,2841,885,79,0.1,15612,23803,3830,181600,0
"AUS",2006,3058,1713,91,1,16029,22726,3911,185301,0
"AUS",2007,2893,2611,109,1,14517,31849,3953,187224,0
"AUS",2008,4058,3093,127,1,12057,34955,4596,184334,0
"AUS",2009,3598,3824,160,1,11869,40072,2815,185823,0
"AUS",2010,6098,5052,389,1,13549,44585,2777,180210,0
"AUS",2011,5809,6085,1391,1,16807,48997,2102,172627,0
"AUS",2012,3790,6970,2325,1,14083,48572,3043,172147,0
