"iso3c","source","share","cumperc"
"SOM","solidbiofuels",95,0
"SOM","otherrenewables",0,95
"SOM","nonrenewable",5,95
"COD","solidbiofuels",92.6,0
"COD","otherrenewables",3.6,92.6
"COD","nonrenewable",3.8,96.2
"CAF","solidbiofuels",89.9,0
"CAF","otherrenewables",1.4,89.9
"CAF","nonrenewable",8.7,91.3
"UGA","solidbiofuels",88.8,0
"UGA","otherrenewables",1.4,88.8
"UGA","nonrenewable",9.8,90.2
"GAB","solidbiofuels",87.9,0
"GAB","otherrenewables",2,87.9
"GAB","nonrenewable",10.1,89.9
"LBR","solidbiofuels",86.8,0
"LBR","otherrenewables",0.4,86.8
"LBR","nonrenewable",12.8,87.2
"ETH","solidbiofuels",86.7,0
"ETH","otherrenewables",2.3,86.7
"ETH","nonrenewable",11,89
"GNB","solidbiofuels",86.2,0
"GNB","otherrenewables",0,86.2
"GNB","nonrenewable",13.8,86.2
"TZA","solidbiofuels",84.2,0
"TZA","otherrenewables",1,84.2
"TZA","nonrenewable",14.8,85.2
"BDI","solidbiofuels",83.9,0
"BDI","otherrenewables",0.9,83.9
"BDI","nonrenewable",15.2,84.8
"MDG","solidbiofuels",81.6,0
"MDG","otherrenewables",1.1,81.6
"MDG","nonrenewable",17.3,82.7
"NGA","solidbiofuels",81,0
"NGA","otherrenewables",0.4,81
"NGA","nonrenewable",18.6,81.4
"NER","solidbiofuels",80.7,0
"NER","otherrenewables",0.1,80.7
"NER","nonrenewable",19.2,80.8
"ZWE","solidbiofuels",78.1,0
"ZWE","otherrenewables",3.3,78.1
"ZWE","nonrenewable",18.6,81.4
"TCD","solidbiofuels",77.8,0
"TCD","otherrenewables",0,77.8
"TCD","nonrenewable",22.2,77.8
"RWA","solidbiofuels",76.4,0
"RWA","otherrenewables",1.5,76.4
"RWA","nonrenewable",22.1,77.9
"HTI","solidbiofuels",76,0
"HTI","otherrenewables",0.4,76
"HTI","nonrenewable",23.6,76.4
"CMR","solidbiofuels",75,0
"CMR","otherrenewables",4.4,75
"CMR","nonrenewable",20.6,79.4
"MLI","solidbiofuels",74.5,0
"MLI","otherrenewables",2.2,74.5
"MLI","nonrenewable",23.3,76.7
"SLE","solidbiofuels",74.4,0
"SLE","otherrenewables",1,74.4
"SLE","nonrenewable",24.6,75.4
"TGO","solidbiofuels",74.4,0
"TGO","otherrenewables",1.8,74.4
"TGO","nonrenewable",23.8,76.2
"ERI","solidbiofuels",73.4,0
"ERI","otherrenewables",0.3,73.4
"ERI","nonrenewable",26.3,73.7
"ZMB","solidbiofuels",73.1,0
"ZMB","otherrenewables",11.4,73.1
"ZMB","nonrenewable",15.5,84.5
"NPL","solidbiofuels",71.2,0
"NPL","otherrenewables",6.2,71.2
"NPL","nonrenewable",22.6,77.4
"BTN","solidbiofuels",70.3,0
"BTN","otherrenewables",12,70.3
"BTN","nonrenewable",17.7,82.3
"MOZ","solidbiofuels",67.4,0
"MOZ","otherrenewables",10.6,67.4
"MOZ","nonrenewable",22,78
"COG","solidbiofuels",67,0
"COG","otherrenewables",1.6,67
"COG","nonrenewable",31.4,68.6
"MWI","solidbiofuels",65.2,0
"MWI","otherrenewables",7.8,65.2
"MWI","nonrenewable",27,73
"KEN","solidbiofuels",64.4,0
"KEN","otherrenewables",3.7,64.4
"KEN","nonrenewable",31.9,68.1
"BFA","solidbiofuels",64.1,0
"BFA","otherrenewables",0.8,64.1
"BFA","nonrenewable",35.1,64.9
"GIN","solidbiofuels",63.1,0
"GIN","otherrenewables",2.3,63.1
"GIN","nonrenewable",34.6,65.4
"SWZ","solidbiofuels",60.7,0
"SWZ","otherrenewables",5.2,60.7
"SWZ","nonrenewable",34.1,65.9
"GTM","solidbiofuels",59.9,0
"GTM","otherrenewables",3,59.9
"GTM","nonrenewable",37.1,62.9
"CIV","solidbiofuels",59.7,0
"CIV","otherrenewables",2.8,59.7
"CIV","nonrenewable",37.5,62.5
"SDN","solidbiofuels",56.6,0
"SDN","otherrenewables",5.6,56.6
"SDN","nonrenewable",37.8,62.2
"MMR","solidbiofuels",54.1,0
"MMR","otherrenewables",3.7,54.1
"MMR","nonrenewable",42.2,57.8
"COM","solidbiofuels",53.4,0
"COM","otherrenewables",0,53.4
"COM","nonrenewable",46.6,53.4
"PNG","solidbiofuels",49.9,0
"PNG","otherrenewables",3.1,49.9
"PNG","nonrenewable",47,53
"GMB","solidbiofuels",49.2,0
"GMB","otherrenewables",0.1,49.2
"GMB","nonrenewable",50.7,49.3
"SLB","solidbiofuels",48.2,0
"SLB","otherrenewables",0.2,48.2
"SLB","nonrenewable",51.6,48.4
"KHM","solidbiofuels",47.2,0
"KHM","otherrenewables",6.1,47.2
"KHM","nonrenewable",46.7,53.3
"AGO","solidbiofuels",46.9,0
"AGO","otherrenewables",7.7,46.9
"AGO","nonrenewable",45.4,54.6
"BEN","solidbiofuels",46.4,0
"BEN","otherrenewables",0,46.4
"BEN","nonrenewable",53.6,46.4
