"iso3c","solidbiofuels","otherrenewables","nonrenewable"
"SOM",95,0,5
"COD",92.6,3.6,3.8
"CAF",89.9,1.4,8.7
"UGA",88.8,1.4,9.8
"GAB",87.9,2,10.1
"LBR",86.8,0.4,12.8
"ETH",86.7,2.3,11
"GNB",86.2,0,13.8
"TZA",84.2,1,14.8
"BDI",83.9,0.9,15.2
"MDG",81.6,1.1,17.3
"NGA",81,0.4,18.6
"NER",80.7,0.1,19.2
"ZWE",78.1,3.3,18.6
"TCD",77.8,0,22.2
"RWA",76.4,1.5,22.1
"HTI",76,0.4,23.6
"CMR",75,4.4,20.6
"MLI",74.5,2.2,23.3
"SLE",74.4,1,24.6
"TGO",74.4,1.8,23.8
"ERI",73.4,0.3,26.3
"ZMB",73.1,11.4,15.5
"NPL",71.2,6.2,22.6
"BTN",70.3,12,17.7
"MOZ",67.4,10.6,22
"COG",67,1.6,31.4
"MWI",65.2,7.8,27
"KEN",64.4,3.7,31.9
"BFA",64.1,0.8,35.1
"GIN",63.1,2.3,34.6
"SWZ",60.7,5.2,34.1
"GTM",59.9,3,37.1
"CIV",59.7,2.8,37.5
"SDN",56.6,5.6,37.8
"MMR",54.1,3.7,42.2
"COM",53.4,0,46.6
"PNG",49.9,3.1,47
"GMB",49.2,0.1,50.7
"SLB",48.2,0.2,51.6
"KHM",47.2,6.1,46.7
"AGO",46.9,7.7,45.4
"BEN",46.4,0,53.6
"NIC",45.9,4.8,49.3
"LKA",45.9,4.1,50
"URY",41.6,19.1,39.3
"PAK",40.8,2.7,56.5
"KIR",39.9,1.1,59
"PRY",39.9,20.2,39.9
"HND",39.3,6.6,54.1
"LAO",37.7,10.7,51.6
"SEN",36.4,0.8,62.8
"STP",36.2,0.9,62.9
"GHA",35.6,6.1,58.3
"FIN",34.4,11.5,54.1
"LVA",33.4,8.1,58.5
"LSO",33,6.5,60.5
"VUT",29.4,2.3,68.3
"WSM",29.3,4.9,65.8
"IND",28.8,4.1,67.1
"BIH",28.7,8.2,63.1
"DJI",27.9,0,72.1
"EST",26.9,4.5,68.6
"SWE",26.7,26.3,47
"SSD",26.6,0.1,73.3
"BWA",25.5,0.1,74.4
"BLZ",25.1,4,70.9
"BGD",24.5,0.3,75.2
"MRT",23.5,1.2,75.3
"BRA",21.5,26,52.5
"LTU",21.2,12.4,66.4
"MDA",21.1,1,77.9
"PHL",20.9,5.7,73.4
"DNK",19.7,17.8,62.5
"MNE",19.3,19.5,61.2
"CPV",18.8,3.4,77.8
"FJI",18.4,8.1,73.5
"THA",18.2,5.7,76.1
"CUB",17.8,3.7,78.5
"HRV",17.3,14.3,68.4
"AUT",15.7,18,66.3
"CHL",15.6,9.7,74.7
"COL",14.8,15.9,69.3
"ROU",14.8,8.8,76.4
"IDN",14.2,4.9,80.9
"CRI",13.6,22.2,64.2
"PRT",13.1,15.1,71.8
"SRB",13.1,8.4,78.5
"BGR",12.6,6.9,80.5
"PER",12.5,14.7,72.8
"NAM",12.2,18.6,69.2
"DOM",11.8,2.1,86.1
"CZE",11.6,4.2,84.2
"TLS",11.6,0.1,88.3
"SVK",11.4,6.1,82.5
"MHL",11.3,0.4,88.3
"GUY",11.2,0.1,88.7
"SVN",10.8,10.1,79.1
"TUN",10.7,1.5,87.8
"GRD",10.1,0.3,89.6
"HUN",9.9,3.7,86.4
"MKD",9.7,6.6,83.7
"LCA",9.5,0.3,90.2
"VNM",9.5,9.2,81.3
"ZAF",9.1,1.5,89.4
"POL",8.3,3.9,87.8
"SLV",8.2,11.3,80.5
"AFG",8,10.6,81.4
"NZL",7.8,21.9,70.3
"ALB",7.6,32.6,59.8
"BLR",7.4,0.4,92.2
"MAR",7.4,3.2,89.4
"FRA",7,8.4,84.6
"PAN",7,11.9,81.1
"ITA",6.8,10.6,82.6
"LIE",6.8,49.3,43.9
"MEX",6.7,3.6,89.7
"MUS",6.5,2.4,91.1
"PRK",6.3,5,88.7
"GEO",5.9,19.4,74.7
"JAM",5.9,3.2,90.9
"GNQ",5.7,0.9,93.4
"ESP",5.7,11.7,82.6
"DEU",5.6,11.6,82.8
"GRC",5.6,13.1,81.3
"UKR",5.6,1.9,92.5
"CHE",5.5,19.3,75.2
"CAN",5,17.1,77.9
"AUS",4.9,5.3,89.8
"NOR",4.9,57.4,37.7
"PSE",4.8,9.1,86.1
"BOL",4.7,4,91.3
"BEL",4.5,5.7,89.8
"GBR",4.4,7.8,87.8
"CHN",4.3,10.3,85.4
"LUX",4.2,12.2,83.6
"SUR",3.9,10.5,85.6
"DMA",3.8,4.2,92
"ECU",3.8,13.8,82.4
"SHN",3.6,5.8,90.6
"USA",3.6,6.9,89.5
"ARM",3.4,6.9,89.7
"ARG",2.9,7.7,89.4
"BRB",2.9,1.4,95.7
"EGY",2.9,2.4,94.7
"LBN",2.9,2.6,94.5
"LBY",2.8,0,97.2
"JPN",2.4,5.3,92.3
"NLD",2.4,6.2,91.4
"CYP",2.2,9.8,88
"VCT",2.2,3.5,94.3
"MNG",2.1,1.3,96.6
"YEM",2.1,1,96.9
"IRL",1.9,10.4,87.7
"TUR",1.6,12.5,85.9
"VEN",1.6,14,84.4
"BHS",1.1,0,98.9
"FLK",1.1,3.5,95.4
"JOR",1.1,7.1,91.8
"FSM",1.1,0.7,98.2
"VGB",1,0.3,98.7
"KOR",1,2.3,96.7
"SPM",0.9,0,99.1
"MDV",0.7,0.3,99
"TON",0.7,1.1,98.2
"RUS",0.6,2.6,96.8
"SYC",0.6,0.8,98.6
"NIU",0.5,21.9,77.6
"AND",0.4,18.1,81.5
"AZE",0.4,1.2,98.4
"BES",0.4,12,87.6
"TTO",0.4,0,99.6
