"iso3c","year","gdp","gdp_forc20","gap_dollars","gap_relative"
"AFG",2019,100,100,0,0
"ALB",2019,100,100,0,0
"DZA",2019,100,100,0,0
"ASM",2019,100,100,0,0
"AND",2019,100,100,0,0
"AGO",2019,100,100,0,0
"ATG",2019,100,100,0,0
"ARG",2019,100,100,0,0
"ARM",2019,100,100,0,0
"ABW",2019,100,100,0,0
"AUS",2019,100,100,0,0
"AUT",2019,100,100,0,0
"AZE",2019,100,100,0,0
"BHS",2019,100,100,0,0
"BHR",2019,100,100,0,0
"BGD",2019,100,100,0,0
"BRB",2019,100,100,0,0
"BLR",2019,100,100,0,0
"BEL",2019,100,100,0,0
"BLZ",2019,100,100,0,0
"BEN",2019,100,100,0,0
"BMU",2019,100,100,0,0
"BTN",2019,100,100,0,0
"BOL",2019,100,100,0,0
"BIH",2019,100,100,0,0
"BWA",2019,100,100,0,0
"BRA",2019,100,100,0,0
"BRN",2019,100,100,0,0
"BGR",2019,100,100,0,0
"BFA",2019,100,100,0,0
"BDI",2019,100,100,0,0
"CPV",2019,100,100,0,0
"KHM",2019,100,100,0,0
"CMR",2019,100,100,0,0
"CAN",2019,100,100,0,0
"CYM",2019,100,100,0,0
"CAF",2019,100,100,0,0
"TCD",2019,100,100,0,0
"CHL",2019,100,100,0,0
"CHN",2019,100,100,0,0
"COL",2019,100,100,0,0
"COM",2019,100,100,0,0
"COD",2019,100,100,0,0
"COG",2019,100,100,0,0
"CRI",2019,100,100,0,0
"CIV",2019,100,100,0,0
"HRV",2019,100,100,0,0
"CUB",2019,100,100,0,0
"CUW",2019,100,100,0,0
"CYP",2019,100,100,0,0
"CZE",2019,100,100,0,0
"DNK",2019,100,100,0,0
"DJI",2019,100,100,0,0
"DMA",2019,100,100,0,0
"DOM",2019,100,100,0,0
"ECU",2019,100,100,0,0
"EGY",2019,100,100,0,0
"SLV",2019,100,100,0,0
"GNQ",2019,100,100,0,0
"EST",2019,100,100,0,0
"SWZ",2019,100,100,0,0
"ETH",2019,100,100,0,0
"FRO",2019,100,100,0,0
"FJI",2019,100,100,0,0
"FIN",2019,100,100,0,0
"FRA",2019,100,100,0,0
"PYF",2019,100,100,0,0
"GAB",2019,100,100,0,0
"GMB",2019,100,100,0,0
"GEO",2019,100,100,0,0
"DEU",2019,100,100,0,0
"GHA",2019,100,100,0,0
"GRC",2019,100,100,0,0
"GRL",2019,100,100,0,0
"GRD",2019,100,100,0,0
"GUM",2019,100,100,0,0
"GTM",2019,100,100,0,0
"GIN",2019,100,100,0,0
"GNB",2019,100,100,0,0
"GUY",2019,100,100,0,0
"HTI",2019,100,100,0,0
"HND",2019,100,100,0,0
"HKG",2019,100,100,0,0
"HUN",2019,100,100,0,0
"ISL",2019,100,100,0,0
"IND",2019,100,100,0,0
"IDN",2019,100,100,0,0
"IRN",2019,100,100,0,0
"IRQ",2019,100,100,0,0
"IRL",2019,100,100,0,0
"IMN",2019,100,100,0,0
"ISR",2019,100,100,0,0
"ITA",2019,100,100,0,0
"JAM",2019,100,100,0,0
"JPN",2019,100,100,0,0
"JOR",2019,100,100,0,0
"KAZ",2019,100,100,0,0
"KEN",2019,100,100,0,0
"KIR",2019,100,100,0,0
"KOR",2019,100,100,0,0
"XKX",2019,100,100,0,0
"KWT",2019,100,100,0,0
"KGZ",2019,100,100,0,0
"LAO",2019,100,100,0,0
"LVA",2019,100,100,0,0
"LBN",2019,100,100,0,0
"LSO",2019,100,100,0,0
"LBR",2019,100,100,0,0
"LBY",2019,100,100,0,0
"LIE",2019,100,100,0,0
"LTU",2019,100,100,0,0
"LUX",2019,100,100,0,0
"MAC",2019,100,100,0,0
"MDG",2019,100,100,0,0
"MWI",2019,100,100,0,0
"MYS",2019,100,100,0,0
"MDV",2019,100,100,0,0
"MLI",2019,100,100,0,0
"MLT",2019,100,100,0,0
"MHL",2019,100,100,0,0
"MRT",2019,100,100,0,0
"MUS",2019,100,100,0,0
"MEX",2019,100,100,0,0
"FSM",2019,100,100,0,0
"MDA",2019,100,100,0,0
"MCO",2019,100,100,0,0
"MNG",2019,100,100,0,0
"MNE",2019,100,100,0,0
"MAR",2019,100,100,0,0
"MOZ",2019,100,100,0,0
"MMR",2019,100,100,0,0
"NAM",2019,100,100,0,0
"NRU",2019,100,100,0,0
"NPL",2019,100,100,0,0
"NLD",2019,100,100,0,0
"NCL",2019,100,100,0,0
"NZL",2019,100,100,0,0
"NIC",2019,100,100,0,0
"NER",2019,100,100,0,0
"NGA",2019,100,100,0,0
"MKD",2019,100,100,0,0
"MNP",2019,100,100,0,0
"NOR",2019,100,100,0,0
"OMN",2019,100,100,0,0
"PAK",2019,100,100,0,0
"PLW",2019,100,100,0,0
"PAN",2019,100,100,0,0
"PNG",2019,100,100,0,0
"PRY",2019,100,100,0,0
"PER",2019,100,100,0,0
"PHL",2019,100,100,0,0
"POL",2019,100,100,0,0
"PRT",2019,100,100,0,0
"PRI",2019,100,100,0,0
"QAT",2019,100,100,0,0
"ROU",2019,100,100,0,0
"RUS",2019,100,100,0,0
"RWA",2019,100,100,0,0
"WSM",2019,100,100,0,0
"SMR",2019,100,100,0,0
"STP",2019,100,100,0,0
"SAU",2019,100,100,0,0
"SEN",2019,100,100,0,0
"SRB",2019,100,100,0,0
"SYC",2019,100,100,0,0
"SLE",2019,100,100,0,0
"SGP",2019,100,100,0,0
"SXM",2019,100,100,0,0
"SVK",2019,100,100,0,0
"SVN",2019,100,100,0,0
"SLB",2019,100,100,0,0
"SOM",2019,100,100,0,0
"ZAF",2019,100,100,0,0
"SSD",2019,100,100,0,0
"ESP",2019,100,100,0,0
"LKA",2019,100,100,0,0
"KNA",2019,100,100,0,0
"LCA",2019,100,100,0,0
"VCT",2019,100,100,0,0
"SDN",2019,100,100,0,0
"SUR",2019,100,100,0,0
"SWE",2019,100,100,0,0
"CHE",2019,100,100,0,0
"SYR",2019,100,100,0,0
"TJK",2019,100,100,0,0
