"iso3c","year","value"
"EAS",2022,3.5
"EAS",2023,5.5
"EAS",2024,4.6
"EAS",2025,4.5
"ECS",2022,1.2
"ECS",2023,1.4
"ECS",2024,2.7
"ECS",2025,2.7
"LCN",2022,3.7
"LCN",2023,1.5
"LCN",2024,2
"LCN",2025,2.6
"MEA",2022,5.9
"MEA",2023,2.2
"MEA",2024,3.3
"MEA",2025,3
"SAS",2022,6
"SAS",2023,5.9
"SAS",2024,5.1
"SAS",2025,6.4
"SSF",2022,3.7
"SSF",2023,3.2
"SSF",2024,3.9
"SSF",2025,4
"WLT",2022,3.1
"WLT",2023,2.1
"WLT",2024,2.4
"WLT",2025,3
"EAS",2020,-0.2
"EAS",2021,5.8
"EAS",2019,4
"ECS",2019,1.8
"ECS",2020,-5.6
"ECS",2021,5.9
"LCN",2019,0.7
"LCN",2020,-6.6
"LCN",2021,6.5
"MEA",2019,1.1
"MEA",2020,-3.5
"MEA",2021,4.5
"SAS",2019,3.8
"SAS",2020,-5.2
"SAS",2021,8
"SSF",2019,2.6
"SSF",2020,-2.1
"SSF",2021,4.2
"WLT",1961,3.8
"WLT",1962,5.3
"WLT",1963,5.2
"WLT",1964,6.6
"WLT",1965,5.5
"WLT",1966,5.7
"WLT",1967,4.2
"WLT",1968,5.9
"WLT",1969,5.8
"WLT",1970,4
"WLT",1971,4.3
"WLT",1972,5.6
"WLT",1973,6.4
"WLT",1974,1.8
"WLT",1975,0.6
"WLT",1976,5.3
"WLT",1977,4.1
"WLT",1978,4.1
"WLT",1979,4.2
"WLT",1980,1.9
"WLT",1981,1.9
"WLT",1982,0.4
"WLT",1983,2.6
"WLT",1984,4.7
"WLT",1985,3.7
"WLT",1986,3.4
"WLT",1987,3.7
"WLT",1988,4.6
"WLT",1989,3.8
"WLT",1990,2.9
"WLT",1991,1.5
"WLT",1992,2.1
"WLT",1993,1.8
"WLT",1994,3.3
"WLT",1995,3.1
"WLT",1996,3.6
"WLT",1997,3.9
"WLT",1998,2.8
"WLT",1999,3.6
"WLT",2000,4.5
"WLT",2001,2
"WLT",2002,2.3
"WLT",2003,3.1
"WLT",2004,4.5
"WLT",2005,4
"WLT",2006,4.4
"WLT",2007,4.4
"WLT",2008,2.1
"WLT",2009,-1.3
"WLT",2010,4.5
"WLT",2011,3.3
"WLT",2012,2.7
"WLT",2013,2.8
"WLT",2014,3.1
"WLT",2015,3.1
"WLT",2016,2.8
"WLT",2017,3.4
"WLT",2018,3.3
"WLT",2019,2.6
"WLT",2020,-3.1
"WLT",2021,5.9
