"iso3c","GDP_growth_rate"
"WLD",-3.1
"GUY",43.5
"TLS",31.9
"IRL",6.2
"ETH",6.1
"ASM",5.1
"GIN",4.9
"TJK",4.4
"BEN",3.8
"EGY",3.6
"NER",3.6
"BGD",3.4
"IRN",3.3
"MMR",3.2
"STP",3
"UGA",3
"VNM",2.9
"SOM",2.5
"CHN",2.2
"CIV",2
"TZA",2
"BFA",1.9
"TUR",1.9
"UZB",1.9
"TGO",1.8
"COD",1.7
"TUV",1.5
"SEN",1.3
"DJI",1.2
"BRN",1.1
"NRU",1.1
"CAF",0.9
"MWI",0.8
"GMB",0.6
"GHA",0.5
"LAO",0.5
"TON",0.5
"GRL",0.4
"BDI",0.3
"CMR",0.3
"LTU",0
"AUS",-0.1
"COM",-0.2
"KEN",-0.3
"KIR",-0.5
"EST",-0.6
"BLR",-0.7
"KOR",-0.7
"NOR",-0.7
"LUX",-0.8
"PRY",-0.8
"MRT",-0.9
"SRB",-0.9
"MLI",-1.2
"MOZ",-1.2
"NZL",-1.3
"PAK",-1.3
"TCD",-1.6
"SWZ",-1.6
"JOR",-1.6
"GAB",-1.8
"GTM",-1.8
"MHL",-1.8
"FSM",-1.8
"NIC",-1.8
"NGA",-1.8
"ISR",-1.9
"DNK",-2
"POL",-2
"SLE",-2
"IDN",-2.1
"VIR",-2.1
"FIN",-2.2
"LVA",-2.2
"SWE",-2.2
"AFG",-2.4
"GNB",-2.4
"NPL",-2.4
"CHE",-2.4
"KAZ",-2.5
"RUS",-2.7
"USA",-2.8
"ZMB",-2.8
"LBR",-3
"BIH",-3.1
"KHM",-3.1
"WSM",-3.1
"PNG",-3.2
"HTI",-3.3
"OMN",-3.4
"RWA",-3.4
"SVK",-3.4
"SLB",-3.4
"ALB",-3.5
"LKA",-3.5
"QAT",-3.6
"SDN",-3.6
"DEU",-3.7
"ROU",-3.7
"UKR",-3.8
"BRA",-3.9
"NLD",-3.9
"SYR",-3.9
"BGR",-4
"CRI",-4.1
"SAU",-4.1
"SGP",-4.1
"GNQ",-4.2
"AZE",-4.3
"SVN",-4.3
"CYP",-4.4
"PRI",-4.4
"HUN",-4.5
"JPN",-4.5
"MNG",-4.6
"BHR",-4.9
"ARE",-5
"DZA",-5.1
"CAN",-5.2
"XKX",-5.3
"VCT",-5.3
"BEL",-5.4
"VUT",-5.4
"CZE",-5.5
"MYS",-5.5
"AGO",-5.6
"CYM",-5.7
"CHL",-6
"MKD",-6.1
"URY",-6.1
"COG",-6.2
"THA",-6.2
"ZAF",-6.3
"AUT",-6.5
"HKG",-6.5
"IND",-6.6
"SMR",-6.6
"DOM",-6.7
"BMU",-6.8
"GEO",-6.8
"ISL",-6.8
"COL",-7
"MDG",-7.1
"ARM",-7.2
"MAR",-7.2
"MDA",-7.4
"SYC",-7.7
"TTO",-7.7
"ECU",-7.8
"FRA",-7.8
"ZWE",-7.8
"MEX",-8
"NAM",-8
"SLV",-8.2
"MLT",-8.3
"PRT",-8.3
"KGZ",-8.4
"LSO",-8.4
"HRV",-8.6
"TUN",-8.6
"BOL",-8.7
"BWA",-8.7
"KWT",-8.9
"GRC",-9
"HND",-9
"ITA",-9
"PLW",-9.1
"PHL",-9.5
"ARG",-9.9
"BTN",-10
"PYF",-10
"JAM",-10
"CUB",-10.9
"PER",-11
"GBR",-11
"AND",-11.2
"IRQ",-11.3
"ESP",-11.3
"PSE",-11.3
"GUM",-11.4
"MCO",-13
"BRB",-13.3
"BLZ",-13.4
"GRD",-13.8
"KNA",-14.5
"MUS",-14.6
"CPV",-14.8
"MNE",-15.3
"SUR",-16
"DMA",-16.6
"FJI",-17
"PAN",-17.9
"CUW",-18.4
"ABW",-18.6
"ATG",-20.2
"LBN",-21.4
"BHS",-23.8
"LBY",-23.9
"LCA",-24.4
"TCA",-26.8
"MDV",-33.5
"MAC",-54.2
