"iso3c","growthb40","growthtotal"
"CHN",8.38,7.12
"IDN",5.06,4.93
"MNG",1.11,0.77
"MYS",7.01,4.97
"PHL",5.18,2.87
"THA",1.45,1.15
"VNM",5.15,5.26
"ALB",8.81,6.96
"ARM",1.26,2.4
"BLR",0.71,-0.02
"CZE",3.53,2.82
"EST",7.98,7.2
"GEO",2.65,1.42
"GRC",1.8,0.11
"HRV",5.47,4.28
"HUN",4.84,4.6
"KAZ",0,-0.55
"KGZ",3.15,2.44
"LTU",6.33,7.43
"LVA",7.91,8.23
"MDA",1.9,0.32
"MKD",7.06,4.31
"MNE",4.72,1.35
"POL",6.01,4.02
"ROU",10.02,9.96
"RUS",6.1,4.13
"SRB",3.89,1.48
"SVK",-0.58,-1.08
"SVN",2.2,1.52
"TUR",2.14,2.67
"UKR",-0.59,0.14
"XKX",2.36,1.89
"AUT",1.44,1.2
"BEL",0.44,0.42
"CHE",-0.26,0.34
"CYP",0.29,-0.78
"DEU",0.54,1.14
"DNK",1.34,1.68
"ESP",1.75,1.12
"FIN",0.58,0.65
"FRA",0.61,0.19
"GBR",1.76,2.42
"IRL",3.43,3.05
"ISL",3.15,3.31
"ITA",0.48,1.04
"LUX",-0.08,0.33
"MLT",3.8,3.74
"NLD",1.53,1.89
"NOR",0.44,1.02
"PRT",3.32,2
"SWE",1.39,1.98
"ISR",4.18,2.55
"USA",1.27,1.64
"ARG",-1.53,-1.43
"BOL",1.43,-1.72
"BRA",-0.72,0.46
"CHL",4.92,3.83
"COL",2.19,0.39
"CRI",1.07,0.14
"DOM",5.19,4.25
"ECU",1.26,0.47
"HND",1.11,0.89
"PAN",5.29,3.87
"PER",2.42,1.25
"PRY",1.88,0.41
"SLV",3.93,1.79
"URY",2,1.43
"EGY",-2.5,-1.13
"IRN",0.32,2.34
"PSE",-0.89,-0.55
"TUN",5.36,3.38
"BGD",1.35,1.54
"BTN",1.63,1.67
"LKA",3.65,4.12
"PAK",2.46,3.57
"BEN",-5.19,0.07
"BWA",0.42,-3.3
"ETH",0.92,2.14
"GHA",-0.2,1.27
"MUS",2.71,2.02
"MWI",3.05,1.57
"NAM",5.73,6.64
"RWA",0.31,-0.16
"SLE",2.67,2.86
"SWZ",4.67,6.14
"TGO",2.55,0.62
"TZA",-0.15,0.92
"UGA",-2.15,-0.96
"ZMB",-0.59,2.93
"ZWE",-3.75,-3.5
