"iso3c","tourism","change_gdp","pop"
"AFG","< 5% GDP",-22.60069512,40099462
"ALB",">= 10% GDP",4.737392477,2811666
"DZA","< 5% GDP",-1.7785,44177969
"AGO","< 5% GDP",-4.5616,34503774
"ATG",">= 10% GDP",-15.98583106,93219
"ARG","< 5% GDP",-0.5789080639,45808747
"ARM",">= 10% GDP",-1.9104,2790974
"ABW",">= 10% GDP",-4.608806005,106537
"AUS","< 5% GDP",2.184189199,25688079
"AUT","5-10% GDP",-2.191215275,8955797
"AZE","< 5% GDP",1.059235562,10137750
"BHS",">= 10% GDP",-13.37127126,407906
"BHR",">= 10% GDP",-2.820343847,1463265
"BGD","< 5% GDP",10.62594355,169356251
"BRB",">= 10% GDP",-13.47510024,281200
"BLR","< 5% GDP",1.584181667,9340314
"BEL","< 5% GDP",0.4436190603,11592952
"BEN","< 5% GDP",11.27964253,12996895
"BMU","5-10% GDP",-1.794596398,63867
"BTN","< 5% GDP",-6.33123881,777486
"BOL","< 5% GDP",-3.165598326,12079472
"BIH","5-10% GDP",4.190931706,3270943
"BWA","< 5% GDP",1.651418668,2588423
"BRA","< 5% GDP",0.5615728735,214326223
"BGR","5-10% GDP",3.373770343,6877743
"BFA","< 5% GDP",8.969981395,22100683
"CPV",">= 10% GDP",-8.858764965,587925
"KHM",">= 10% GDP",-0.1633145862,16589023
"CMR","< 5% GDP",3.919337138,27198628
"CYM",">= 10% GDP",-3.94926214,68136
"CHL","< 5% GDP",4.992448023,19493184
"COL","< 5% GDP",2.87632984,51516562
"COM","5-10% GDP",1.912508207,821625
"COG","< 5% GDP",-8.302057044,5835806
"CRI","5-10% GDP",3.221615898,5153957
"CIV","< 5% GDP",9.156049826,27478249
"HRV",">= 10% GDP",3.370221878,3899000
"CUB","< 5% GDP",-9.831550473,11256372
"CYP",">= 10% GDP",1.976167414,1244188
"CZE","< 5% GDP",-2.153781999,10505772
"ECU","< 5% GDP",-3.882180575,17797737
"EGY","< 5% GDP",7.015165262,109262178
"SLV","5-10% GDP",1.260765338,6314167
"EST","5-10% GDP",7.418307385,1330932
"SWZ","< 5% GDP",6.200712407,1192271
"FJI",">= 10% GDP",-21.24285714,924610
"FIN","< 5% GDP",0.7025261324,5541017
"FRA","< 5% GDP",-1.498640632,67749632
"PYF",">= 10% GDP",-9.078169957,304032
"GAB","< 5% GDP",-0.4023478855,2341179
"GMB",">= 10% GDP",4.882209293,2639916
"GEO",">= 10% GDP",2.997581125,3708610
"GHA","< 5% GDP",5.897948716,32833031
"GRC",">= 10% GDP",-1.329057493,10641221
"GTM","< 5% GDP",6.075899188,17109746
"GIN","< 5% GDP",9.012156761,13531906
"GNB","< 5% GDP",1.308802369,2060721
"HND","< 5% GDP",2.445684183,10278345
"HKG","5-10% GDP",-0.6170588642,7413100
"HUN","5-10% GDP",2.246408387,9709891
"IND","< 5% GDP",1.512527371,1407563842
"IDN","< 5% GDP",1.55001088,273753191
"IRN","< 5% GDP",8.207248404,87923432
"IRQ","< 5% GDP",-8.856054277,43533592
"IRL","< 5% GDP",20.61315546,5033165
"ISR","< 5% GDP",6.594751497,9364000
"ITA","< 5% GDP",-2.911723001,59109668
"JPN","< 5% GDP",-2.924516038,125681593
"JOR",">= 10% GDP",0.6236950133,11148278
"KAZ","< 5% GDP",1.6925,19000988
"KEN","< 5% GDP",7.248394589,53005614
"KIR","< 5% GDP",0.9447900573,128874
