"iso3c","year","value"
"EAS",2017,3.8
"EAS",2018,3.7
"EAS",2019,3.8
"EAS",2020,4.3
"EAS",2021,4
"EAS",2022,4.1
"ECS",2017,7.7
"ECS",2018,7.1
"ECS",2019,6.9
"ECS",2020,7.3
"ECS",2021,7.1
"ECS",2022,6.5
"LCN",2017,7.9
"LCN",2018,7.8
"LCN",2019,7.8
"LCN",2020,10
"LCN",2021,9.1
"LCN",2022,6.9
"MEA",2017,11
"MEA",2018,10.7
"MEA",2019,10
"MEA",2020,10.7
"MEA",2021,10.6
"MEA",2022,10.3
"NAC",2017,4.6
"NAC",2018,4.1
"NAC",2019,3.9
"NAC",2020,8.2
"NAC",2021,5.6
"NAC",2022,3.8
"SAS",2017,7
"SAS",2018,7
"SAS",2019,6.3
"SAS",2020,9.3
"SAS",2021,7.3
"SAS",2022,7
"SSF",2017,6.1
"SSF",2018,6.2
"SSF",2019,6.3
"SSF",2020,6.9
"SSF",2021,7.1
"SSF",2022,7.1
