"param","dateRel","key","val","predUpr","predLwr"
"no2",-80,"predic",34.80216017,37.74588547,31.85843486
"no2",-80,"observed",20.42713775,37.74588547,31.85843486
"no2",-79,"predic",13.30440524,14.55469842,12.05411206
"no2",-79,"observed",9.495146899,14.55469842,12.05411206
"no2",-78,"predic",14.92131492,16.06027301,13.78235682
"no2",-78,"observed",10.17195272,16.06027301,13.78235682
"no2",-77,"predic",17.94880106,19.34225696,16.55534517
"no2",-77,"observed",12.70229688,19.34225696,16.55534517
"no2",-76,"predic",18.33198521,19.83388114,16.83008928
"no2",-76,"observed",13.43949893,19.83388114,16.83008928
"no2",-75,"predic",18.23675126,19.85244522,16.6210573
"no2",-75,"observed",15.4167444,19.85244522,16.6210573
"no2",-74,"predic",19.7533156,21.11582621,18.390805
"no2",-74,"observed",13.88514363,21.11582621,18.390805
"no2",-73,"predic",18.28215272,19.4583574,17.10594804
"no2",-73,"observed",13.41153756,19.4583574,17.10594804
"no2",-72,"predic",15.96084843,16.98259464,14.93910223
"no2",-72,"observed",11.92478972,16.98259464,14.93910223
"no2",-71,"predic",13.79461374,14.71672983,12.87249766
"no2",-71,"observed",11.00159636,14.71672983,12.87249766
"no2",-70,"predic",10.98963784,11.76179876,10.21747692
"no2",-70,"observed",9.773689955,11.76179876,10.21747692
"no2",-69,"predic",11.43632996,12.25604768,10.61661224
"no2",-69,"observed",10.15711444,12.25604768,10.61661224
"no2",-68,"predic",11.69258077,12.53099178,10.85416975
"no2",-68,"observed",10.19819458,12.53099178,10.85416975
"no2",-67,"predic",12.02948643,12.9105691,11.14840375
"no2",-67,"observed",10.74346158,12.9105691,11.14840375
"no2",-66,"predic",11.7618474,12.65416683,10.86952796
"no2",-66,"observed",10.75511582,12.65416683,10.86952796
"no2",-65,"predic",11.42049991,12.31931677,10.52168305
"no2",-65,"observed",10.69087359,12.31931677,10.52168305
"no2",-64,"predic",11.32514877,12.19154053,10.458757
"no2",-64,"observed",10.84422547,12.19154053,10.458757
"no2",-63,"predic",10.45257522,11.15478131,9.750369127
"no2",-63,"observed",9.806066798,11.15478131,9.750369127
"no2",-62,"predic",10.63264041,11.31841561,9.946865208
"no2",-62,"observed",10.21811708,11.31841561,9.946865208
"no2",-61,"predic",11.60030393,12.41458072,10.78602713
"no2",-61,"observed",11.48639392,12.41458072,10.78602713
"no2",-60,"predic",12.02639834,12.86230483,11.19049186
"no2",-60,"observed",12.32899329,12.86230483,11.19049186
"no2",-59,"predic",11.71733488,12.43350136,11.0011684
"no2",-59,"observed",12.0734787,12.43350136,11.0011684
"no2",-58,"predic",21.97991952,24.01772229,19.94211675
"no2",-58,"observed",21.10645118,24.01772229,19.94211675
"no2",-57,"predic",24.7056321,26.96024146,22.45102274
"no2",-57,"observed",24.43242581,26.96024146,22.45102274
"no2",-56,"predic",27.94235303,30.33477415,25.54993192
"no2",-56,"observed",26.47004049,30.33477415,25.54993192
"no2",-55,"predic",31.70483307,33.96916165,29.4405045
"no2",-55,"observed",30.97207178,33.96916165,29.4405045
"no2",-54,"predic",33.58206871,35.82025482,31.34388259
"no2",-54,"observed",32.93741655,35.82025482,31.34388259
"no2",-53,"predic",33.2607433,35.4548701,31.06661651
"no2",-53,"observed",32.02703202,35.4548701,31.06661651
"no2",-52,"predic",32.92622779,35.12531733,30.72713825
"no2",-52,"observed",30.81568409,35.12531733,30.72713825
"no2",-51,"predic",32.68536904,34.90049251,30.47024558
"no2",-51,"observed",30.31447681,34.90049251,30.47024558
"no2",-50,"predic",32.69113415,34.93024854,30.45201977
"no2",-50,"observed",29.81483425,34.93024854,30.45201977
"no2",-49,"predic",32.64982197,34.89262394,30.40701999
"no2",-49,"observed",30.31612866,34.89262394,30.40701999
"no2",-48,"predic",32.79413318,34.9161089,30.67215746
"no2",-48,"observed",31.00773955,34.9161089,30.67215746
"no2",-47,"predic",33.33372189,35.33693131,31.33051247
"no2",-47,"observed",32.2806899,35.33693131,31.33051247
"no2",-46,"predic",33.37809474,35.3882198,31.36796968
"no2",-46,"observed",33.77359821,35.3882198,31.36796968
"no2",-45,"predic",33.18524246,35.20337713,31.1671078
"no2",-45,"observed",34.36972232,35.20337713,31.1671078
"no2",-44,"predic",33.0994558,35.08181028,31.11710132
"no2",-44,"observed",34.20512812,35.08181028,31.11710132
"no2",-43,"predic",32.92876142,35.10664436,30.75087847
"no2",-43,"observed",32.69144027,35.10664436,30.75087847
"no2",-42,"predic",32.52746897,34.70054198,30.35439595
"no2",-42,"observed",31.60870491,34.70054198,30.35439595
"no2",-41,"predic",32.29446404,34.38843854,30.20048954
"no2",-41,"observed",31.00098572,34.38843854,30.20048954
"no2",-40,"predic",32.28550251,34.25507126,30.31593376
"no2",-40,"observed",30.1705116,34.25507126,30.31593376
"no2",-39,"predic",32.4392624,34.41978619,30.45873861
"no2",-39,"observed",29.80726335,34.41978619,30.45873861
"no2",-38,"predic",32.59796759,34.37485551,30.82107967
"no2",-38,"observed",30.52011859,34.37485551,30.82107967
"no2",-37,"predic",32.59077269,34.28860651,30.89293888
"no2",-37,"observed",31.39847684,34.28860651,30.89293888
"no2",-36,"predic",32.98816635,34.72692252,31.24941018
"no2",-36,"observed",31.29777036,34.72692252,31.24941018
"no2",-35,"predic",33.59199426,35.37936004,31.80462847
"no2",-35,"observed",32.38535574,35.37936004,31.80462847
"no2",-34,"predic",33.55236837,35.37076973,31.73396702
"no2",-34,"observed",33.97268092,35.37076973,31.73396702
"no2",-33,"predic",33.29842421,35.13998028,31.45686814
"no2",-33,"observed",34.7299932,35.13998028,31.45686814
"no2",-32,"predic",33.44521985,35.34433614,31.54610355
"no2",-32,"observed",34.96471418,35.34433614,31.54610355
"no2",-31,"predic",32.9039938,34.92818392,30.87980367
"no2",-31,"observed",34.57033123,34.92818392,30.87980367
"no2",-30,"predic",32.29764248,34.36963763,30.22564734
"no2",-30,"observed",33.55108935,34.36963763,30.22564734
"no2",-29,"predic",31.86671816,34.00135849,29.73207783
"no2",-29,"observed",32.04411935,34.00135849,29.73207783
"no2",-28,"predic",31.5865136,33.84785883,29.32516838
"no2",-28,"observed",31.37425108,33.84785883,29.32516838
"no2",-27,"predic",31.17416797,33.42375091,28.92458502
"no2",-27,"observed",30.65739704,33.42375091,28.92458502
"no2",-26,"predic",31.21026138,33.30955274,29.11097002
"no2",-26,"observed",30.55275391,33.30955274,29.11097002
"no2",-25,"predic",31.14365452,33.19914224,29.0881668
"no2",-25,"observed",31.23836307,33.19914224,29.0881668
"no2",-24,"predic",31.39377739,33.35268693,29.43486784
"no2",-24,"observed",32.09249468,33.35268693,29.43486784
"no2",-23,"predic",31.45960867,33.3573643,29.56185304
"no2",-23,"observed",32.10715587,33.3573643,29.56185304
"no2",-22,"predic",29.98753356,31.74388081,28.23118632
"no2",-22,"observed",28.21553792,31.74388081,28.23118632
"no2",-21,"predic",32.12873487,33.95824151,30.29922823
"no2",-21,"observed",30.92254946,33.95824151,30.29922823
"no2",-20,"predic",33.66057814,35.5753537,31.74580258
"no2",-20,"observed",33.12342105,35.5753537,31.74580258
"no2",-19,"predic",35.03314083,37.04975775,33.01652391
"no2",-19,"observed",34.85492869,37.04975775,33.01652391
"no2",-18,"predic",35.99615952,38.07224571,33.92007334
"no2",-18,"observed",36.23465279,38.07224571,33.92007334
"no2",-17,"predic",35.49729065,37.51880266,33.47577863
"no2",-17,"observed",36.94846683,37.51880266,33.47577863
"no2",-16,"predic",35.06371839,37.12792019,32.99951658
"no2",-16,"observed",36.89607509,37.12792019,32.99951658
"no2",-15,"predic",34.6808249,36.76397243,32.59767737
"no2",-15,"observed",36.07465192,36.76397243,32.59767737
"no2",-14,"predic",34.30882309,36.39332178,32.2243244
"no2",-14,"observed",35.58854015,36.39332178,32.2243244
"no2",-13,"predic",34.37307086,36.43927875,32.30686298
"no2",-13,"observed",35.21661082,36.43927875,32.30686298
"no2",-12,"predic",34.42631789,36.4618768,32.39075899
"no2",-12,"observed",34.78758489,36.4618768,32.39075899
"no2",-11,"predic",34.56404263,36.4872085,32.64087677
"no2",-11,"observed",34.93262732,36.4872085,32.64087677
"no2",-10,"predic",35.2956087,37.13081568,33.46040172
"no2",-10,"observed",35.76517916,37.13081568,33.46040172
"no2",-9,"predic",35.80539472,37.73502434,33.87576509
"no2",-9,"observed",36.19888256,37.73502434,33.87576509
"no2",-8,"predic",35.22127829,37.16804724,33.27450934
"no2",-8,"observed",35.43862841,37.16804724,33.27450934
"no2",-7,"predic",34.37241065,36.40695523,32.33786608
"no2",-7,"observed",34.37520748,36.40695523,32.33786608
"no2",-6,"predic",33.71213847,35.81564516,31.60863179
"no2",-6,"observed",33.67140219,35.81564516,31.60863179
"no2",-5,"predic",32.88432313,35.01120803,30.75743823
"no2",-5,"observed",32.57118367,35.01120803,30.75743823
"no2",-4,"predic",32.53172867,34.48157262,30.58188472
"no2",-4,"observed",32.22404538,34.48157262,30.58188472
"no2",-3,"predic",33.26234022,35.12072422,31.40395622
"no2",-3,"observed",33.05676983,35.12072422,31.40395622
"no2",-2,"predic",34.19052759,36.02076062,32.36029456
"no2",-2,"observed",33.84459012,36.02076062,32.36029456
"no2",-1,"predic",34.80011425,36.65395157,32.94627692
"no2",-1,"observed",33.80575665,36.65395157,32.94627692
"no2",0,"predic",34.73403143,36.69153174,32.77653112
"no2",0,"observed",33.23474939,36.69153174,32.77653112
"no2",1,"predic",33.9106454,36.01358398,31.80770681
"no2",1,"observed",32.51002245,36.01358398,31.80770681
"no2",2,"predic",33.10035766,35.37903418,30.82168115
"no2",2,"observed",30.90748725,35.37903418,30.82168115
"no2",3,"predic",32.38859856,34.69375821,30.08343892
"no2",3,"observed",29.84412594,34.69375821,30.08343892
"no2",4,"predic",31.9125669,34.17772362,29.64741017
"no2",4,"observed",28.20207578,34.17772362,29.64741017
"no2",5,"predic",31.89025334,34.14822033,29.63228635
"no2",5,"observed",27.039219,34.14822033,29.63228635
"no2",6,"predic",32.17420106,34.45604854,29.89235358
"no2",6,"observed",25.35141147,34.45604854,29.89235358
"no2",7,"predic",32.14944723,34.50860119,29.79029328
"no2",7,"observed",23.88565634,34.50860119,29.79029328
"no2",8,"predic",32.26842297,34.70198698,29.83485897
"no2",8,"observed",22.55960581,34.70198698,29.83485897
"no2",9,"predic",32.41333864,34.89953929,29.92713799
"no2",9,"observed",22.25836992,34.89953929,29.92713799
"no2",10,"predic",31.42601856,33.81661877,29.03541834
"no2",10,"observed",21.52092929,33.81661877,29.03541834
"no2",11,"predic",31.59078415,33.86406291,29.31750539
"no2",11,"observed",21.08243105,33.86406291,29.31750539
"no2",12,"predic",31.55457674,33.75109222,29.35806125
"no2",12,"observed",20.88862662,33.75109222,29.35806125
"no2",13,"predic",30.95068109,33.06674216,28.83462003
"no2",13,"observed",20.61509723,33.06674216,28.83462003
"no2",14,"predic",30.24309348,32.37283108,28.11335588
"no2",14,"observed",20.0551109,32.37283108,28.11335588
"no2",15,"predic",30.086236,32.31092923,27.86154277
