"iso3c","year","passengers","freight","departures"
"ABW",2017,223502,,2132
"ABW",2018,274280,,2276
"AFG",1973,96600,1,3700
"AFG",1974,96100,13,4300
"AFG",1975,99000,10,4700
"AFG",1976,101700,13,4500
"AFG",1977,111200,14,4900
"AFG",1978,100400,13,4800
"AFG",1979,93000,19,4900
"AFG",1980,76200,21,4200
"AFG",1981,129100,19,4200
"AFG",1982,181000,18,5400
"AFG",1983,200200,11,5700
"AFG",1984,220400,20,6200
"AFG",1985,225500,20,6400
"AFG",1986,184400,8,5800
"AFG",1987,217900,8,6000
"AFG",1988,201000,9,5900
"AFG",1989,220000,12,5200
"AFG",1990,241400,9,5300
"AFG",1991,212300,8,5300
"AFG",1992,212300,8,5300
"AFG",1993,197000,7,5100
"AFG",1994,238400,12,7000
"AFG",1995,250400,13,7300
"AFG",1996,255600,14,7500
"AFG",1997,89600,35,4600
"AFG",1998,52700,15,1900
"AFG",1999,140200,7,3400
"AFG",2000,149705,8,3409
"AFG",2010,1999127,108,21677
"AFG",2011,2279341,109,25021
"AFG",2012,1737962,117,17775
"AFG",2013,2044188,85,21696
"AFG",2014,2209428,34,25920
"AFG",2015,1929907,33,23532
"AFG",2016,1917924,29,22770
"AFG",2017,1647425,21,24207
"AFG",2018,1125367,30,10454
"AFG",2019,1066747,20,7334
"AFG",2020,449041,20,4636
"AFG",2021,293213,12,2866
"AGO",1976,155400,14,2600
"AGO",1977,282700,13,4800
"AGO",1978,308000,14,5000
"AGO",1979,546100,16,11900
"AGO",1980,635200,21,12800
"AGO",1981,801100,33,15000
"AGO",1982,890500,21,13900
"AGO",1983,952500,46,22400
"AGO",1984,689600,25,10700
"AGO",1985,894200,33,13100
"AGO",1986,727000,25,11100
"AGO",1987,746000,26,11100
"AGO",1988,750000,27,11000
"AGO",1989,509800,52,6800
"AGO",1990,451500,40,6900
"AGO",1991,456000,42,7000
"AGO",1992,440000,42,6900
"AGO",1993,333500,29,5600
"AGO",1994,519000,56,7600
"AGO",1995,552500,58,7300
"AGO",1996,585000,62,7700
"AGO",1997,555000,42,7300
"AGO",1998,552900,38,7400
"AGO",1999,293800,52,5100
"AGO",2000,235448,61,4399
"AGO",2001,193317,51,4354
"AGO",2002,189619,51,4343
"AGO",2003,198253,56,4633
"AGO",2004,222032,64,4849
"AGO",2005,239795,68,4948
"AGO",2006,262666,81,4965
"AGO",2007,277361,73,5277
"AGO",2008,283887,71,3361
"AGO",2009,274869,64,3236
"AGO",2010,1010194,48,17060
"AGO",2011,987798,51,12282
"AGO",2012,1132424,71,13072
"AGO",2013,1321872,70,14496
"AGO",2014,1409952,66,13716
"AGO",2015,1244491,46,13116
"AGO",2016,1482546,44,15482
"AGO",2017,1375523,67,13494
"AGO",2018,1516628,78,13978
"AGO",2019,1436959,68,13647
"AGO",2020,356695,29,3792
"AGO",2021,311488,31,3805
"ALB",1994,9100,,600
"ALB",1995,13000,,600
"ALB",1996,29000,,1400
"ALB",1997,55400,,1900
"ALB",1998,21200,,1100
"ALB",1999,91500,,2700
"ALB",2000,136622,0,3885
"ALB",2001,146273,0,3974
"ALB",2002,137569,0,3762
"ALB",2003,158888,0,3800
"ALB",2004,179543,0,4104
"ALB",2005,195702,0,4309
"ALB",2006,213315,0,4481
"ALB",2007,238913,0,4930
"ALB",2008,243691,0,5058
"ALB",2009,231263,0,5140
"ALB",2010,768533,0,9412
"ALB",2011,829779,0,10373
"ALB",2012,814340,0,10309
