"year","road","rail","shipping","aviation","pipelines"
2000,4.25,0.09,0.63,0.67,0.13
2001,4.32,0.08,0.6,0.66,0.13
2002,4.44,0.08,0.62,0.66,0.14
2003,4.55,0.09,0.63,0.66,0.14
2004,4.72,0.09,0.68,0.7,0.15
2005,4.8,0.1,0.7,0.73,0.15
2006,4.89,0.11,0.75,0.74,0.15
2007,5.03,0.1,0.79,0.76,0.16
2008,5.06,0.1,0.78,0.75,0.16
2009,5.03,0.08,0.75,0.71,0.13
2010,5.21,0.09,0.8,0.75,0.15
2011,5.28,0.1,0.81,0.78,0.15
2012,5.38,0.09,0.77,0.78,0.13
2013,5.54,0.09,0.78,0.8,0.14
2014,5.62,0.09,0.8,0.83,0.14
2015,5.78,0.09,0.82,0.87,0.13
2016,5.87,0.09,0.84,0.92,0.14
2017,5.96,0.09,0.88,0.98,0.14
2018,6.09,0.1,0.88,1.02,0.15
2019,6.08,0.1,0.87,1.04,0.15
2020,5.48,0.09,0.8,0.59,0.14
2021,5.86,0.09,0.84,0.71,0.15
