"year","income","value"
2000,"LIC",27.89409
2001,"LIC",27.77038
2002,"LIC",27.82487
2003,"LIC",27.86805
2004,"LIC",27.61725
2005,"LIC",27.49711
2006,"LIC",27.29105
2007,"LIC",27.07817
2008,"LIC",27.05012
2009,"LIC",27.11224
2010,"LIC",27.06514
2011,"LIC",27.04577
2012,"LIC",26.93909
2013,"LIC",26.97386
2014,"LIC",27.27951
2015,"LIC",27.59403
2016,"LIC",27.98711
2017,"LIC",27.8158
2018,"LIC",27.90925
2019,"LIC",28.45484
2000,"LMC",17.77453
2001,"LMC",17.90809
2002,"LMC",18.04282
2003,"LMC",17.98272
2004,"LMC",17.96806
2005,"LMC",18.24475
2006,"LMC",18.29372
2007,"LMC",18.28713
2008,"LMC",18.35115
2009,"LMC",18.2724
2010,"LMC",18.37547
2011,"LMC",18.10454
2012,"LMC",17.86023
2013,"LMC",17.5193
2014,"LMC",17.11177
2015,"LMC",16.92118
2016,"LMC",16.74845
2017,"LMC",16.71553
2018,"LMC",16.85243
2019,"LMC",16.92648
2000,"UMC",21.37701
2001,"UMC",21.60019
2002,"UMC",21.85846
2003,"UMC",21.43962
2004,"UMC",21.09682
2005,"UMC",21.18056
2006,"UMC",21.15912
2007,"UMC",21.26088
2008,"UMC",20.78643
2009,"UMC",20.40451
2010,"UMC",20.27515
2011,"UMC",20.63694
2012,"UMC",20.31917
2013,"UMC",19.59043
2014,"UMC",19.0066
2015,"UMC",18.38175
2016,"UMC",17.98838
2017,"UMC",17.6661
2018,"UMC",17.34257
2019,"UMC",17.04914
2000,"HIC",14.04428
2001,"HIC",13.54887
2002,"HIC",13.36619
2003,"HIC",12.93701
2004,"HIC",12.53162
2005,"HIC",12.26074
2006,"HIC",11.91879
2007,"HIC",11.30494
2008,"HIC",10.48845
2009,"HIC",9.561291
2010,"HIC",9.044169
2011,"HIC",8.91359
2012,"HIC",8.720076
2013,"HIC",8.262496
2014,"HIC",8.114184
2015,"HIC",8.321672
2016,"HIC",8.495959
2017,"HIC",8.43904
2018,"HIC",8.380199
2019,"HIC",8.420084
