"iso3c","transport_road","gdppcap"
"WLD",706,17110.46554
"CAN",3419,46572.13743
"CHL",1198,24849.70664
"COL",535,14854.52172
"CRI",972,22117.92711
"MEX",816,19165.35778
"USA",3902,63027.67953
"AUS",3047,53358.20808
"ISR",1745,39489.28078
"JPN",1315,42100.25769
"KOR",1830,45403.03259
"NZL",2499,44657.77372
"AUT",2351,55685.97029
"BEL",1753,53096.14142
"DNK",1783,60229.91477
"EST",1648,37644.00382
"FIN",1777,50937.16075
"FRA",1497,46858.21592
"DEU",1669,54844.54597
"GRC",1205,27953.76213
"HUN",1234,33274.34766
"ISL",2205,53616.68471
"IRL",1904,93355.55516
"ITA",1300,41995.35753
"LVA",1548,31424.90221
"LTU",2100,38880.54527
"LUX",7383,117846.1365
"NLD",1438,59266.90858
"NOR",1534,62644.84574
"POL",1572,34449.32341
"PRT",1344,34177.08571
"SVK",1228,31356.45828
"SVN",2130,39725.25919
"ESP",1442,37754.56863
"SWE",1404,55064.88501
"CHE",1643,71731.96058
"GBR",1346,46526.91187
"ALB",501,13759.54243
"ARM",763,14089.23938
"AZE",622,14478.52445
"BLR",1000,20278.47395
"BIH",1108,15336.9107
"BGR",1271,24799.07454
"HRV",1364,29106.58772
"CYP",2014,40611.70313
"GEO",916,14731.20059
"KAZ",1100,26750.44623
"XKX",727,11292.86265
"KGZ",206,4985.029555
"MLT",1017,43711.5058
"MDA",757,12870.01602
"MNE",1104,20107.69856
"MKD",944,16984.36046
"ROU",903,32680.99374
"RUS",1013,29936.92969
"SRB",942,19173.19609
"TJK",177,3851.942913
"UKR",450,13087.30957
"UZB",419,7746.430969
"DZA",872,11438.69116
"AGO",170,6362.636076
"BEN",509,3360.987416
"BWA",895,14287.51059
"CMR",129,3866.254472
"COG",190,3570.016965
"CIV",149,5377.785528
"COD",22,1101.250402
"EGY",488,12004.12593
"GNQ",297,15961.11386
"SWZ",612,8744.438693
"ETH",64,2376.635601
"GAB",82,14664.71093
"GHA",275,5551.786802
"KEN",187,4744.739268
"LBY",2425,17851.01172
"MDG",40,1514.861688
"MUS",765,21331.81412
"MAR",449,7959.256348
"MOZ",101,1300.510773
"NAM",696,9543.712734
"NER",46,1281.061929
"NGA",243,5131.526238
"RWA",45,2180.877349
"SEN",160,3569.209139
"ZAF",697,13517.78059
"SDN",233,4087.006104
"TZA",110,2690.924561
"TGO",131,2180.16961
"TUN",571,10571.90084
"UGA",69,2363.192032
"ZMB",135,3358.005322
"ZWE",131,2099.320459
"BGD",47,5897.588948
"BRN",2753,64977.30631
"KHM",334,4510.372357
"IND",183,6448.870196
"IDN",415,12146.40679
"LAO",335,8189.14621
"MYS",1822,27245.62042
"MNG",605,12305.71791
"MMR",80,5218.024537
"NPL",181,3967.820179
"PAK",199,5278.418602
"PHL",233,8198.967501
"SGP",1033,99681.29415
"LKA",391,13812.95748
"THA",1007,17771.30717
"VNM",323,11022.957
"CHN",515,17189.28179
"HKG",1045,58949.46595
"ARG",758,20763.28855
"BOL",735,8100.529346
"BRA",789,14789.87856
"CUW",6638,20681.24467
"DOM",509,17686.75904
"ECU",848,10924.18012
"SLV",492,8720.011997
"GTM",507,8849.717743
"GUY",1102,19439.93098
"HTI",124,3121.145757
"HND",189,5303.514499
"JAM",551,9701.890533
"NIC",299,5465.507439
"PAN",849,26907.35892
"PRY",965,14046.65222
"PER",589,11789.02928
"SUR",704,16168.69082
"TTO",1549,24672.3557
"URY",999,23024.09891
"BHR",1887,50468.2538
"IRN",1500,15222.75974
"IRQ",714,9408.295527
"JOR",696,9707.404182
"KWT",3044,46328.07946
"LBN",925,14535.68092
"OMN",1963,34910.85327
"QAT",4099,93894.25275
"SAU",3472,45240.67609
"ARE",3006,71374.18105
