"year","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","GUY","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAR","MDA","MDG","MDV","MEX","MHL","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NRU","NZL","OMN","PAK","PAN","PER","PHL","PLW","PNG","POL","PRK","PRT","PRY","QAT","ROU","RUS","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
1990,1.6707,1.0408,0.72469997,11.5425,29.046101,3.0604999,0.1002,63.9245,14.0107,6.3978,0.1331,20.712799,0.1689,0.27090001,1.7155,6.6564999,1.0197001,0.2428,2.247,11.9454,0.1097,2.3197,84.445602,0.271,0.5704,0.044500001,0.6692,0.075900003,128.5611,14.9485,9.3111,96.282402,1.2256,1.7966,0.58560002,0.52560002,16.867001,0.0418,0.039500002,1.6293,5.2097998,1.1947,7.1294999,163.2061,0.046399999,0.038800001,10.5717,2.3731999,16.1856,8.0163002,16.537201,,64.720001,2.4377,0.94819999,12.0325,0.4084,116.2111,0,0.3308,118.3819,3.8204,1.6641999,0.27160001,0.077100001,0.056600001,0.019300001,15.4417,0.042199999,1.7526,0.2669,1.0700001,3.6717,0.43849999,8.6899996,32.9772,66.015701,5.0283999,40.1394,22.3228,0.64539999,8.2567997,98.494301,1.1191,2.7962999,216.1622,14.9863,2.7693999,6.1760001,,0.0118,0.032200001,44.660198,2.9324,,1.9272,0.1059,6.3499999,0.082800001,2.5546999,0.245,5.6887002,2.6919,3.1933,3.9809999,2.4999001,0.54369998,0.1236,86.117104,0,0.78939998,0,0.46180001,1.3735,,1.6108,0.6207,0.24969999,0.4499,0.41580001,14.9473,,0.2172,12.1131,0.76190001,27.719299,10.2927,0.34540001,0.032200001,8.9132996,1.7376,14.1528,1.3075,7.3189001,14.0367,0,0.64960003,20.8517,5.7392998,9.9406004,1.6617,1.5148,12.0377,305.91089,50.591999,4.0419002,0.74510002,4.1602998,0.096000001,0.1113,1.2968,0.3073,4.5804,,0.016100001,,4.1788998,2.7003,20.416901,0.41420001,0.050799999,7.4327998,0.26350001,0.43720001,28.638399,0.75709999,9.9406996,0,0.064199999,1.3873,2.5511999,28.5445,0.0020999999,0.71640003,0.61189997,56.4627,1.554,1468.604,7.9453001,0.045200001,29.4412,4.2637,0.036400001,0.047499999,4.1258001,30.3766,0.80000001,2.1602001
1991,1.5503,1.2857,0.54830003,11.8798,30.7064,2.9967999,0.1037,62.419102,15.4688,4.9186001,0.1583,20.9004,0.13330001,0.27739999,1.8911,3.5920999,1.0357,0.2173,1.9095,12.7412,0.1426,2.437,88.383904,0.2714,0.61549997,0.044599999,0.73019999,0.085500002,124.6907,15.4058,9.7175999,103.0563,1.2136,1.6055,0.49559999,0.55470002,17.6203,0.0449,0.035100002,1.6932,3.8169,1.1909,6.3376002,166.1454,0.050799999,0.038899999,11.2073,2.3418,17.278999,8.2136002,17.2955,,67.408501,2.2244999,0.95490003,11.7098,0.41859999,119.8789,0,0.40259999,117.7505,2.8850999,1.5445,0.28459999,0.080399998,0.055,0.022600001,16.269501,0.042300001,1.8293999,0.2447,1.0601,3.0153,0.4093,7.6040001,36.696201,68.611801,5.2177,43.389599,18.8092,0.65490001,8.5281,100.4361,1.0596,2.5927999,226.6882,18.8207,2.8309,4.7688999,,0.0125,0.032200001,50.080601,1.9630001,,2.4089999,0.0836,6.4000001,0.090599999,2.5701001,0.24529999,6.2790999,3.2298999,2.9196,4.4212999,2.3452001,0.60350001,0.1268,92.161201,0,0.79570001,0,0.51950002,1.2836,,1.0358,0.50980002,0.25940001,0.4594,0.4447,16.0872,0.4932,0.2043,15.7895,0.82669997,28.213499,10.4112,0.41100001,0.032200001,8.9118996,1.8627,14.671,1.3659,6.5450001,14.228,0,0.65329999,21.7278,4.3887,10.6202,1.5646,1.5276999,10.544,299.92981,52.706699,3.1949,0.76480001,5.0398998,0.1048,0.1241,1.4138,0.29159999,3.2711999,,0.016100001,,3.4686,2.5511,20.118099,0.421,0.054000001,7.7996001,0.27000001,0.3301,29.4132,0.75709999,8.8922005,0,0.067400001,1.462,2.6194,27.2223,0.0024999999,0.67070001,0.63129997,67.9021,1.6513,1440.667,7.1683002,0.045200001,31.193001,4.0275998,0.0372,0.0546,5.2684999,30.4172,1.0032001,1.6289001
1992,0.77350003,1.214,0.41890001,12.0663,32.807301,1.8927,0.1398,63.939899,15.4879,4.1255999,0.1331,21.735399,0.1202,0.28060001,2.1777999,3.9460001,1.149,0.2236,1.0858999,11.7698,0.28259999,2.4049001,89.081802,0.3617,0.67400002,0.047699999,0.83719999,0.091799997,129.0295,15.7626,10.5451,113.8673,1.1676,1.6079,0.45379999,0.4831,18.575701,0.045600001,0.037,2.4547,2.6598001,1.3397,8.1289997,168.739,0.054499999,0.0524,11.1756,2.5202,17.1957,8.3331003,17.9643,0.1193,71.055496,1.1081001,0.7428,11.6622,0.4409,122.4182,0.0484,0.37689999,119.2496,2.3855,1.8427,0.2845,0.080300003,0.0502,0.022600001,16.6847,0.057,1.9155999,0.23800001,1.1926,2.8491001,0.41929999,7.3499999,38.809399,70.257698,5.5987,45.2854,23.8622,0.65189999,9.3178997,105.6295,1.1023,2.7370999,231.59441,16.462299,2.6282001,2.7764001,,0.0128,0.047800001,55.697601,4.6788998,,3.3434999,0.093199998,6.4899998,0.1411,2.8608,0.25150001,4.1508999,3.526,2.5578001,4.8969998,2.296,0.6099,0.18719999,92.474899,0.033399999,0.79570001,0,0.53860003,1.0637,,0.92610002,0.69950002,0.2755,0.5108,0.45050001,17.196199,0.52700001,0.19769999,19.260201,0.9465,29.7321,10.6674,0.44549999,0.0306,9.3100004,2.0141001,16.5116,1.4691,7.0718002,16.1985,0.099699996,0.65329999,22.1054,3.5757999,11.5566,1.8717,1.6281,10.7565,287.0838,55.863098,3.1863999,0.80400002,4.8683,0.1138,0.1303,1.637,0.26899999,2.3171999,,0.016100001,,3.6328001,2.6347001,20.9214,0.4305,0.066799998,7.3301001,0.2863,0.278,31.238199,0.37850001,6.9702001,0,0.0506,1.3973,2.697,27.8016,0.003,0.69980001,0.63120002,41.9669,1.775,1472.865,5.6106,0.065200001,30.7099,4.5172,0.032000002,0.061700001,5.5489001,30.9146,0.95880002,2.2778001
1993,0.74449998,1.2395999,0.52020001,12.8833,35.138302,1.2302001,0.1258,65.067497,15.6357,3.8050001,0.1424,22.2666,0.1202,0.28709999,2.2356999,4.4700999,1.1906,0.1763,0.87129998,9.9334002,0.25819999,2.7735,92.653503,0.3118,0.70300001,0.047699999,0.82300001,0.094899997,131.0605,14.7064,11.6856,128.95889,1.1318001,1.7302001,0.4569,0.4831,18.849199,0.048599999,0.034200002,2.5332999,1.9954,1.3595001,8.1714001,173.4277,0.054400001,0.0495,11.4499,2.7319,17.3601,8.3605003,18.682199,0.2173,70.0289,1.2002,0.89520001,11.4233,0.42829999,123.5474,0.0493,0.40290001,120.4163,2.0492001,1.8556,0.29069999,0.080300003,0.054699998,0.0162,16.901899,0.049699999,2.1022999,0.2413,1.3511,2.9862001,0.38999999,7.3298001,41.432598,70.325401,5.6387,51.0812,25.115499,0.64889997,9.7990999,107.5867,1.1928999,2.8197,236.8877,13.7171,2.4488001,1.6188,,0.0166,0.041700002,62.837299,4.9334998,,3.8985,0.0995,7.6322999,0.1389,3.0606999,0.25130001,3.1803,3.5571001,2.3650999,5.3309002,1.4878,0.62889999,0.1552,94.607399,0.033399999,1.4985,0,0.6085,1.6236,,1.0293,0.86580002,0.28200001,0.54949999,0.45989999,17.909,0.54659998,0.2137,16.536501,0.97259998,30.6166,11.2777,0.4905,0.0306,9.7088003,2.1464,18.8585,1.5821,7.2305999,17.273199,0.1004,0.69809997,21.5221,3.2098,12.1338,2.3310001,1.7218,8.6398001,240.841,58.860298,2.0934,0.7719,4.8312998,0.1232,0.1303,1.7891001,0.25909999,2.7639,,0.016100001,,3.0084,3.1801,19.989,0.4332,0.060400002,7.6929002,0.2863,0.1714,36.734402,0.3028,7.1673002,0,0.0561,1.2561001,3.0287001,33.0788,0.0033,0.72869998,0.6178,36.292198,2.0025001,1497.045,4.9338002,0.068300001,32.915199,7.0580001,0.031399999,0.068700001,4.5265999,31.1534,0.6832,2.0255001
1994,0.71490002,1.5752,0.65270001,12.7625,34.619701,0.16410001,0.12620001,66.750397,15.6868,3.3397,0.1425,22.8549,0.1235,0.28049999,2.2804999,4.0794001,1.2130001,0.1714,0.99010003,7.0198002,0.25139999,2.8836,96.9356,0.32210001,0.74479997,0.054099999,0.79329997,0.098099999,137.4492,15.0606,12.6389,119.3653,1.1252,1.8048,0.46630001,0.2978,17.557301,0.0493,0.034200002,2.6603999,1.9413,1.4136,8.7741003,170.6545,0.051600002,0.052000001,11.9022,3.2370999,15.8892,8.8816996,20.459299,0.29589999,72.411301,1.4256999,0.99879998,11.8756,0.412,124.3989,0.053399999,0.32139999,120.7483,1.5197001,1.9321001,0.29089999,0.080300003,0.0469,0.016100001,17.003901,0.0559,2.2316,0.41679999,1.5747,3.1738,0.1169,7.1444001,46.410999,72.649902,5.8617001,58.1702,25.4021,0.67739999,10.5339,107.3675,1.1961,2.8210001,249.45,9.3936996,2.3375001,0.51419997,,0.016899999,0.044300001,66.045898,5.2034001,,3.6614001,0.099600002,9.0671997,0.15360001,3.5583,0.25470001,2.5039001,3.6094999,2.1877,5.7582002,1.3523,0.713,0.1477,100.443,0.0339,0.96090001,0,0.6085,1.8662,,0.69940001,0.70910001,0.29809999,0.55870003,0.46669999,19.784,0.58990002,0.21359999,13.2804,1.0348001,30.0438,11.1118,0.56660002,0.0306,10.3873,2.1788001,19.9347,1.6918,8.1945,18.860399,0.1009,0.70779997,22.2194,2.1670001,12.7527,2.6256001,1.8324,9.1570997,211.38091,62.7523,3.0407,0.75870001,5.2543998,0.13590001,0.14,1.9055001,0.23999999,2.6874001,,0.019300001,,3.4375,3.5504999,20.716101,0.44310001,0.066799998,7.7136998,0.2994,0.333,40.849499,0.2018,4.3193002,0,0.0704,1.3202,3.1647999,32.126701,0.0038999999,0.72869998,0.56870002,33.0112,2.2528999,1551.218,4.4115,0.073899999,33.416599,7.7834001,0.030099999,0.074199997,4.5700998,32.295502,0.8387,1.801
1995,0.68269998,1.0962,0.64520001,13.4078,36.062599,0.1167,0.1407,69.505898,15.905,3.4419999,0.1488,23.0047,0.1235,0.34540001,2.7535999,4.3413,1.2649,0.20550001,1.0188,6.9555001,0.27509999,3.2056999,107.2145,0.32609999,0.7999,0.07,0.9174,0.1013,141.1071,14.8052,13.977,130.6543,1.263,1.7502,0.46630001,0.4278,20.9582,0.0515,0.037599999,2.6543,2.0213001,1.5008,7.4650002,172.58701,0.055300001,0.053199999,12.0371,3.6104,15.4617,8.4597998,21.6905,0.33840001,73.658897,1.434,1.119,11.6628,0.42789999,125.3485,0.054400001,0.35069999,119.6366,1.0716,2.1046,0.29710001,0.083499998,0.048300002,0.019400001,17.134701,0.060899999,2.7874999,0.43939999,1.587,3.3717,0.51670003,7.3442998,50.4142,80.2976,6.0170002,57.112999,25.3417,0.62660003,11.5647,109.7228,1.4372,3.0816,257.9213,9.5247002,2.6515,1.1515,1.1907001,0.016899999,0.045400001,74.132103,5.5112,,4.3235998,0.0995,9.7618999,0.15800001,3.7744999,0.2577,3.0457001,3.4351001,2.0861001,6.1086001,1.3418,0.68980002,0.1935,92.166298,0.034899998,0.90469998,0,0.70920002,2.7767999,,0.85790002,0.74470001,0.3242,0.55180001,0.46650001,21.048201,0.64109999,0.18780001,15.3657,1.1389,30.3123,11.7956,0.63520002,0.028999999,11.0799,2.2623999,20.717899,1.7792,8.9066,22.6012,0.1032,0.70529997,23.014999,2.5913,13.2512,2.9958,2.0204,8.4461002,194.9837,55.517101,2.8517001,0.80059999,5.7779999,0.14309999,0.082900003,2.1684,0.22390001,2.7997,,0.019300001,,3.8857999,3.9563999,20.9174,0.4524,0.063600004,7.6921,0.3091,0.40419999,48.650299,0.18610001,4.0549998,0,0.07,1.3753999,3.2688,36.078201,0.0044999998,0.9181,0.73689997,34.108799,2.2347,1583.182,6.9972,0.087800004,34.544201,7.4383001,0.030099999,0.079899997,4.0892,36.250301,0.8326,2.2293
1996,0.63639998,1.0117,0.63859999,13.5754,42.0112,0.063100003,0.138,72.034203,17.5494,2.7885001,0.1552,23.4482,0.51139998,0.36160001,3.0327001,4.277,1.2937,0.18889999,1.0506999,7.5379,0.2025,3.3288,116.9939,0.2825,0.86140001,0.076200001,0.92690003,0.1044,144.4929,14.8244,15.1984,173.9097,1.288,1.7726001,0.46939999,0.32409999,21.495399,0.0513,0.038899999,2.6763999,2.2557001,1.5524,10.3921,173.7365,0.050500002,0.039700001,12.167,3.9927001,15.3098,10.2976,22.9666,0.39410001,78.723297,1.5681,1.2394,11.3801,0.42699999,125.1157,0.055599999,0.3538,124.2509,2.6057,2.2964001,0.3197,0.0836,0.0436,0.039000001,17.628901,0.076399997,2.7758999,0.49380001,1.5391999,3.3343999,0.5783,7.3362999,55.8736,85.946899,6.9903002,61.421101,24.746799,0.69910002,12.2013,111.5226,1.6528,3.1433001,263.9115,8.5248003,2.7792001,1.2134,1.1946,0.0208,0.046999998,78.162804,5.6241999,,4.4804001,0.106,10.7858,0.1696,5.1739001,0.26109999,3.3508,3.5315001,2.0095,6.5265999,1.4337,0.71179998,0.20909999,94.5476,0.0352,1.7149,0,0.55769998,2.9837,,0.90570003,0.82630002,0.37959999,0.5485,0.47279999,24.039499,1.0725,0.1972,17.621901,1.1944,31.5924,12.3285,0.65570003,0.028899999,11.2094,2.346,23.3202,1.8666,9.3071003,25.626301,0.1037,0.73610002,26.0264,2.089,14.0447,3.0237,2.1533,11.831,185.32739,58.324902,2.7042999,0.86570001,5.2291999,0.1522,0.092600003,2.1482999,0.2112,4.7006001,,0.019300001,,3.6026001,4.4829998,20.6658,0.2983,0.063600004,9.0114002,0.31560001,0.67330003,53.169998,0.1419,4.5653,0,0.052000001,1.4243,3.3938999,37.917,0.0026,1.2279,0.7561,30.847099,2.3749001,1623.422,9.5721998,0.083800003,35.922901,8.1757002,0.0484,0.081699997,3.885,35.344299,0.64709997,2.1893001
1997,0.58679998,1.0769,0.50760001,13.5119,41.9589,0.066200003,0.1426,73.422203,16.592899,3.3073001,0.1552,23.7838,0.70069999,0.3644,3.4296,4.3987999,1.355,0.1939,1.0826,7.9179001,0.28690001,3.1552999,124.1578,0.33899999,0.90039998,0.082800001,0.99879998,0.1044,149.0188,15.3051,16.107,149.9245,1.4157,1.8665,0.46290001,0.25299999,22.5434,0.054099999,0.0392,2.7412,2.8211,1.62,10.7067,174.49561,0.066100001,0.0548,12.2982,4.5805001,15.3538,10.9062,24.5609,0.37149999,78.677803,1.6173,1.3113,12.0019,0.42210001,127.6934,0.056699999,0.38949999,125.3276,1.949,2.3966999,0.34830001,0.090000004,0.060600001,0.094400004,18.2285,0.084299996,2.9442999,0.53219998,1.6906,3.9256001,0.59420002,7.7652998,62.072701,87.966698,7.3541999,62.800999,24.351101,0.60409999,12.9823,113.1558,1.7428,3.2929001,266.31091,7.3092999,2.7542,1.2941999,1.2395999,0.016000001,0.0473,79.906197,5.8794999,,4.3112998,0.1124,10.3529,0.1568,4.7582002,0.26100001,3.7474999,3.7464001,2.0446999,6.9700999,1.4102,0.74959999,0.25389999,98.678299,0.035100002,1.5237,0,0.76270002,2.4519,,0.83719999,0.8423,0.40270001,0.53539997,0.4727,27.663401,1.0980999,0.1969,22.5142,1.2618999,31.591299,12.5281,0.75279999,0.028999999,11.4416,2.4941001,23.886801,1.9893,9.6238003,27.6045,0.1063,0.73559999,27.530001,1.1562999,14.6063,3.3952,2.4096999,12.0408,170.22189,59.200699,3.1954999,0.94029999,5.1854,0.1497,0.082999997,2.1868999,0.19499999,6.4816999,,0.019300001,,4.2096,4.6943998,20.901899,0.41249999,0.076200001,9.2149,0.3351,0.44330001,52.9846,0.1419,2.7465,0,0.065499999,1.5472,3.5890999,35.224701,0.0033,1.2017,0.792,36.783501,2.5789001,1648.876,9.7103004,0.088600002,33.473,8.9396,0.0517,0.083999999,3.8954999,36.273899,0.75489998,2.1919
1998,0.54860002,0.85339999,0.75870001,13.4969,44.647099,0.069399998,0.1541,73.436401,18.7391,3.0815001,0.16159999,24.5193,0.77139997,0.41659999,3.5065,5.5669999,1.4292001,0.2031,1.4349,8.3476,0.292,3.2551999,130.60941,0.3784,0.84530002,0.092399999,1.0700999,0.1235,151.69749,15.4486,16.951099,144.0504,1.2453001,1.9236,0.46939999,0.32449999,22.0576,0.0603,0.046300001,3.0352001,2.5493,1.6974,10.9952,177.5417,0.098099999,0.0601,12.3451,5.0222998,15.8101,10.2103,27.2675,0.2377,86.216599,1.7115999,1.4383,12.1624,0.41280001,132.2462,0.0581,0.41530001,124.5347,1.2873,2.8597,0.39669999,0.0933,0.057599999,0.081299998,19.900999,0.090700001,3.5065999,0.52539998,1.8748,4.1377001,0.65439999,8.6472998,60.615398,91.014999,8.6743002,65.356697,24.818501,0.6293,12.0982,116.4061,1.8947001,3.3348999,265.66449,8.2493,2.8188,1.2589,1.4377,0.0177,0.0561,66.724297,6.0275998,,4.6101999,0.1223,10.2028,0.1838,4.9719,0.2647,3.9447,3.9196,2.0178001,7.4134998,1.1113,0.84619999,0.22400001,101.3155,0.035100002,1.0383,0,0.6663,3.0164001,,0.81940001,0.8585,0.4549,0.54159999,0.42899999,25.867001,1.1384,0.23540001,18.539499,1.3737,32.322498,12.9654,0.78719997,0.0275,11.62,2.5747001,25.126801,2.2190001,9.5664997,27.8116,0.1077,0.75099999,29.0002,2.1738999,15.9044,3.5562999,2.5325,11.3892,200.25819,59.4104,3.0464001,1.0374,5.2012,0.1533,0.089599997,2.3483,0.1793,5.0219002,,0.019300001,,4.2778001,3.9045999,21.1898,0.43009999,0.086000003,9.5226002,0.3416,0.49759999,45.9034,0.1199,3.3434999,0,0.055399999,1.5987,3.6916001,32.545101,0.0033,1.4238,0.90549999,34.382999,2.7544,1688.1899,13.2118,0.1238,34.270302,9.4021997,0.045400001,0.085199997,4.2035999,35.932701,0.7238,2.1765001
1999,0.3479,1.1839,1.4445,13.8875,41.942699,0.072499998,0.1561,74.878197,18.2379,1.6174001,0.17110001,24.739901,0.87129998,0.50779998,3.1988001,5.7992001,1.4839,0.1961,1.3752,7.3765998,0.2638,3.2595,127.9265,0.37630001,0.8355,0.098999999,1.1641001,0.1266,155.5193,15.4324,17.149799,161.34109,1.4606,1.6782,0.45019999,0.3145,19.662901,0.060899999,0.056499999,3.1544001,2.411,1.7421,12.1052,182.4747,0.1074,0.061500002,12.3888,5.3442001,16.827999,9.2563,28.971701,0.2181,90.559998,1.7117,1.4838001,12.4755,0.41389999,132.62219,0.056400001,0.39570001,128.2037,1.1623,3.1821001,0.4348,0.090000004,0.075400002,0.1204,20.0877,0.0911,3.6784999,0.59920001,2.1705999,4.4152002,0.67729998,9.1929998,60.197701,95.641098,9.5756998,72.972702,24.819,0.64240003,12.8708,119.2421,1.9822,3.4102001,268.121,6.0516,2.7690001,1.1654,1.4046,0.0145,0.057799999,73.492996,6.2016001,,4.3916998,0.1222,11.23,0.17309999,5.5057998,0.2676,3.5156,4.3529,1.9823999,7.9180999,0.73699999,0.92619997,0.31220001,104.1134,0.035799999,1.105,0,0.61199999,3.0710001,,0.85610002,0.8617,0.52350003,0.71799999,0.41080001,31.261999,1.1738,0.2256,20.2365,1.4378,32.880001,13.1707,0.79049999,0.0243,11.9123,2.6259999,26.483299,2.3714001,10.0997,27.7237,0.109,0.71060002,31.5515,0.90750003,16.648001,3.5566001,2.3554001,9.5865002,201.9873,59.644699,2.4925001,1.1253999,5.2596002,0.1476,0.086400002,2.6703999,0.15989999,2.654,,0.019300001,,4.3502998,3.694,21.636299,0.493,0.105,8.1830997,0.35460001,0.59140003,47.415501,0.063100003,4.2407999,0,0.072800003,1.6148,3.9279001,34.1516,0.0027999999,1.1835001,0.91189998,28.753099,2.8478999,1735.147,13.7751,0.1113,33.948399,10.0538,0.050000001,0.086900003,4.6472998,36.416599,0.6961,3.2195001
