"iso3c","ranking"
"DZA","three"
"MUS","three"
"PAK","three"
"SGP","three"
"LKA","three"
"IRN","three"
"IRQ","three"
"ISR","three"
"ARE","three"
"TCD","four"
"CIV","four"
"GAB","four"
"LSO","four"
"MRT","four"
"MAR","four"
"TUN","four"
"BGD","four"
"BRN","four"
"FJI","four"
"MYS","four"
"MDV","four"
"TLS","four"
"VNM","four"
"KAZ","four"
"RUS","four"
"ATG","four"
"BHS","four"
"BRB","four"
"BLZ","four"
"BMU","four"
"BOL","four"
"DOM","four"
"JAM","four"
"PER","four"
"TTO","four"
"BHR","four"
"KWT","four"
"SAU","four"
"AGO","six"
"DJI","six"
"KEN","six"
"NAM","six"
"SEN","six"
"NZL","six"
"WSM","six"
"SLV","six"
"GUY","six"
"HND","six"
"LBN","six"
"BDI","nineplus"
"COD","nineplus"
"LBY","nineplus"
"NGA","nineplus"
"UGA","nineplus"
"ALB","nineplus"
"BIH","nineplus"
"MKD","nineplus"
"KGZ","nineplus"
"MNE","nineplus"
"TJK","nineplus"
"GTM","nineplus"
"MEX","nineplus"
"NIC","nineplus"
"PRY","nineplus"
"JOR","nineplus"
"QAT","nineplus"
"BEN","nolimit"
"BWA","nolimit"
"BFA","nolimit"
"CMR","nolimit"
"CPV","nolimit"
"CAF","nolimit"
"COM","nolimit"
"COG","nolimit"
"GNQ","nolimit"
"ERI","nolimit"
"SWZ","nolimit"
"ETH","nolimit"
"GMB","nolimit"
"GIN","nolimit"
"GNB","nolimit"
"LBR","nolimit"
"MDG","nolimit"
"MWI","nolimit"
"MLI","nolimit"
"MOZ","nolimit"
"NER","nolimit"
"RWA","nolimit"
"STP","nolimit"
"SLE","nolimit"
"SOM","nolimit"
"SSD","nolimit"
"TZA","nolimit"
"TGO","nolimit"
"ZMB","nolimit"
"ZWE","nolimit"
"AFG","nolimit"
"KHM","nolimit"
"LAO","nolimit"
"MNG","nolimit"
"MMR","nolimit"
"NRU","nolimit"
"PLW","nolimit"
"PNG","nolimit"
"ARM","nolimit"
"AZE","nolimit"
"BLR","nolimit"
"GEO","nolimit"
"MDA","nolimit"
"SRB","nolimit"
"TKM","nolimit"
"UKR","nolimit"
"UZB","nolimit"
"ABW","nolimit"
"CRI","nolimit"
"CUB","nolimit"
"DMA","nolimit"
"GUF","nolimit"
"GRD","nolimit"
"HTI","nolimit"
"PAN","nolimit"
"KNA","nolimit"
"LCA","nolimit"
"VCT","nolimit"
"SUR","nolimit"
"TCA","nolimit"
"OMN","nolimit"
"EGY","banned"
"ZAF","banned"
"SYC","banned"
"SDN","banned"
"BTN","banned"
"IND","banned"
"IDN","banned"
"NPL","banned"
"PHL","banned"
"THA","banned"
"TUR","banned"
"ARG","banned"
"BRA","banned"
"CHL","banned"
"COL","banned"
"ECU","banned"
"URY","banned"
"VEN","banned"
