"iso3c","ranking"
"EGY","banned"
"ZAF","banned"
"SYC","banned"
"SDN","banned"
"SDN","banned"
"BTN","banned"
"IND","banned"
"IDN","banned"
"NPL","banned"
"PHL","banned"
"THA","banned"
"TUR","banned"
"ARG","banned"
"BRA","banned"
"CHL","banned"
"COL","banned"
"ECU","banned"
"URY","banned"
"VEN","banned"
"BGD","euro3"
"PAK","euro3"
"BIH","euro3"
"MKD","euro3"
"MNE","euro3"
"SRB","euro3"
"UZB","euro3"
"BOL","euro3"
"MAR","euro4"
"RWA","euro4"
"BRN","euro4"
"MYS","euro4"
"NZL","euro4"
"LKA","euro4"
"VNM","euro4"
"AZE","euro4"
"BLR","euro4"
"KAZ","euro4"
"TJK","euro4"
"CRI","euro4"
"MEX","euro4"
"PER","euro4"
"GHA","euro4"
"NGA","euro4"
"BEN","euro4"
"BFA","euro4"
"CPV","euro4"
"CIV","euro4"
"GMB","euro4"
"GIN","euro4"
"GNB","euro4"
"LBR","euro4"
"MLI","euro4"
"NER","euro4"
"SEN","euro4"
"SLE","euro4"
"TGO","euro4"
"SGP","euro5"
"ALB","euro5"
"RUS","euro5"
"UKR","euro5"
"DZA","nostandard"
"AGO","nostandard"
"BWA","nostandard"
"BDI","nostandard"
"CMR","nostandard"
"CAF","nostandard"
"TCD","nostandard"
"COM","nostandard"
"COG","nostandard"
"COD","nostandard"
"DJI","nostandard"
"GNQ","nostandard"
"ERI","nostandard"
"SWZ","nostandard"
"ETH","nostandard"
"GAB","nostandard"
"KEN","nostandard"
"LSO","nostandard"
"LBY","nostandard"
"MWI","nostandard"
"MRT","nostandard"
"MUS","nostandard"
"MOZ","nostandard"
"NAM","nostandard"
"STP","nostandard"
"SOM","nostandard"
"SSD","nostandard"
"TZA","nostandard"
"TUN","nostandard"
"UGA","nostandard"
"ZMB","nostandard"
"ZWE","nostandard"
"AFG","nostandard"
"KHM","nostandard"
"FJI","nostandard"
"LAO","nostandard"
"MDV","nostandard"
"MNG","nostandard"
"MMR","nostandard"
"NRU","nostandard"
"PLW","nostandard"
"PNG","nostandard"
"WSM","nostandard"
"TLS","nostandard"
"ARM","nostandard"
"GEO","nostandard"
"KGZ","nostandard"
"MDA","nostandard"
"TKM","nostandard"
"ATG","nostandard"
"ABW","nostandard"
"BHS","nostandard"
"BRB","nostandard"
"BLZ","nostandard"
"BMU","nostandard"
"CUB","nostandard"
"DMA","nostandard"
"DOM","nostandard"
"SLV","nostandard"
"GUF","nostandard"
"GRD","nostandard"
"GTM","nostandard"
"GUY","nostandard"
"HTI","nostandard"
"HND","nostandard"
"JAM","nostandard"
"NIC","nostandard"
"PAN","nostandard"
"PRY","nostandard"
"KNA","nostandard"
"LCA","nostandard"
"VCT","nostandard"
"SUR","nostandard"
"TTO","nostandard"
"TCA","nostandard"
"BHR","nostandard"
"IRN","nostandard"
"IRQ","nostandard"
"ISR","nostandard"
"JOR","nostandard"
"KWT","nostandard"
"LBN","nostandard"
"OMN","nostandard"
"QAT","nostandard"
"SAU","nostandard"
"ARE","nostandard"
