"year","conventional_non_oecd","conventional_oecd"
2010,273.8,656.9
2011,301.6,660.7
2012,331.2,670
2013,362.1,675.3
2014,393.4,684.1
2015,425.3,694.6
2016,462.1,705.8
2017,495.4,713.4
2018,526.9,718.3
2019,555.1,720.2
2020,580.8,716.2
2021,607.5,717.5
2022,634.3,719.1
2023,661.1,719.1
2024,688.1,718.7
2025,714.6,717.6
2026,740.2,715.3
2027,764.6,711.5
2028,788.5,706.9
2029,811.3,700.8
2030,832.7,693.5
2031,852.6,686.1
2032,870.8,677.8
2033,887.2,669.1
2034,901.7,659.8
2035,913.9,649.7
2036,925.8,639.4
2037,937.8,629.1
2038,948.6,618.6
2039,958.4,608.1
2040,967.6,597.7
2041,975.5,587.5
2042,983.2,577.9
2043,990.1,568.5
2044,996.4,559.8
2045,1001.8,551.9
2046,1006,544.2
2047,1009.6,536.9
2048,1012.3,529.9
2049,1014.4,523.1
2050,1016.2,516.4
