"week","alerts","city"
"2019-04-21T00:00:00.000Z",102060,"newyork"
"2019-04-28T00:00:00.000Z",79867,"newyork"
"2019-05-05T00:00:00.000Z",27807,"newyork"
"2019-05-12T00:00:00.000Z",37321,"newyork"
"2019-05-19T00:00:00.000Z",35362,"newyork"
"2019-05-26T00:00:00.000Z",33222,"newyork"
"2019-06-02T00:00:00.000Z",35229,"newyork"
"2019-06-09T00:00:00.000Z",34358,"newyork"
"2019-06-16T00:00:00.000Z",37539,"newyork"
"2019-06-23T00:00:00.000Z",35224,"newyork"
"2019-06-30T00:00:00.000Z",86056,"newyork"
"2019-07-07T00:00:00.000Z",98547,"newyork"
"2019-07-14T00:00:00.000Z",97621,"newyork"
"2019-07-21T00:00:00.000Z",96492,"newyork"
"2019-07-28T00:00:00.000Z",88848,"newyork"
"2019-08-04T00:00:00.000Z",88460,"newyork"
"2019-08-11T00:00:00.000Z",63609,"newyork"
"2019-08-18T00:00:00.000Z",74215,"newyork"
"2019-08-25T00:00:00.000Z",83809,"newyork"
"2019-09-01T00:00:00.000Z",89094,"newyork"
"2019-09-08T00:00:00.000Z",97338,"newyork"
"2019-09-15T00:00:00.000Z",89385,"newyork"
"2019-09-22T00:00:00.000Z",65261,"newyork"
"2019-09-29T00:00:00.000Z",68804,"newyork"
"2019-10-06T00:00:00.000Z",67654,"newyork"
"2019-10-13T00:00:00.000Z",5690,"newyork"
"2019-11-03T00:00:00.000Z",107408,"newyork"
"2019-11-10T00:00:00.000Z",156262,"newyork"
"2019-11-17T00:00:00.000Z",163112,"newyork"
"2019-11-24T00:00:00.000Z",138294,"newyork"
"2019-12-01T00:00:00.000Z",147657,"newyork"
"2019-12-08T00:00:00.000Z",182294,"newyork"
"2019-12-15T00:00:00.000Z",171929,"newyork"
"2019-12-22T00:00:00.000Z",103358,"newyork"
"2019-12-29T00:00:00.000Z",83924,"newyork"
"2020-01-05T00:00:00.000Z",92095,"newyork"
"2020-01-12T00:00:00.000Z",124343,"newyork"
"2020-01-19T00:00:00.000Z",112809,"newyork"
"2020-01-26T00:00:00.000Z",116863,"newyork"
"2020-02-02T00:00:00.000Z",125154,"newyork"
"2020-02-09T00:00:00.000Z",138449,"newyork"
"2020-02-16T00:00:00.000Z",111823,"newyork"
"2020-02-23T00:00:00.000Z",145260,"newyork"
"2020-03-01T00:00:00.000Z",145300,"newyork"
"2020-03-08T00:00:00.000Z",110064,"newyork"
"2020-03-15T00:00:00.000Z",42046,"newyork"
"2020-03-22T00:00:00.000Z",21632,"newyork"
"2020-03-29T00:00:00.000Z",21210,"newyork"
"2020-04-05T00:00:00.000Z",18758,"newyork"
"2020-04-12T00:00:00.000Z",23841,"newyork"
"2020-04-19T00:00:00.000Z",26871,"newyork"
"2020-04-26T00:00:00.000Z",29994,"newyork"
"2020-05-03T00:00:00.000Z",37443,"newyork"
"2020-05-10T00:00:00.000Z",46993,"newyork"
"2020-05-17T00:00:00.000Z",50350,"newyork"
"2020-05-24T00:00:00.000Z",55275,"newyork"
"2020-05-31T00:00:00.000Z",63060,"newyork"
"2020-06-07T00:00:00.000Z",75743,"newyork"
"2020-06-14T00:00:00.000Z",82583,"newyork"
"2020-06-21T00:00:00.000Z",93602,"newyork"
"2020-06-28T00:00:00.000Z",91604,"newyork"
"2020-07-05T00:00:00.000Z",95894,"newyork"
"2020-07-12T00:00:00.000Z",103849,"newyork"
"2020-07-19T00:00:00.000Z",75032,"newyork"
"2020-07-26T00:00:00.000Z",111280,"newyork"
"2020-08-02T00:00:00.000Z",122387,"newyork"
"2020-08-09T00:00:00.000Z",120905,"newyork"
"2020-08-16T00:00:00.000Z",122870,"newyork"
"2020-08-23T00:00:00.000Z",119725,"newyork"
"2020-08-30T00:00:00.000Z",128649,"newyork"
"2020-09-06T00:00:00.000Z",127795,"newyork"
"2020-09-13T00:00:00.000Z",139942,"newyork"
"2020-09-20T00:00:00.000Z",139120,"newyork"
"2020-09-27T00:00:00.000Z",134340,"newyork"
"2020-10-04T00:00:00.000Z",135279,"newyork"
"2020-10-11T00:00:00.000Z",126424,"newyork"
"2020-10-18T00:00:00.000Z",132368,"newyork"
"2020-10-25T00:00:00.000Z",125498,"newyork"
"2020-11-01T00:00:00.000Z",108312,"newyork"
"2020-11-08T00:00:00.000Z",112022,"newyork"
"2020-11-15T00:00:00.000Z",111744,"newyork"
"2020-11-22T00:00:00.000Z",80977,"newyork"
"2020-11-29T00:00:00.000Z",90978,"newyork"
"2020-12-06T00:00:00.000Z",97229,"newyork"
"2020-12-13T00:00:00.000Z",89410,"newyork"
"2020-12-20T00:00:00.000Z",103589,"newyork"
"2020-12-27T00:00:00.000Z",83849,"newyork"
"2021-01-03T00:00:00.000Z",84191,"newyork"
"2021-01-10T00:00:00.000Z",88104,"newyork"
"2021-01-17T00:00:00.000Z",83620,"newyork"
"2021-01-24T00:00:00.000Z",86914,"newyork"
"2021-01-31T00:00:00.000Z",84129,"newyork"
"2021-02-07T00:00:00.000Z",91724,"newyork"
"2021-02-14T00:00:00.000Z",78030,"newyork"
"2021-02-21T00:00:00.000Z",116180,"newyork"
"2021-02-28T00:00:00.000Z",112995,"newyork"
"2021-03-07T00:00:00.000Z",117808,"newyork"
"2021-03-14T00:00:00.000Z",112561,"newyork"
"2021-03-21T00:00:00.000Z",126952,"newyork"
"2021-03-28T00:00:00.000Z",114287,"newyork"
"2021-04-04T00:00:00.000Z",133387,"newyork"
"2021-04-11T00:00:00.000Z",142496,"newyork"
"2021-04-18T00:00:00.000Z",151160,"newyork"
"2021-04-25T00:00:00.000Z",148535,"newyork"
"2021-05-02T00:00:00.000Z",157324,"newyork"
"2021-05-09T00:00:00.000Z",162260,"newyork"
"2021-05-16T00:00:00.000Z",163947,"newyork"
"2021-05-23T00:00:00.000Z",168492,"newyork"
"2021-05-30T00:00:00.000Z",154576,"newyork"
"2021-06-06T00:00:00.000Z",196816,"newyork"
"2021-06-13T00:00:00.000Z",195044,"newyork"
"2021-06-20T00:00:00.000Z",197921,"newyork"
"2021-06-27T00:00:00.000Z",164681,"newyork"
"2021-07-04T00:00:00.000Z",166152,"newyork"
"2021-07-11T00:00:00.000Z",176908,"newyork"
"2021-07-18T00:00:00.000Z",165903,"newyork"
"2021-07-25T00:00:00.000Z",161970,"newyork"
"2021-08-01T00:00:00.000Z",163294,"newyork"
"2021-08-08T00:00:00.000Z",167108,"newyork"
"2021-08-15T00:00:00.000Z",160951,"newyork"
"2021-08-22T00:00:00.000Z",162544,"newyork"
"2021-08-29T00:00:00.000Z",207862,"newyork"
"2021-09-05T00:00:00.000Z",170415,"newyork"
"2021-09-12T00:00:00.000Z",204839,"newyork"
"2021-09-19T00:00:00.000Z",203174,"newyork"
"2021-09-26T00:00:00.000Z",203970,"newyork"
"2021-10-03T00:00:00.000Z",212790,"newyork"
"2021-10-10T00:00:00.000Z",193162,"newyork"
"2021-10-17T00:00:00.000Z",211944,"newyork"
"2021-10-24T00:00:00.000Z",197788,"newyork"
"2021-10-31T00:00:00.000Z",181805,"newyork"
"2021-11-07T00:00:00.000Z",187383,"newyork"
"2021-11-14T00:00:00.000Z",188510,"newyork"
"2021-11-21T00:00:00.000Z",165133,"newyork"
"2021-11-28T00:00:00.000Z",159840,"newyork"
"2021-12-05T00:00:00.000Z",160609,"newyork"
"2021-12-12T00:00:00.000Z",169113,"newyork"
"2021-12-19T00:00:00.000Z",131128,"newyork"
"2021-12-26T00:00:00.000Z",105703,"newyork"
"2019-04-21T00:00:00.000Z",123383,"bogota"
"2019-04-28T00:00:00.000Z",118592,"bogota"
"2019-05-05T00:00:00.000Z",81326,"bogota"
"2019-05-12T00:00:00.000Z",132957,"bogota"
"2019-05-19T00:00:00.000Z",119390,"bogota"
"2019-05-26T00:00:00.000Z",127995,"bogota"
"2019-06-02T00:00:00.000Z",124825,"bogota"
"2019-06-09T00:00:00.000Z",143197,"bogota"
"2019-06-16T00:00:00.000Z",118804,"bogota"
"2019-06-23T00:00:00.000Z",100040,"bogota"
"2019-06-30T00:00:00.000Z",100687,"bogota"
"2019-07-07T00:00:00.000Z",114363,"bogota"
"2019-07-14T00:00:00.000Z",126095,"bogota"
"2019-07-21T00:00:00.000Z",122585,"bogota"
"2019-07-28T00:00:00.000Z",128744,"bogota"
"2019-08-04T00:00:00.000Z",119452,"bogota"
"2019-08-11T00:00:00.000Z",149748,"bogota"
"2019-08-18T00:00:00.000Z",126374,"bogota"
"2019-08-25T00:00:00.000Z",143146,"bogota"
"2019-09-01T00:00:00.000Z",136090,"bogota"
"2019-09-08T00:00:00.000Z",137919,"bogota"
"2019-09-15T00:00:00.000Z",137850,"bogota"
"2019-09-22T00:00:00.000Z",119963,"bogota"
"2019-09-29T00:00:00.000Z",145730,"bogota"
"2019-10-06T00:00:00.000Z",112469,"bogota"
"2019-10-13T00:00:00.000Z",83147,"bogota"
"2019-10-20T00:00:00.000Z",173305,"bogota"
"2019-10-27T00:00:00.000Z",151991,"bogota"
"2019-11-03T00:00:00.000Z",138533,"bogota"
"2019-11-10T00:00:00.000Z",148014,"bogota"
"2019-11-17T00:00:00.000Z",139064,"bogota"
"2019-11-24T00:00:00.000Z",150325,"bogota"
"2019-12-01T00:00:00.000Z",188561,"bogota"
"2019-12-08T00:00:00.000Z",208045,"bogota"
"2019-12-15T00:00:00.000Z",195920,"bogota"
"2019-12-22T00:00:00.000Z",137520,"bogota"
"2019-12-29T00:00:00.000Z",50807,"bogota"
"2020-01-05T00:00:00.000Z",50391,"bogota"
"2020-01-12T00:00:00.000Z",108752,"bogota"
"2020-01-19T00:00:00.000Z",124023,"bogota"
"2020-01-26T00:00:00.000Z",128524,"bogota"
"2020-02-02T00:00:00.000Z",124466,"bogota"
"2020-02-09T00:00:00.000Z",126549,"bogota"
"2020-02-16T00:00:00.000Z",120076,"bogota"
"2020-02-23T00:00:00.000Z",148397,"bogota"
"2020-03-01T00:00:00.000Z",130494,"bogota"
"2020-03-08T00:00:00.000Z",103635,"bogota"
"2020-03-15T00:00:00.000Z",45259,"bogota"
"2020-03-22T00:00:00.000Z",1956,"bogota"
"2020-03-29T00:00:00.000Z",1984,"bogota"
"2020-04-05T00:00:00.000Z",2657,"bogota"
"2020-04-12T00:00:00.000Z",4748,"bogota"
"2020-04-19T00:00:00.000Z",6289,"bogota"
"2020-04-26T00:00:00.000Z",7522,"bogota"
"2020-05-03T00:00:00.000Z",17028,"bogota"
"2020-05-10T00:00:00.000Z",17370,"bogota"
"2020-05-17T00:00:00.000Z",22387,"bogota"
"2020-05-24T00:00:00.000Z",25667,"bogota"
"2020-05-31T00:00:00.000Z",25938,"bogota"
"2020-06-07T00:00:00.000Z",29573,"bogota"
"2020-06-14T00:00:00.000Z",34018,"bogota"
"2020-06-21T00:00:00.000Z",40864,"bogota"
"2020-06-28T00:00:00.000Z",44194,"bogota"
"2020-07-05T00:00:00.000Z",48766,"bogota"
