"countrycode","consumption","consumption_relative"
"BLR",2094.6931,29.932261
"BLR",2559.5862,36.575378
"BLR",2746.5278,39.246693
"BLR",3039.9839,43.440056
"BLR",3257.5977,46.54966
"BLR",3368.4492,48.133682
"BLR",3427.4492,48.976768
"BLR",3521.6758,50.323223
"BLR",3599.9187,51.44128
"BLR",3690.1836,52.731125
"BLR",3775.2798,53.947113
"BLR",3823.665,54.638523
"BLR",3936.3909,56.249325
"BLR",4017.3506,57.406204
"BLR",4090.439,58.450603
"BLR",4176.9287,59.686501
"BLR",4228.8374,60.428261
"BLR",4299.9102,61.443859
"BLR",4383.8838,62.643806
"BLR",4449.9219,63.587463
"BLR",4535.4678,64.809868
"BLR",4584.5425,65.511131
"BLR",4654.6211,66.512527
"BLR",4734.416,67.652756
"BLR",4778.4019,68.281296
"BLR",4844.5093,69.225945
"BLR",4935.3999,70.524727
"BLR",4985.666,71.243011
"BLR",5028.6836,71.857712
"BLR",5090.522,72.741356
"BLR",5159.6738,73.7295
"BLR",5198.3584,74.282295
"BLR",5256.9756,75.119904
"BLR",5311.4346,75.898102
"BLR",5364.3481,76.654213
"BLR",5433.4321,77.641388
"BLR",5491.4385,78.470284
"BLR",5527.1064,78.979965
"BLR",5591.4546,79.899467
"BLR",5653.8042,80.790421
"BLR",5724.772,81.80452
"BLR",5762.1353,82.338417
"BLR",5801.8896,82.906494
"BLR",5861.2261,83.754387
"BLR",5938.0454,84.852097
"BLR",5999.6484,85.732384
"BLR",6043.2227,86.355034
"BLR",6110.2817,87.313286
"BLR",6183.9487,88.365952
"BLR",6258.1445,89.426178
"BLR",6339.8218,90.593315
"BLR",6409.791,91.59314
"BLR",6473.8662,92.508751
"BLR",6537.0054,93.410973
"BLR",6631.5894,94.762543
"BLR",6699.5776,95.734062
"BLR",6761.0337,96.612251
"BLR",6838.0088,97.712181
"BLR",6902.835,98.638527
"BLR",6979.2788,99.730873
"BLR",7056.7583,100.83802
"BLR",7129.8335,101.88224
"BLR",7208.3267,103.00387
"BLR",7295.8022,104.25385
"BLR",7327.1797,104.70223
"BLR",7384.1929,105.51692
"BLR",7471.105,106.75886
"BLR",7542.2749,107.77584
"BLR",7656.3198,109.4055
"BLR",7745.2144,110.67577
"BLR",7837.0288,111.98775
"BLR",7977.1597,113.99017
"BLR",8075.2539,115.39188
"BLR",8202.9932,117.21723
"BLR",8373.7842,119.65775
"BLR",8500.2803,121.46532
"BLR",8605.1152,122.96338
"BLR",8719.6836,124.60051
"BLR",8797.1152,125.70699
"BLR",8952.6738,127.92984
"BLR",9095.3281,129.96831
"BLR",9282.2451,132.63928
"BLR",9472.876,135.36331
"BLR",9637.2764,137.71251
"BLR",9759.5371,139.45956
"BLR",9911.7744,141.63496
"BLR",10061.115,143.769
"BLR",10249.618,146.46262
"BLR",10464.354,149.5311
"BLR",10726.497,153.27701
"BLR",11016.17,157.41631
"BLR",11296.547,161.42278
"BLR",11662.553,166.65283
"BLR",11961.392,170.92311
"BLR",12540.184,179.1938
"BLR",13207.551,188.73018
"BLR",14288.231,204.17265
"BLR",15622.798,223.24303
"BLR",17835.037,254.855
"BLR",22956.996,328.04556
"NAM",192.55899,4.5923853
"NAM",267.72723,6.3850908
"NAM",326.7785,7.7934189
"NAM",370.05524,8.8255358
"NAM",410.29739,9.7852812
"NAM",440.94601,10.516227
"NAM",479.33865,11.431862
"NAM",502.94803,11.994928
"NAM",540.91913,12.900511
"NAM",576.18042,13.741465
"NAM",611.46161,14.582894
"NAM",646.43958,15.417091
"NAM",679.90558,16.215233
"NAM",719.08655,17.149668
"NAM",753.43817,17.968927
"NAM",780.8905,18.623644
"NAM",812.30927,19.372957
"NAM",848.79401,20.243092
"NAM",868.90045,20.722616
"NAM",897.26337,21.39905
"NAM",928.23199,22.137627
"NAM",953.82739,22.748058
"NAM",990.21564,23.615889
"NAM",1022.0396,24.374866
"NAM",1045.9156,24.944294
"NAM",1082.2758,25.811455
"NAM",1110.384,26.481815
"NAM",1131.2888,26.980379
"NAM",1167.9083,27.853724
"NAM",1205.6946,28.754898
"NAM",1243.9139,29.666403
"NAM",1276.9045,30.453201
"NAM",1309.2123,31.223717
"NAM",1340.6089,31.9725
"NAM",1379.1305,32.891212
"NAM",1426.1757,34.013206
"NAM",1465.5593,34.952477
"NAM",1515.6311,36.146648
"NAM",1547.8344,36.914673
"NAM",1591.5831,37.958046
"NAM",1621.4771,38.670998
"NAM",1666.6177,39.747562
"NAM",1699.6531,40.535435
"NAM",1740.2069,41.502613
"NAM",1788.306,42.649738
"NAM",1829.5826,43.634155
"NAM",1883.3728,44.917007
"NAM",1930.8568,46.049465
"NAM",1991.4044,47.493481
"NAM",2037.788,48.599693
"NAM",2095.3149,49.971668
"NAM",2157.0378,51.443714
"NAM",2216.499,52.861816
"NAM",2267.2915,54.073177
"NAM",2320.8555,55.350639
"NAM",2387.8413,56.948204
"NAM",2442.8491,58.260094
"NAM",2512.0637,59.910809
"NAM",2591.1851,61.797791
"NAM",2663.1577,63.514294
"NAM",2740.0977,65.349243
"NAM",2804.0791,66.875153
"NAM",2898.9285,69.137238
"NAM",2992.0066,71.357079
"NAM",3095.9089,73.835075
"NAM",3182.324,75.896004
"NAM",3273.8098,78.077873
"NAM",3413.564,81.410904
"NAM",3533.6506,84.274879
"NAM",3654.4827,87.156639
"NAM",3772.1611,89.963173
"NAM",3898.1904,92.968872
"NAM",4026.2126,96.02211
"NAM",4137.3486,98.672615
"NAM",4292.1279,102.36399
"NAM",4467.1304,106.53767
"NAM",4642.3882,110.71743
"NAM",4791.0522,114.26295
"NAM",5029.7534,119.9558
"NAM",5268.7114,125.65475
"NAM",5515.9224,131.55055
