"code","mean2019","ginichange","meanchange","fiscalspending","logmean"
"ARG",9585.541,-0.85328221,-10.954034,3.7991929,3.9816167
"ARM",2899.7993,-5.2387238,-9.039629,0.97887927,3.462368
"AUS",23019.639,-1.8399149,0.52277309,16.177853,4.3620987
"AUT",24120.922,0.83173513,-0.18238293,8.5545883,4.3823938
"BEL",21469.543,0.7175386,-2.2822752,7.2204847,4.3318229
"BFA",1869.0966,0.040584803,-3.6199603,4.2976413,3.2716317
"BGR",10001.148,1.4017612,-7.6694946,4.3861065,4.0000501
"BOL",7167.5337,1.8868446,-1.5214986,5.2037497,3.8553698
"BRA",7653.4565,-4.3089838,-0.95321995,8.2569418,3.8838577
"CAF",1017.968,-2.6577115,-8.2288074,1.163644,3.0077341
"CAN",24177.148,-2.8734744,7.2461443,14.646142,4.3834052
"CHL",9837.0039,0.36885142,-6.8236146,8.245409,3.9928629
"CHN",5152.4014,-0.048941374,-7.2520499,4.7347941,3.7120097
"COD",866.2301,-0.21191835,-1.5776604,1.076678,2.9376333
"COL",5681.4673,2.7300775,-17.488033,4.1001315,3.7544606
"CRI",9366.0889,0.83959699,-14.68819,1.4290119,3.9715583
"CYP",18833.799,-0.15184283,-4.5009193,6.3795013,4.2749381
"CZE",14367.686,-1.164721,-2.4974034,5.4442334,4.1573868
"DEU",23811.627,-0.32136142,0.078536175,11.033706,4.3767891
"DNK",22604.951,1.7262816,1.1351929,1.7728572,4.3542037
"DOM",5993.0947,-2.0358741,-15.674858,2.0449429,3.7776511
"ESP",17082.85,0.70414543,-2.1779275,4.1298485,4.2325602
"EST",14952.899,-0.39994717,-1.2086997,3.490015,4.1747255
"ETH",1630.569,2.0439565,-2.0982637,1.5410379,3.2123392
"FIN",21463.055,-0.5946815,-1.2609078,2.9740074,4.3316917
"GAB",4476.8472,0.20644367,-3.0360639,1.9941533,3.6509724
"GBR",20262.914,-0.37020445,-2.084686,16.258003,4.3067021
"GEO",2960.8774,-2.4996428,-13.280327,6.417191,3.4714205
"GHA",2038.9641,-0.4901737,-4.43151,2.8833694,3.3094096
"GIN",1626.5413,1.3296545,-0.89869475,1.8,3.2112651
"GMB",2017.9081,-0.21613538,-4.1460743,2.8599999,3.3049014
"GRC",10489.841,1.4398068,-3.3683839,11.028872,4.0207691
"GTM",3857.8389,0.60712993,-2.7301669,3.3550115,3.586344
"HND",3691.7068,0.22015572,-11.937556,2.2719588,3.5672271
