"iso3c","year","percap_waste"
"HIC",2020,578
"UMC",2020,335
"LMC",2020,172
"LIC",2020,148
"unclassified",2020,349
"HIC",2030,614
"UMC",2030,416
"LMC",2030,208
"LIC",2030,165
"unclassified",2030,407
"HIC",2040,640
"UMC",2040,479
"LMC",2040,249
"LIC",2040,189
"unclassified",2040,467
"HIC",2050,658
"UMC",2050,531
"LMC",2050,297
"LIC",2050,225
"unclassified",2050,532
"VIR",2020,1434
"VIR",2030,1600
"VIR",2040,1743
"VIR",2050,1867
"FRO",2020,1325
"FRO",2030,1404
"FRO",2040,1467
"FRO",2050,1502
"MCO",2020,1301
"MCO",2030,1379
"MCO",2040,1441
"MCO",2050,1476
"MDA",2020,1288
"MDA",2030,1726
"MDA",2040,2212
"MDA",2050,2609
"BMU",2020,1266
"BMU",2030,1247
"BMU",2040,1198
"BMU",2050,1129
"PRI",2020,1220
"PRI",2030,1355
"PRI",2040,1477
"PRI",2050,1573
"VGB",2020,1202
"VGB",2030,1341
"VGB",2040,1461
"VGB",2050,1565
"MNG",2020,1061
"MNG",2030,1430
"MNG",2040,1791
"MNG",2050,2079
"CYM",2020,1040
"CYM",2030,1035
"CYM",2040,952
"CYM",2050,774
"GRL",2020,937
"GRL",2030,992
"GRL",2040,1037
"GRL",2050,1062
"LIE",2020,927
"LIE",2030,982
"LIE",2040,1026
"LIE",2050,1051
"ABW",2020,923
"ABW",2030,1017
"ABW",2040,1089
"ABW",2050,1137
"GUM",2020,894
"GUM",2030,928
"GUM",2040,943
"GUM",2050,945
"DNK",2020,847
"DNK",2030,873
"DNK",2040,897
"DNK",2050,909
"USA",2020,822
"USA",2030,848
"USA",2040,857
"USA",2050,857
"HKG",2020,797
"HKG",2030,831
"HKG",2040,841
"HKG",2050,834
"LUX",2020,785
"LUX",2030,711
"LUX",2040,648
"LUX",2050,588
"NOR",2020,779
"NOR",2030,789
"NOR",2040,798
"NOR",2050,804
"NZL",2020,746
"NZL",2030,785
"NZL",2040,829
"NZL",2050,875
"CAN",2020,719
"CAN",2030,751
"CAN",2040,782
"CAN",2050,804
"CHE",2020,711
"CHE",2030,724
"CHE",2040,724
"CHE",2050,697
"BHS",2020,705
"BHS",2030,745
"BHS",2040,781
"BHS",2050,817
"MLT",2020,700
"MLT",2030,770
"MLT",2040,824
"MLT",2050,844
"ISR",2020,673
"ISR",2030,732
"ISR",2040,783
"ISR",2050,820
"IMN",2020,665
"IMN",2030,705
"IMN",2040,737
"IMN",2050,755
"ISL",2020,661
"ISL",2030,698
"ISL",2040,718
"ISL",2050,708
"BHR",2020,652
"BHR",2030,723
"BHR",2040,765
"BHR",2050,777
"CYP",2020,641
"CYP",2030,672
"CYP",2040,713
"CYP",2050,751
"BRB",2020,632
"BRB",2030,687
"BRB",2040,749
"BRB",2050,820
"KNA",2020,626
"KNA",2030,701
"KNA",2040,770
"KNA",2050,833
"SYC",2020,625
"SYC",2030,717
"SYC",2040,798
"SYC",2050,867
"DEU",2020,613
"DEU",2030,636
"DEU",2040,659
"DEU",2050,673
"MNP",2020,607
"MNP",2030,630
"MNP",2040,640
"MNP",2050,641
"IRL",2020,596
"IRL",2030,578
"IRL",2040,536
"IRL",2050,474
"AUT",2020,592
"AUT",2030,616
"AUT",2040,634
"AUT",2050,641
"ARE",2020,577
"ARE",2030,591
"ARE",2040,586
"ARE",2050,572
"AUS",2020,575
"AUS",2030,606
"AUS",2040,627
"AUS",2050,642
"FIN",2020,570
"FIN",2030,598
"FIN",2040,627
"FIN",2050,646
"MAC",2020,563
"MAC",2030,505
"MAC",2040,445
"MAC",2050,396
"MDV",2020,560
"MDV",2030,647
"MDV",2040,752
"MDV",2050,852
"AND",2020,558
"AND",2030,591
"AND",2040,617
"AND",2050,632
"MNE",2020,552
"MNE",2030,658
"MNE",2040,745
"MNE",2050,812
"KWT",2020,551
"KWT",2030,589
"KWT",2040,615
"KWT",2050,623
"FRA",2020,550
"FRA",2030,581
"FRA",2040,611
"FRA",2050,635
"GIB",2020,539
"GIB",2030,571
"GIB",2040,597
"GIB",2050,611
"PYF",2020,538
"PYF",2030,558
"PYF",2040,567
"PYF",2050,568
"GRC",2020,525
"GRC",2030,585
"GRC",2040,643
"GRC",2050,695
"SMR",2020,525
"SMR",2030,546
"SMR",2040,554
"SMR",2050,541
"TTO",2020,524
"TTO",2030,591
"TTO",2040,648
"TTO",2050,690
"MAF",2020,518
"MAF",2030,578
"MAF",2040,630
"MAF",2050,675
"BRN",2020,517
"BRN",2030,535
"BRN",2040,541
"BRN",2050,534
"PRT",2020,515
"PRT",2030,560
"PRT",2040,602
"PRT",2050,643
"NLD",2020,510
"NLD",2030,530
"NLD",2040,546
"NLD",2050,550
"SVN",2020,508
"SVN",2030,552
"SVN",2040,595
"SVN",2050,625
"SAU",2020,507
"SAU",2030,549
"SAU",2040,572
"SAU",2050,584
"CZE",2020,507
"CZE",2030,572
"CZE",2040,616
"CZE",2050,629
"ITA",2020,501
"ITA",2030,530
"ITA",2040,558
"ITA",2050,587
"NRU",2020,491
"NRU",2030,588
"NRU",2040,689
"NRU",2050,801
"LTU",2020,481
"LTU",2030,536
"LTU",2040,582
"LTU",2050,609
"MYS",2020,481
"MYS",2030,562
"MYS",2040,635
"MYS",2050,690
"QAT",2020,478
"QAT",2030,455
"QAT",2040,456
"QAT",2050,452
"ESP",2020,477
"ESP",2030,499
"ESP",2040,523
"ESP",2050,545
"BLR",2020,473
"BLR",2030,567
"BLR",2040,649
"BLR",2050,709
"GBR",2020,468
"GBR",2030,496
"GBR",2040,519
"GBR",2050,537
"LCA",2020,468
"LCA",2030,542
"LCA",2040,621
"LCA",2050,710
"LBY",2020,465
"LBY",2030,537
"LBY",2040,598
"LBY",2050,643
"SWE",2020,452
"SWE",2030,475
"SWE",2040,492
"SWE",2050,501
"LVA",2020,449
"LVA",2030,522
"LVA",2040,574
"LVA",2050,609
"HRV",2020,449
"HRV",2030,494
"HRV",2040,538
"HRV",2050,573
"CHL",2020,445
"CHL",2030,516
"CHL",2040,577
"CHL",2050,634
"RUS",2020,437
"RUS",2030,521
"RUS",2040,584
"RUS",2050,618
"PLW",2020,434
"PLW",2030,469
"PLW",2040,502
"PLW",2050,535
"DOM",2020,433
"DOM",2030,501
"DOM",2040,569
"DOM",2050,639
"MEX",2020,432
"MEX",2030,489
"MEX",2040,550
"MEX",2050,616
"TUR",2020,432
"TUR",2030,496
"TUR",2040,551
"TUR",2050,599
"SVK",2020,428
"SVK",2030,486
"SVK",2040,538
"SVK",2050,573
"THA",2020,427
"THA",2030,538
"THA",2040,645
"THA",2050,737
"BGR",2020,426
"BGR",2030,524
"BGR",2040,602
"BGR",2050,654
"BEL",2020,417
"BEL",2030,440
"BEL",2040,459
"BEL",2050,466
"OMN",2020,417
"OMN",2030,460
"OMN",2040,501
"OMN",2050,531
"ARG",2020,409
"ARG",2030,475
"ARG",2040,534
"ARG",2050,586
"KOR",2020,407
"KOR",2030,458
"KOR",2040,484
"KOR",2050,491
"PAN",2020,404
"PAN",2030,478
"PAN",2040,529
"PAN",2050,560
"NCL",2020,398
"NCL",2030,413
"NCL",2040,419
"NCL",2050,420
"HUN",2020,390
"HUN",2030,441
"HUN",2040,490
"HUN",2050,527
"BIH",2020,390
"BIH",2030,480
"BIH",2040,569
"BIH",2050,642
"BRA",2020,386
