"year","source","target","value"
2017,"HIC_source","HIC_target",2184775305
2017,"HIC_source","LIC_target",9914990
2017,"HIC_source","LMC_target",392944425
2017,"HIC_source","UMC_target",2798596382
2017,"LIC_source","HIC_target",192987
2017,"LIC_source","LIC_target",588535
2017,"LIC_source","LMC_target",1042838
2017,"LIC_source","UMC_target",1121260
2017,"LMC_source","HIC_target",25624660
2017,"LMC_source","LIC_target",1712021
2017,"LMC_source","LMC_target",25555819
2017,"LMC_source","UMC_target",204130099
2017,"UMC_source","HIC_target",124663315
2017,"UMC_source","LIC_target",3334890
2017,"UMC_source","LMC_target",48679605
2017,"UMC_source","UMC_target",287551007
2022,"HIC_source","HIC_target",1217644700
2022,"HIC_source","LIC_target",41672
2022,"HIC_source","LMC_target",170456964
2022,"HIC_source","UMC_target",315954255
2022,"LIC_source","HIC_target",52000
2022,"LIC_source","LMC_target",90000
2022,"LIC_source","UMC_target",3209637
2022,"LMC_source","HIC_target",2091827
2022,"LMC_source","LIC_target",108630
2022,"LMC_source","LMC_target",13509267
2022,"LMC_source","UMC_target",7661142
2022,"UMC_source","HIC_target",137240136
2022,"UMC_source","LIC_target",2850
2022,"UMC_source","LMC_target",5776285
2022,"UMC_source","UMC_target",20476188
