"indicator","year","income","value"
"total_waste",2020,"HIC",649206291348
"total_waste",2020,"UMC",768362625329
"total_waste",2020,"LMC",519015811266
"total_waste",2020,"LIC",88410443581
"total_waste",2020,"unclassified",9004363100
"total_waste",2030,"HIC",706347642346
"total_waste",2030,"UMC",989045985279
"total_waste",2030,"LMC",706124945325
"total_waste",2030,"LIC",127664849486
"total_waste",2030,"unclassified",12410863967
"total_waste",2040,"HIC",745902046942
"total_waste",2040,"UMC",1153609196221
"total_waste",2040,"LMC",932185430420
"total_waste",2040,"LIC",182599026127
"total_waste",2040,"unclassified",15175920650
"total_waste",2050,"HIC",767165522120
"total_waste",2050,"UMC",1270516515183
"total_waste",2050,"LMC",1198452023651
"total_waste",2050,"LIC",262974260268
"total_waste",2050,"unclassified",17873089124
